corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
tg,11g5f.0,1113,1754,"Jäck, ein Knabe, Diener der Marquise",9,Ist,VAFIN,sein,25362,,
tg,11g5f.0,1113,1754,"Jäck, ein Knabe, Diener der Marquise",9,es,PPER,es,25362,,
tg,11g5f.0,1113,1754,"Jäck, ein Knabe, Diener der Marquise",9,erlaubt,VVPP,erlauben,25362,,
tg,11g5f.0,1113,1754,"Jäck, ein Knabe, Diener der Marquise",9,",","$,",--,25362,,
tg,11g5f.0,1113,1754,"Jäck, ein Knabe, Diener der Marquise",9,so,ADV,so,25362,,
tg,11g5f.0,1113,1754,"Jäck, ein Knabe, Diener der Marquise",9,zerstreut,ADJD,zerstreuen,25362,,
tg,11g5f.0,1113,1754,"Jäck, ein Knabe, Diener der Marquise",9,zu,PTKZU,zu,25362,,
tg,11g5f.0,1113,1754,"Jäck, ein Knabe, Diener der Marquise",9,sein,VAINF,sein,25362,,
tg,11g5f.0,1113,1754,"Jäck, ein Knabe, Diener der Marquise",9,?,$.,--,25362,,
tg,11g5f.0,1113,1754,"Jäck, ein Knabe, Diener der Marquise",9,gute,ADJA,gut,25362,,
tg,11g5f.0,1113,1754,"Jäck, ein Knabe, Diener der Marquise",9,Gesellschaft,NN,gesellschaft,25362,,
tg,11g5f.0,1113,1754,"Jäck, ein Knabe, Diener der Marquise",9,zu,PTKZU,zu,25362,,
tg,11g5f.0,1113,1754,"Jäck, ein Knabe, Diener der Marquise",9,fliehen,VVINF,fliehen,25362,,
tg,11g5f.0,1113,1754,"Jäck, ein Knabe, Diener der Marquise",9,",","$,",--,25362,,
tg,11g5f.0,1113,1754,"Jäck, ein Knabe, Diener der Marquise",9,seinen,PPOSAT,sein,25362,,
tg,11g5f.0,1113,1754,"Jäck, ein Knabe, Diener der Marquise",9,Freunden,NN,freund,25362,,
tg,11g5f.0,1113,1754,"Jäck, ein Knabe, Diener der Marquise",9,die,ART,der,25362,,
tg,11g5f.0,1113,1754,"Jäck, ein Knabe, Diener der Marquise",9,Lust,NN,lust,25362,,
