corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
tg,11gn9.0,113,2249,EINSIEDLER,8,Ihr,PPER,ihr,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,denkt,VVFIN,denken,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,",","$,",--,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,ihr,PPOSAT,ihr,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,Herrn,NN,herr,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,",","$,",--,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,ich,PPER,ich,3315,EINSIEDLER,8
tg,11gn9.0,113,2249,EINSIEDLER,8,bin,VAFIN,sein,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,allein,ADV,allein,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,",","$,",--,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,Weil,KOUS,weil,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,ich,PPER,ich,3315,EINSIEDLER,8
tg,11gn9.0,113,2249,EINSIEDLER,8,nicht,PTKNEG,nicht,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,mag,VMFIN,mögen,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,in,APPR,in,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,Städten,NN,stadt,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,sein,VAINF,sein,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,.,$.,--,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,Ihr,PPOSAT,ihr,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,irrt,ADJD,irren,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,euch,PRF,euch,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,",","$,",--,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,liebe,VVFIN,lieb,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,Herren,NN,herr,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,mein,PPOSAT,mein,3315,EINSIEDLER,8
tg,11gn9.0,113,2249,EINSIEDLER,8,"!",$.,--,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,Ich,PPER,ich,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,hab,VAFIN,hab,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,mich,PPER,mich,3315,EINSIEDLER,8
tg,11gn9.0,113,2249,EINSIEDLER,8,nicht,PTKNEG,nicht,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,hierher,PROAV,hierher,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,begeben,VVFIN,begeben,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,",","$,",--,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,Weil,KOUS,weil,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,sie,PPER,sie,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,in,APPR,in,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,Städten,NN,stadt,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,so,ADV,so,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,ruchlos,ADJD,ruchlos,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,leben,VVFIN,leben,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,Und,KON,und,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,alle,PIDAT,aller,3315,ALLE,14
tg,11gn9.0,113,2249,EINSIEDLER,8,wandeln,NN,wandeln,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,nach,APPR,nach,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,ihrem,PPOSAT,ihr,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,Trieb,NE,trieb,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,",","$,",--,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,Der,ART,der,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,Schmeichler,NN,schmeichler,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,",","$,",--,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,Heuchler,NN,heuchler,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,und,KON,und,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,der,ART,der,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,Dieb,NN,dieb,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,:,$.,--,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,Das,PDS,der,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,hätt,VVFIN,hätt,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,mich,PPER,mich,3315,EINSIEDLER,8
tg,11gn9.0,113,2249,EINSIEDLER,8,immerfort,ADJD,immerfort,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,ergetzt,VVFIN,ergetzen,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,",","$,",--,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,Wollten,VMFIN,wollen,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,sie,PPER,sie,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,nur,ADV,nur,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,nicht,PTKNEG,nicht,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,sein,PPOSAT,sein,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,hochgeschätzt,NN,hochschätzen,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,;,$.,--,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,Bestehlen,NN,bestehlen,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,und,KON,und,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,bescheißen,VVFIN,bescheißen,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,mich,PPER,mich,3315,EINSIEDLER,8
tg,11gn9.0,113,2249,EINSIEDLER,8,",","$,",--,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,wie,PWAV,wie,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,die,ART,der,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,Raben,NN,rabe,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,",","$,",--,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,Und,KON,und,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,noch,ADV,noch,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,dazu,PROAV,dazu,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,Reverenzen,NN,reverenze,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,haben,VAFIN,haben,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,"!",$.,--,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,Ihrer,PPOSAT,ihr,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,langweiligen,ADJA,langweilig,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,Narrheit,NN,narrheit,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,satt,ADJD,satt,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,",","$,",--,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,Bin,NE,sein,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,herausgezogen,VVPP,herausziehen,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,in,APPR,in,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,Gottes,NN,gott,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,Stadt,NN,stadt,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,",","$,",--,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,Wo's,FM,wo's,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,freilich,ADV,freilich,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,auch,ADV,auch,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,geht,VVFIN,gehen,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,drüber,ADV,drüber,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,und,KON,und,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,drunter,ADJA,drunter,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,Und,KON,und,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,geht,VVFIN,gehen,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,desungeacht,ADJD,desungeacht,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,nicht,PTKNEG,nicht,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,unter,PTKVZ,unter,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,.,$.,--,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,Ich,PPER,ich,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,seh,VVFIN,seh,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,im,APPRART,in,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,Frühling,NN,frühling,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,ohne,APPR,ohne,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,Zahl,NN,zahl,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,Blüten,NN,blüte,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,und,KON,und,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,Knospen,NN,knospen,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,durch,APPR,durch,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,Berg,NN,berg,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,und,KON,und,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,Tal,NN,tal,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,",","$,",--,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,Wie,PWAV,wie,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,alles,PIS,alle,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,drängt,VVFIN,drängen,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,und,KON,und,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,alles,PIS,alle,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,treibt,VVFIN,treiben,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,",","$,",--,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,Kein,PIAT,kein,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,Pläcklein,NN,pläcklein,3315,,
tg,11gn9.0,113,2249,EINSIEDLER,8,ohne,APPR,ohne,3315,,
