corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
tg,11gx9.0,120,267,PROMETHEUS,0,Ich,PPER,ich,2450,,
tg,11gx9.0,120,267,PROMETHEUS,0,will,VMFIN,wollen,2450,,
tg,11gx9.0,120,267,PROMETHEUS,0,nicht,PTKNEG,nicht,2450,,
tg,11gx9.0,120,267,PROMETHEUS,0,",","$,",--,2450,,
tg,11gx9.0,120,267,PROMETHEUS,0,sag,VVIMP,sag,2450,,
tg,11gx9.0,120,267,PROMETHEUS,0,es,PPER,es,2450,,
tg,11gx9.0,120,267,PROMETHEUS,0,ihnen,PPER,ihnen,2450,,
tg,11gx9.0,120,267,PROMETHEUS,0,"!",$.,--,2450,,
tg,11gx9.0,120,267,PROMETHEUS,0,Und,KON,und,2450,,
tg,11gx9.0,120,267,PROMETHEUS,0,kurz,ADJD,kurz,2450,,
tg,11gx9.0,120,267,PROMETHEUS,0,und,KON,und,2450,,
tg,11gx9.0,120,267,PROMETHEUS,0,gut,ADJD,gut,2450,,
tg,11gx9.0,120,267,PROMETHEUS,0,",","$,",--,2450,,
tg,11gx9.0,120,267,PROMETHEUS,0,ich,PPER,ich,2450,PROMETHEUS,0
tg,11gx9.0,120,267,PROMETHEUS,0,will,VMFIN,wollen,2450,,
tg,11gx9.0,120,267,PROMETHEUS,0,nicht,PTKNEG,nicht,2450,,
tg,11gx9.0,120,267,PROMETHEUS,0,"!",$.,--,2450,,
tg,11gx9.0,120,267,PROMETHEUS,0,Ihr,PPOSAT,ihr,2450,,
tg,11gx9.0,120,267,PROMETHEUS,0,Wille,NN,wille,2450,,
tg,11gx9.0,120,267,PROMETHEUS,0,gegen,APPR,gegen,2450,,
tg,11gx9.0,120,267,PROMETHEUS,0,meinen,PPOSAT,meinen,2450,PROMETHEUS,0
tg,11gx9.0,120,267,PROMETHEUS,0,"!",$.,--,2450,,
tg,11gx9.0,120,267,PROMETHEUS,0,Eins,NE,eins,2450,,
tg,11gx9.0,120,267,PROMETHEUS,0,gegen,APPR,gegen,2450,,
tg,11gx9.0,120,267,PROMETHEUS,0,eins,CARD,eins,2450,,
tg,11gx9.0,120,267,PROMETHEUS,0,",","$,",--,2450,,
tg,11gx9.0,120,267,PROMETHEUS,0,Mich,PPER,mich,2450,,
tg,11gx9.0,120,267,PROMETHEUS,0,dünkt,VVFIN,dünken,2450,,
tg,11gx9.0,120,267,PROMETHEUS,0,",","$,",--,2450,,
tg,11gx9.0,120,267,PROMETHEUS,0,es,PPER,es,2450,,
