corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
tg,jkhx.0,226,755,KRATOS,1,Wir,PPER,wir,9832,,
tg,jkhx.0,226,755,KRATOS,1,stehn,VVFIN,stehn,9832,,
tg,jkhx.0,226,755,KRATOS,1,am,APPRART,an,9832,,
tg,jkhx.0,226,755,KRATOS,1,fernsten,ADJA,fern,9832,,
tg,jkhx.0,226,755,KRATOS,1,Saum,NN,saum,9832,,
tg,jkhx.0,226,755,KRATOS,1,der,ART,der,9832,,
tg,jkhx.0,226,755,KRATOS,1,Welt,NN,welt,9832,,
tg,jkhx.0,226,755,KRATOS,1,",","$,",--,9832,,
tg,jkhx.0,226,755,KRATOS,1,dem,ART,der,9832,,
tg,jkhx.0,226,755,KRATOS,1,skythischen,ADJA,skythisch,9832,,
tg,jkhx.0,226,755,KRATOS,1,Gelände,NN,gelände,9832,,
tg,jkhx.0,226,755,KRATOS,1,jetzt,ADV,jetzt,9832,,
tg,jkhx.0,226,755,KRATOS,1,",","$,",--,9832,,
tg,jkhx.0,226,755,KRATOS,1,in,APPR,in,9832,,
tg,jkhx.0,226,755,KRATOS,1,unbetretner,ADJA,unbetretn,9832,,
tg,jkhx.0,226,755,KRATOS,1,Einsamkeit,NN,einsamkeit,9832,,
tg,jkhx.0,226,755,KRATOS,1,.,$.,--,9832,,
tg,jkhx.0,226,755,KRATOS,1,Hephaistos,NE,hephaisto,9832,HEPHAISTOS,6
tg,jkhx.0,226,755,KRATOS,1,",","$,",--,9832,,
tg,jkhx.0,226,755,KRATOS,1,du,PPER,du,9832,,
tg,jkhx.0,226,755,KRATOS,1,wirst,VAFIN,werden,9832,,
tg,jkhx.0,226,755,KRATOS,1,eingedenk,ADJD,eingedenk,9832,,
tg,jkhx.0,226,755,KRATOS,1,jetzt,ADV,jetzt,9832,,
tg,jkhx.0,226,755,KRATOS,1,sein,PPOSAT,sein,9832,,
tg,jkhx.0,226,755,KRATOS,1,des,ART,der,9832,,
tg,jkhx.0,226,755,KRATOS,1,Amts,NN,amt,9832,,
tg,jkhx.0,226,755,KRATOS,1,",","$,",--,9832,,
tg,jkhx.0,226,755,KRATOS,1,Das,PDS,der,9832,,
tg,jkhx.0,226,755,KRATOS,1,dir,PPER,dir,9832,,
tg,jkhx.0,226,755,KRATOS,1,der,ART,der,9832,,
tg,jkhx.0,226,755,KRATOS,1,Vater,NN,vater,9832,,
tg,jkhx.0,226,755,KRATOS,1,übertrug,VVFIN,übertragen,9832,,
tg,jkhx.0,226,755,KRATOS,1,",","$,",--,9832,,
tg,jkhx.0,226,755,KRATOS,1,den,ART,der,9832,,
tg,jkhx.0,226,755,KRATOS,1,Frevler,NN,frevler,9832,,
tg,jkhx.0,226,755,KRATOS,1,hier,ADV,hier,9832,,
tg,jkhx.0,226,755,KRATOS,1,In,APPR,in,9832,,
tg,jkhx.0,226,755,KRATOS,1,diamantner,ADJA,diamantn,9832,,
tg,jkhx.0,226,755,KRATOS,1,Fesseln,NN,fessel,9832,,
tg,jkhx.0,226,755,KRATOS,1,unlösbarem,ADJA,unlösbar,9832,,
tg,jkhx.0,226,755,KRATOS,1,Netz,NN,netz,9832,,
tg,jkhx.0,226,755,KRATOS,1,Hoch,ADJD,hoch,9832,,
tg,jkhx.0,226,755,KRATOS,1,anzuschmieden,VVIZU,anzchmieden,9832,,
tg,jkhx.0,226,755,KRATOS,1,auf,APPR,auf,9832,,
tg,jkhx.0,226,755,KRATOS,1,den,ART,der,9832,,
tg,jkhx.0,226,755,KRATOS,1,gipfelsteilen,ADJA,gipfelsteil,9832,,
tg,jkhx.0,226,755,KRATOS,1,Fels,NN,fels,9832,,
tg,jkhx.0,226,755,KRATOS,1,.,$.,--,9832,,
tg,jkhx.0,226,755,KRATOS,1,Denn,KON,denn,9832,,
tg,jkhx.0,226,755,KRATOS,1,deines,PPOSAT,dein,9832,,
tg,jkhx.0,226,755,KRATOS,1,Kleinods,NN,kleinod,9832,,
tg,jkhx.0,226,755,KRATOS,1,",","$,",--,9832,,
tg,jkhx.0,226,755,KRATOS,1,wunderkünstlichen,ADJA,wunderkünstlich,9832,,
tg,jkhx.0,226,755,KRATOS,1,Feuers,NN,feuer,9832,,
tg,jkhx.0,226,755,KRATOS,1,",","$,",--,9832,,
tg,jkhx.0,226,755,KRATOS,1,stahl,ADJD,stehlen,9832,,
tg,jkhx.0,226,755,KRATOS,1,Er,PPER,er,9832,,
tg,jkhx.0,226,755,KRATOS,1,einen,ART,ein,9832,,
tg,jkhx.0,226,755,KRATOS,1,Funken,NN,funke,9832,,
tg,jkhx.0,226,755,KRATOS,1,",","$,",--,9832,,
tg,jkhx.0,226,755,KRATOS,1,gab,VVFIN,geben,9832,,
tg,jkhx.0,226,755,KRATOS,1,ihn,PPER,ihn,9832,,
tg,jkhx.0,226,755,KRATOS,1,preis,PTKVZ,preis,9832,,
tg,jkhx.0,226,755,KRATOS,1,den,ART,der,9832,,
tg,jkhx.0,226,755,KRATOS,1,Sterblichen,NN,sterbliche,9832,,
tg,jkhx.0,226,755,KRATOS,1,.,$.,--,9832,,
tg,jkhx.0,226,755,KRATOS,1,Den,ART,der,9832,,
tg,jkhx.0,226,755,KRATOS,1,Frevel,NN,frevel,9832,,
tg,jkhx.0,226,755,KRATOS,1,soll,VMFIN,sollen,9832,,
tg,jkhx.0,226,755,KRATOS,1,er,PPER,er,9832,,
tg,jkhx.0,226,755,KRATOS,1,büßen,VVFIN,büßen,9832,,
tg,jkhx.0,226,755,KRATOS,1,jetzt,ADV,jetzt,9832,,
tg,jkhx.0,226,755,KRATOS,1,den,ART,der,9832,,
tg,jkhx.0,226,755,KRATOS,1,Ewigen,NN,ewige,9832,,
tg,jkhx.0,226,755,KRATOS,1,",","$,",--,9832,,
tg,jkhx.0,226,755,KRATOS,1,Auf,APPR,auf,9832,,
tg,jkhx.0,226,755,KRATOS,1,daß,KOUS,daß,9832,,
tg,jkhx.0,226,755,KRATOS,1,er,PPER,er,9832,,
tg,jkhx.0,226,755,KRATOS,1,lerne,VVFIN,lerne,9832,,
tg,jkhx.0,226,755,KRATOS,1,",","$,",--,9832,,
tg,jkhx.0,226,755,KRATOS,1,sich,PRF,sich,9832,,
tg,jkhx.0,226,755,KRATOS,1,Kronions,NE,kronion,9832,,
tg,jkhx.0,226,755,KRATOS,1,Herrentum,NE,herrentum,9832,,
tg,jkhx.0,226,755,KRATOS,1,Zu,PTKZU,zu,9832,,
tg,jkhx.0,226,755,KRATOS,1,fügen,VVINF,fügen,9832,,
tg,jkhx.0,226,755,KRATOS,1,",","$,",--,9832,,
tg,jkhx.0,226,755,KRATOS,1,seiner,PPOSAT,sein,9832,,
