corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
tg,jn6f.0,872,1070,"Michl,",11,Bissel,NE,bissel,19048,,
tg,jn6f.0,872,1070,"Michl,",11,christlich,ADJD,christlich,19048,,
tg,jn6f.0,872,1070,"Michl,",11,",","$,",--,19048,,
tg,jn6f.0,872,1070,"Michl,",11,bissel,ADJD,bissel,19048,,
tg,jn6f.0,872,1070,"Michl,",11,gottlos,ADJD,gottlos,19048,,
tg,jn6f.0,872,1070,"Michl,",11,",","$,",--,19048,,
tg,jn6f.0,872,1070,"Michl,",11,Bissel,NE,bissel,19048,,
tg,jn6f.0,872,1070,"Michl,",11,schön,ADJD,schön,19048,,
tg,jn6f.0,872,1070,"Michl,",11,",","$,",--,19048,,
tg,jn6f.0,872,1070,"Michl,",11,bissel,ADJD,bissel,19048,,
tg,jn6f.0,872,1070,"Michl,",11,schiach,ADJD,schiach,19048,,
tg,jn6f.0,872,1070,"Michl,",11,–,XY,–,19048,,
tg,jn6f.0,872,1070,"Michl,",11,Bissel,NE,bissel,19048,,
tg,jn6f.0,872,1070,"Michl,",11,gottlos,ADJD,gottlos,19048,,
tg,jn6f.0,872,1070,"Michl,",11,beim,APPRART,bei,19048,,
tg,jn6f.0,872,1070,"Michl,",11,Dirndl,NN,dirndl,19048,,
tg,jn6f.0,872,1070,"Michl,",11,",","$,",--,19048,,
tg,jn6f.0,872,1070,"Michl,",11,Bissel,NE,bissel,19048,,
tg,jn6f.0,872,1070,"Michl,",11,frumm,VVFIN,frumm,19048,,
tg,jn6f.0,872,1070,"Michl,",11,in,APPR,in,19048,,
tg,jn6f.0,872,1070,"Michl,",11,der,ART,der,19048,,
tg,jn6f.0,872,1070,"Michl,",11,Kirch,NE,kirch,19048,,
tg,jn6f.0,872,1070,"Michl,",11,"!",$.,--,19048,,
tg,jn6f.0,872,1070,"Michl,",11,Dulidieh,ADV,dulidieh,19048,,
tg,jn6f.0,872,1070,"Michl,",11,"!",$.,--,19048,,
tg,jn6f.0,872,1070,"Michl,",11,Dulidieh,ADV,dulidieh,19048,,
tg,jn6f.0,872,1070,"Michl,",11,"!",$.,--,19048,,
tg,jn6f.0,1076,1367,"Loisl,",12,Heilig,NE,heilig,19048,,
tg,jn6f.0,1076,1367,"Loisl,",12,werdn,VVFIN,werdn,19048,,
tg,jn6f.0,1076,1367,"Loisl,",12,",","$,",--,19048,,
tg,jn6f.0,1076,1367,"Loisl,",12,heilig,ADJD,heilig,19048,,
tg,jn6f.0,1076,1367,"Loisl,",12,werdn,VVFIN,werdn,19048,,
tg,jn6f.0,1076,1367,"Loisl,",12,",","$,",--,19048,,
tg,jn6f.0,1076,1367,"Loisl,",12,Das,PDS,der,19048,,
tg,jn6f.0,1076,1367,"Loisl,",12,möcht,VVFIN,möchen,19048,,
tg,jn6f.0,1076,1367,"Loisl,",12,ich,PPER,ich,19048,"Loisl,",12
tg,jn6f.0,1076,1367,"Loisl,",12,eh,ADV,eh,19048,,
tg,jn6f.0,1076,1367,"Loisl,",12,–,XY,–,19048,,
tg,jn6f.0,1076,1367,"Loisl,",12,Drum,PROAV,drum,19048,,
tg,jn6f.0,1076,1367,"Loisl,",12,kraxl,VVFIN,kraxl,19048,,
tg,jn6f.0,1076,1367,"Loisl,",12,ich,PPER,ich,19048,"Loisl,",12
tg,jn6f.0,1076,1367,"Loisl,",12,all,PIDAT,all,19048,,
tg,jn6f.0,1076,1367,"Loisl,",12,Tag,NN,tag,19048,,
tg,jn6f.0,1076,1367,"Loisl,",12,Zun,NE,zun,19048,,
tg,jn6f.0,1076,1367,"Loisl,",12,Himmel,NN,himmel,19048,,
tg,jn6f.0,1076,1367,"Loisl,",12,auf,APPR,auf,19048,,
tg,jn6f.0,1076,1367,"Loisl,",12,d,FM,D,19048,,
tg,jn6f.0,1076,1367,"Loisl,",12,',$[,--,19048,,
tg,jn6f.0,1076,1367,"Loisl,",12,Höh,ITJ,höhe,19048,,
tg,jn6f.0,1076,1367,"Loisl,",12,"!",$.,--,19048,,
tg,jn6f.0,1076,1367,"Loisl,",12,Doch,KON,doch,19048,,
tg,jn6f.0,1076,1367,"Loisl,",12,kimm,VVFIN,kimm,19048,,
tg,jn6f.0,1076,1367,"Loisl,",12,ich,PPER,ich,19048,"Loisl,",12
tg,jn6f.0,1076,1367,"Loisl,",12,net,PTKNEG,net,19048,,
tg,jn6f.0,1076,1367,"Loisl,",12,viel,ADV,viel,19048,,
tg,jn6f.0,1076,1367,"Loisl,",12,hoch,ADJD,hoch,19048,,
tg,jn6f.0,1076,1367,"Loisl,",12,",","$,",--,19048,,
tg,jn6f.0,1076,1367,"Loisl,",12,Dös,NE,dös,19048,,
tg,jn6f.0,1076,1367,"Loisl,",12,geht,VVFIN,gehen,19048,,
tg,jn6f.0,1076,1367,"Loisl,",12,ma,FM,ma,19048,,
tg,jn6f.0,1076,1367,"Loisl,",12,nit,FM,nit,19048,,
tg,jn6f.0,1076,1367,"Loisl,",12,ein,ART,ein,19048,,
tg,jn6f.0,1076,1367,"Loisl,",12,–,NN,–,19048,,
tg,jn6f.0,1076,1367,"Loisl,",12,[,TRUNC,[,19048,,
