corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
tg,jnhn.0,743,3555,Der erst Precursor.,0,Hört,NE,hören,16500,,
tg,jnhn.0,743,3555,Der erst Precursor.,0,unnd,ADJD,unnd,16500,,
tg,jnhn.0,743,3555,Der erst Precursor.,0,merckt,VVFIN,mercken,16500,,
tg,jnhn.0,743,3555,Der erst Precursor.,0,auf,PTKVZ,auf,16500,,
tg,jnhn.0,743,3555,Der erst Precursor.,0,",","$,",--,16500,,
tg,jnhn.0,743,3555,Der erst Precursor.,0,ir,FM,ir,16500,,
tg,jnhn.0,743,3555,Der erst Precursor.,0,Cristen,FM,crist,16500,,
tg,jnhn.0,743,3555,Der erst Precursor.,0,gůt,FM,gůt,16500,,
tg,jnhn.0,743,3555,Der erst Precursor.,0,",","$,",--,16500,,
tg,jnhn.0,743,3555,Der erst Precursor.,0,schliest,VVFIN,schlesen,16500,,
tg,jnhn.0,743,3555,Der erst Precursor.,0,auf,APPR,auf,16500,,
tg,jnhn.0,743,3555,Der erst Precursor.,0,eur,FM,eur,16500,,
tg,jnhn.0,743,3555,Der erst Precursor.,0,hercz,FM,hercz,16500,,
tg,jnhn.0,743,3555,Der erst Precursor.,0,",","$,",--,16500,,
tg,jnhn.0,743,3555,Der erst Precursor.,0,sinn,VVFIN,sinn,16500,,
tg,jnhn.0,743,3555,Der erst Precursor.,0,unnd,ADJD,unnd,16500,,
tg,jnhn.0,743,3555,Der erst Precursor.,0,auch,ADV,auch,16500,,
tg,jnhn.0,743,3555,Der erst Precursor.,0,můt,ADJD,můt,16500,,
tg,jnhn.0,743,3555,Der erst Precursor.,0,"!",$.,--,16500,,
tg,jnhn.0,743,3555,Der erst Precursor.,0,Betracht,NN,betracht,16500,,
tg,jnhn.0,743,3555,Der erst Precursor.,0,",","$,",--,16500,,
tg,jnhn.0,743,3555,Der erst Precursor.,0,was,PWS,was,16500,,
tg,jnhn.0,743,3555,Der erst Precursor.,0,unns,APPRART,unns,16500,,
tg,jnhn.0,743,3555,Der erst Precursor.,0,zůkünfftig,ADJD,zůkünfftig,16500,,
tg,jnhn.0,743,3555,Der erst Precursor.,0,ist,VAFIN,sein,16500,,
tg,jnhn.0,743,3555,Der erst Precursor.,0,fürwar,ADJD,fürwar,16500,,
tg,jnhn.0,743,3555,Der erst Precursor.,0,"!",$.,--,16500,,
tg,jnhn.0,743,3555,Der erst Precursor.,0,in,APPR,in,16500,,
tg,jnhn.0,743,3555,Der erst Precursor.,0,der,ART,der,16500,,
tg,jnhn.0,743,3555,Der erst Precursor.,0,betriebten,ADJA,betriebt,16500,,
tg,jnhn.0,743,3555,Der erst Precursor.,0,weit,ADJD,weit,16500,,
tg,jnhn.0,743,3555,Der erst Precursor.,0,sicht,VVFIN,sichen,16500,,
tg,jnhn.0,743,3555,Der erst Precursor.,0,man,PIS,man,16500,,
tg,jnhn.0,743,3555,Der erst Precursor.,0,vor,APPR,vor,16500,,
tg,jnhn.0,743,3555,Der erst Precursor.,0,augen,ADJA,augen,16500,,
tg,jnhn.0,743,3555,Der erst Precursor.,0,klar,ADJD,klar,16500,,
tg,jnhn.0,743,3555,Der erst Precursor.,0,",","$,",--,16500,,
tg,jnhn.0,743,3555,Der erst Precursor.,0,Das,ART,der,16500,,
tg,jnhn.0,743,3555,Der erst Precursor.,0,wir,PPER,wir,16500,,
tg,jnhn.0,743,3555,Der erst Precursor.,0,alle,PIS,alle,16500,,
tg,jnhn.0,743,3555,Der erst Precursor.,0,sterben,VVFIN,sterben,16500,,
tg,jnhn.0,743,3555,Der erst Precursor.,0,müssen,VMFIN,müssen,16500,,
tg,jnhn.0,743,3555,Der erst Precursor.,0,unnd,ADJD,unnd,16500,,
tg,jnhn.0,743,3555,Der erst Precursor.,0,sterblich,ADJD,sterblich,16500,,
tg,jnhn.0,743,3555,Der erst Precursor.,0,sind,VAFIN,sein,16500,,
tg,jnhn.0,743,3555,Der erst Precursor.,0,",","$,",--,16500,,
tg,jnhn.0,743,3555,Der erst Precursor.,0,als,KOUS,als,16500,,
tg,jnhn.0,743,3555,Der erst Precursor.,0,man,PIS,man,16500,,
tg,jnhn.0,743,3555,Der erst Precursor.,0,Genesis,NE,genesis,16500,,
tg,jnhn.0,743,3555,Der erst Precursor.,0,am,APPRART,an,16500,,
tg,jnhn.0,743,3555,Der erst Precursor.,0,andern,ADJA,anderer,16500,,
tg,jnhn.0,743,3555,Der erst Precursor.,0,Capitel,NN,capitel,16500,,
tg,jnhn.0,743,3555,Der erst Precursor.,0,geschriben,VVPP,geschriben,16500,,
tg,jnhn.0,743,3555,Der erst Precursor.,0,find,ADJD,find,16500,,
tg,jnhn.0,743,3555,Der erst Precursor.,0,.,$.,--,16500,,
tg,jnhn.0,743,3555,Der erst Precursor.,0,Es,PPER,es,16500,,
tg,jnhn.0,743,3555,Der erst Precursor.,0,bedarff,VVFIN,bedarff,16500,,
tg,jnhn.0,743,3555,Der erst Precursor.,0,nit,ADJD,nit,16500,,
tg,jnhn.0,743,3555,Der erst Precursor.,0,vil,ADJD,vil,16500,,
tg,jnhn.0,743,3555,Der erst Precursor.,0,bewärung,VVFIN,bewärung,16500,,
tg,jnhn.0,743,3555,Der erst Precursor.,0,",","$,",--,16500,,
tg,jnhn.0,743,3555,Der erst Precursor.,0,man,PIS,man,16500,,
tg,jnhn.0,743,3555,Der erst Precursor.,0,kans,ADJD,kan,16500,,
tg,jnhn.0,743,3555,Der erst Precursor.,0,nit,ADJD,nit,16500,,
tg,jnhn.0,743,3555,Der erst Precursor.,0,laugen,VVFIN,laugen,16500,,
tg,jnhn.0,743,3555,Der erst Precursor.,0,",","$,",--,16500,,
tg,jnhn.0,743,3555,Der erst Precursor.,0,wir,PPER,wir,16500,,
tg,jnhn.0,743,3555,Der erst Precursor.,0,sehens,ADV,sehens,16500,,
tg,jnhn.0,743,3555,Der erst Precursor.,0,stäts,ADV,stäts,16500,,
tg,jnhn.0,743,3555,Der erst Precursor.,0,vor,APPR,vor,16500,,
tg,jnhn.0,743,3555,Der erst Precursor.,0,unns,NE,unns,16500,,
tg,jnhn.0,743,3555,Der erst Precursor.,0,mit,APPR,mit,16500,,
