corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
tg,k7f7.0,322,5007,0,,,
tg,k7f7.0,5020,33584,0,5034,7059,0
tg,k7f7.0,5020,33584,0,7073,9393,0
tg,k7f7.0,5020,33584,0,9407,12910,0
tg,k7f7.0,5020,33584,0,12924,14666,0
tg,k7f7.0,5020,33584,0,14680,17274,0
tg,k7f7.0,5020,33584,0,17289,19127,0
tg,k7f7.0,5020,33584,0,19141,20973,0
tg,k7f7.0,5020,33584,0,20988,23195,0
tg,k7f7.0,5020,33584,0,23210,24354,0
tg,k7f7.0,5020,33584,0,24368,26382,0
tg,k7f7.0,5020,33584,0,26396,28232,0
tg,k7f7.0,5020,33584,0,28247,33584,0
tg,k7f7.0,33600,43473,0,33614,37334,0
tg,k7f7.0,33600,43473,0,37349,39007,0
tg,k7f7.0,33600,43473,0,39022,39761,0
tg,k7f7.0,33600,43473,0,39775,41018,0
tg,k7f7.0,33600,43473,0,41033,43473,0
