corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
tg,kjgv.0,593,30702,0,607,4669,0
tg,kjgv.0,593,30702,0,4683,5819,0
tg,kjgv.0,593,30702,0,5833,9035,0
tg,kjgv.0,593,30702,0,9049,10535,0
tg,kjgv.0,593,30702,0,10549,11563,0
tg,kjgv.0,593,30702,0,11577,13067,0
tg,kjgv.0,593,30702,0,13082,13264,0
tg,kjgv.0,593,30702,0,13277,16335,0
tg,kjgv.0,593,30702,0,16349,18071,0
tg,kjgv.0,593,30702,0,18085,19212,0
tg,kjgv.0,593,30702,0,19226,20400,0
tg,kjgv.0,593,30702,0,20415,20947,0
tg,kjgv.0,593,30702,0,20961,22858,0
tg,kjgv.0,593,30702,0,22872,23751,0
tg,kjgv.0,593,30702,0,23765,24750,0
tg,kjgv.0,593,30702,0,24765,25431,0
tg,kjgv.0,593,30702,0,25445,25719,0
tg,kjgv.0,593,30702,0,25735,26630,0
tg,kjgv.0,593,30702,0,26644,28333,0
tg,kjgv.0,593,30702,0,28347,29224,0
tg,kjgv.0,593,30702,0,29239,30702,0
tg,kjgv.0,30719,53543,0,30733,31824,0
tg,kjgv.0,30719,53543,0,31839,33268,0
tg,kjgv.0,30719,53543,0,33282,36229,0
tg,kjgv.0,30719,53543,0,36243,37103,0
tg,kjgv.0,30719,53543,0,37119,37442,0
tg,kjgv.0,30719,53543,0,37454,38160,0
tg,kjgv.0,30719,53543,0,38176,38881,0
tg,kjgv.0,30719,53543,0,38895,40673,0
tg,kjgv.0,30719,53543,0,40688,43090,0
tg,kjgv.0,30719,53543,0,43104,44841,0
tg,kjgv.0,30719,53543,0,44855,45797,0
tg,kjgv.0,30719,53543,0,45812,47475,0
tg,kjgv.0,30719,53543,0,47490,48223,0
tg,kjgv.0,30719,53543,0,48239,53543,0
tg,kjgv.0,53559,68410,0,53573,55369,0
tg,kjgv.0,53559,68410,0,55383,56496,0
tg,kjgv.0,53559,68410,0,56510,57418,0
tg,kjgv.0,53559,68410,0,57433,58290,0
tg,kjgv.0,53559,68410,0,58306,58975,0
tg,kjgv.0,53559,68410,0,58989,61022,0
tg,kjgv.0,53559,68410,0,61036,62662,0
tg,kjgv.0,53559,68410,0,62677,63246,0
tg,kjgv.0,53559,68410,0,63261,64513,0
tg,kjgv.0,53559,68410,0,64528,66651,0
tg,kjgv.0,53559,68410,0,66667,68410,0
