corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
tg,kmfh.0,2317,2363,ACHAB 1,3,Ach,ITJ,ach,7634,,
tg,kmfh.0,2317,2363,ACHAB 1,3,grüß,ADJD,grüß,7634,,
tg,kmfh.0,2317,2363,ACHAB 1,3,dich,PRF,dich,7634,,
tg,kmfh.0,2317,2363,ACHAB 1,3,Gott,NN,gott,7634,,
tg,kmfh.0,2317,2363,ACHAB 1,3,/,VVFIN,--,7634,,
tg,kmfh.0,2317,2363,ACHAB 1,3,myn,PPER,myn,7634,,
tg,kmfh.0,2317,2363,ACHAB 1,3,mitgnoss,ADV,mitgnoss,7634,,
tg,kmfh.0,2317,2363,ACHAB 1,3,gůt,ADJD,gůt,7634,,
tg,kmfh.0,2368,2559,SEDECHIAS 2,1,Ach,ITJ,ach,7634,,
tg,kmfh.0,2368,2559,SEDECHIAS 2,1,gäb,ITJ,geben,7634,,
tg,kmfh.0,2368,2559,SEDECHIAS 2,1,dir,PPER,dir,7634,,
tg,kmfh.0,2368,2559,SEDECHIAS 2,1,Gott,NN,gott,7634,,
tg,kmfh.0,2368,2559,SEDECHIAS 2,1,/,CARD,--,7634,,
tg,kmfh.0,2368,2559,SEDECHIAS 2,1,was,PWS,was,7634,,
tg,kmfh.0,2368,2559,SEDECHIAS 2,1,ouch,PRF,ouch,7634,,
tg,kmfh.0,2368,2559,SEDECHIAS 2,1,dyn,FM,dyn,7634,,
tg,kmfh.0,2368,2559,SEDECHIAS 2,1,můt,FM,můt,7634,,
tg,kmfh.0,2368,2559,SEDECHIAS 2,1,Yetzund,FM,yetzund,7634,,
tg,kmfh.0,2368,2559,SEDECHIAS 2,1,begerd,FM,begerd,7634,,
tg,kmfh.0,2368,2559,SEDECHIAS 2,1,/,FM,--,7634,,
tg,kmfh.0,2368,2559,SEDECHIAS 2,1,und,KON,und,7634,,
tg,kmfh.0,2368,2559,SEDECHIAS 2,1,alle,PIDAT,alle,7634,,
tg,kmfh.0,2368,2559,SEDECHIAS 2,1,stund,ADJD,stund,7634,,
tg,kmfh.0,2368,2559,SEDECHIAS 2,1,Ach,ITJ,ach,7634,,
tg,kmfh.0,2368,2559,SEDECHIAS 2,1,/,ITJ,--,7634,,
tg,kmfh.0,2368,2559,SEDECHIAS 2,1,sag,VVIMP,sag,7634,,
tg,kmfh.0,2368,2559,SEDECHIAS 2,1,mir,PPER,sich,7634,SEDECHIAS 2,1
tg,kmfh.0,2368,2559,SEDECHIAS 2,1,an,APPR,an,7634,,
tg,kmfh.0,2368,2559,SEDECHIAS 2,1,mit,APPR,mit,7634,,
tg,kmfh.0,2368,2559,SEDECHIAS 2,1,fryem,ADJA,fry,7634,,
tg,kmfh.0,2368,2559,SEDECHIAS 2,1,mund,ADJD,mund,7634,,
tg,kmfh.0,2368,2559,SEDECHIAS 2,1,Was,PWS,was,7634,,
tg,kmfh.0,2368,2559,SEDECHIAS 2,1,dich,PRF,dich,7634,,
tg,kmfh.0,2368,2559,SEDECHIAS 2,1,yetzunder,ADV,yetzunder,7634,,
tg,kmfh.0,2368,2559,SEDECHIAS 2,1,tryb,VVFIN,tryb,7634,,
tg,kmfh.0,2368,2559,SEDECHIAS 2,1,her,PTKVZ,her,7634,,
tg,kmfh.0,2368,2559,SEDECHIAS 2,1,in,APPR,in,7634,,
tg,kmfh.0,2368,2559,SEDECHIAS 2,1,So,ADV,so,7634,,
tg,kmfh.0,2368,2559,SEDECHIAS 2,1,doch,ADV,doch,7634,,
tg,kmfh.0,2368,2559,SEDECHIAS 2,1,khein,ADV,khein,7634,,
