corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
tg,kq0w.0,3704,5015,Theseus,1,Noch,ADV,noch,2165,,
tg,kq0w.0,3704,5015,Theseus,1,einmal,ADV,einmal,2165,,
tg,kq0w.0,3704,5015,Theseus,1,will,VMFIN,wollen,2165,,
tg,kq0w.0,3704,5015,Theseus,1,ich,PPER,ich,2165,Theseus,1
tg,kq0w.0,3704,5015,Theseus,1,sie,PPER,sie,2165,,
tg,kq0w.0,3704,5015,Theseus,1,sehn,CARD,sehn,2165,,
tg,kq0w.0,3704,5015,Theseus,1,;,$.,--,2165,,
tg,kq0w.0,3704,5015,Theseus,1,zum,APPRART,zu,2165,,
tg,kq0w.0,3704,5015,Theseus,1,letztenmale,ADJA,letztenmal,2165,,
tg,kq0w.0,3704,5015,Theseus,1,"!",$.,--,2165,,
tg,kq0w.0,3704,5015,Theseus,1,So,ADV,so,2165,,
tg,kq0w.0,3704,5015,Theseus,1,sanft,ADJD,sanft,2165,,
tg,kq0w.0,3704,5015,Theseus,1,schläfst,VVFIN,schläfen,2165,,
tg,kq0w.0,3704,5015,Theseus,1,Du,PPER,du,2165,,
tg,kq0w.0,3704,5015,Theseus,1,",","$,",--,2165,,
tg,kq0w.0,3704,5015,Theseus,1,Ariadne,NN,ariadne,2165,Ariadne,0
tg,kq0w.0,3704,5015,Theseus,1,?,$.,--,2165,,
tg,kq0w.0,3704,5015,Theseus,1,Ahndest,NE,ahndest,2165,,
tg,kq0w.0,3704,5015,Theseus,1,nicht,PTKNEG,nicht,2165,,
tg,kq0w.0,3704,5015,Theseus,1,",","$,",--,2165,,
tg,kq0w.0,3704,5015,Theseus,1,daß,KOUS,daß,2165,,
tg,kq0w.0,3704,5015,Theseus,1,dieß,ADV,dassen,2165,,
tg,kq0w.0,3704,5015,Theseus,1,dein,PPOSAT,dein,2165,,
tg,kq0w.0,3704,5015,Theseus,1,letzter,ADJA,letzter,2165,,
tg,kq0w.0,3704,5015,Theseus,1,sanfter,ADJA,sanft,2165,,
tg,kq0w.0,3704,5015,Theseus,1,Schlaf,NN,schlaf,2165,,
tg,kq0w.0,3704,5015,Theseus,1,ist,VAFIN,sein,2165,,
tg,kq0w.0,3704,5015,Theseus,1,?,$.,--,2165,,
tg,kq0w.0,3704,5015,Theseus,1,Du,PPER,du,2165,,
tg,kq0w.0,3704,5015,Theseus,1,glaubst,ADV,glauben,2165,,
tg,kq0w.0,3704,5015,Theseus,1,Dich,ADV,dich,2165,,
tg,kq0w.0,3704,5015,Theseus,1,noch,ADV,noch,2165,,
tg,kq0w.0,3704,5015,Theseus,1,in,APPR,in,2165,,
tg,kq0w.0,3704,5015,Theseus,1,meinen,PPOSAT,mein,2165,Theseus,1
tg,kq0w.0,3704,5015,Theseus,1,Armen,NN,arm,2165,,
tg,kq0w.0,3704,5015,Theseus,1,–,XY,–,2165,,
tg,kq0w.0,3704,5015,Theseus,1,Drückst,NN,drückst,2165,,
tg,kq0w.0,3704,5015,Theseus,1,mich,PPER,mich,2165,Theseus,1
tg,kq0w.0,3704,5015,Theseus,1,noch,ADV,noch,2165,,
tg,kq0w.0,3704,5015,Theseus,1,an,APPR,an,2165,,
tg,kq0w.0,3704,5015,Theseus,1,Deinen,NN,dein,2165,,
tg,kq0w.0,3704,5015,Theseus,1,Busen,NE,busen,2165,,
tg,kq0w.0,3704,5015,Theseus,1,–,XY,–,2165,,
tg,kq0w.0,3704,5015,Theseus,1,Gutes,NN,gut,2165,,
