corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
tg,krf8.0,471,1021,Belmonte,3,Hier,ADV,hier,9187,,
tg,krf8.0,471,1021,Belmonte,3,",","$,",--,9187,,
tg,krf8.0,471,1021,Belmonte,3,Constanze,NE,constanze,9187,CONSTANZE,18
tg,krf8.0,471,1021,Belmonte,3,",","$,",--,9187,,
tg,krf8.0,471,1021,Belmonte,3,sollt,VVFIN,sollen,9187,,
tg,krf8.0,471,1021,Belmonte,3,',$[,--,9187,,
tg,krf8.0,471,1021,Belmonte,3,ich,PPER,ich,9187,Belmonte,3
tg,krf8.0,471,1021,Belmonte,3,dich,PRF,dich,9187,,
tg,krf8.0,471,1021,Belmonte,3,wieder,ADV,wieder,9187,,
tg,krf8.0,471,1021,Belmonte,3,finden,VVINF,finden,9187,,
tg,krf8.0,471,1021,Belmonte,3,?,$.,--,9187,,
tg,krf8.0,471,1021,Belmonte,3,–,XY,–,9187,,
tg,krf8.0,471,1021,Belmonte,3,Dis,NE,dis,9187,,
tg,krf8.0,471,1021,Belmonte,3,wär,VAFIN,sein,9187,,
tg,krf8.0,471,1021,Belmonte,3,der,ART,der,9187,,
tg,krf8.0,471,1021,Belmonte,3,Ort,NN,ort,9187,,
tg,krf8.0,471,1021,Belmonte,3,",","$,",--,9187,,
tg,krf8.0,471,1021,Belmonte,3,der,PRELS,der,9187,,
tg,krf8.0,471,1021,Belmonte,3,mein,PPOSAT,mein,9187,Belmonte,3
tg,krf8.0,471,1021,Belmonte,3,Mädchen,NN,mädchen,9187,,
tg,krf8.0,471,1021,Belmonte,3,",","$,",--,9187,,
tg,krf8.0,471,1021,Belmonte,3,mein,PPOSAT,mein,9187,Belmonte,3
tg,krf8.0,471,1021,Belmonte,3,Alles,PIS,alle,9187,,
tg,krf8.0,471,1021,Belmonte,3,verbärge,VVFIN,verbärgen,9187,,
tg,krf8.0,471,1021,Belmonte,3,?,$.,--,9187,,
tg,krf8.0,471,1021,Belmonte,3,–,XY,–,9187,,
tg,krf8.0,471,1021,Belmonte,3,O,NE,O,9187,,
tg,krf8.0,471,1021,Belmonte,3,daß,KOUS,daß,9187,,
tg,krf8.0,471,1021,Belmonte,3,es,PPER,es,9187,,
tg,krf8.0,471,1021,Belmonte,3,Wahrheit,NN,wahrheit,9187,,
tg,krf8.0,471,1021,Belmonte,3,wäre,VAFIN,sein,9187,,
tg,krf8.0,471,1021,Belmonte,3,"!",$.,--,9187,,
tg,krf8.0,471,1021,Belmonte,3,daß,KOUS,daß,9187,,
tg,krf8.0,471,1021,Belmonte,3,mich,PPER,mich,9187,Belmonte,3
tg,krf8.0,471,1021,Belmonte,3,kein,PIAT,kein,9187,,
tg,krf8.0,471,1021,Belmonte,3,süßer,ADJA,süßer,9187,,
tg,krf8.0,471,1021,Belmonte,3,Traum,NN,traum,9187,,
tg,krf8.0,471,1021,Belmonte,3,täuschte,VVFIN,täuschen,9187,,
tg,krf8.0,471,1021,Belmonte,3,"!",$.,--,9187,,
tg,krf8.0,471,1021,Belmonte,3,–,XY,–,9187,,
tg,krf8.0,471,1021,Belmonte,3,Ah,ITJ,ah,9187,,
tg,krf8.0,471,1021,Belmonte,3,",","$,",--,9187,,
tg,krf8.0,471,1021,Belmonte,3,Liebe,NN,liebe,9187,,
tg,krf8.0,471,1021,Belmonte,3,",","$,",--,9187,,
tg,krf8.0,471,1021,Belmonte,3,Liebe,NN,liebe,9187,,
tg,krf8.0,471,1021,Belmonte,3,"!",$.,--,9187,,
tg,krf8.0,471,1021,Belmonte,3,Du,PPER,du,9187,,
tg,krf8.0,471,1021,Belmonte,3,gabst,VAFIN,gabst,9187,,
tg,krf8.0,471,1021,Belmonte,3,mir,PPER,sich,9187,Belmonte,3
tg,krf8.0,471,1021,Belmonte,3,der,ART,der,9187,,
tg,krf8.0,471,1021,Belmonte,3,Leiden,NN,leiden,9187,,
tg,krf8.0,471,1021,Belmonte,3,so,ADV,so,9187,,
tg,krf8.0,471,1021,Belmonte,3,viel,PIDAT,viel,9187,,
tg,krf8.0,471,1021,Belmonte,3,;,$.,--,9187,,
