corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
tg,ktt1.0,503,1340,Rosaura,5,Du,PPER,du,21556,,
tg,ktt1.0,503,1340,Rosaura,5,Hippogryph,NN,hippogryph,21556,,
tg,ktt1.0,503,1340,Rosaura,5,",","$,",--,21556,,
tg,ktt1.0,503,1340,Rosaura,5,an,APPR,an,21556,,
tg,ktt1.0,503,1340,Rosaura,5,Schnelle,NN,schnelle,21556,,
tg,ktt1.0,503,1340,Rosaura,5,den,ART,der,21556,,
tg,ktt1.0,503,1340,Rosaura,5,Winden,NN,winde,21556,,
tg,ktt1.0,503,1340,Rosaura,5,gleich,ADV,gleich,21556,,
tg,ktt1.0,503,1340,Rosaura,5,",","$,",--,21556,,
tg,ktt1.0,503,1340,Rosaura,5,unbändiger,ADJA,unbändig,21556,,
tg,ktt1.0,503,1340,Rosaura,5,Geselle,NN,geselle,21556,,
tg,ktt1.0,503,1340,Rosaura,5,"!",$.,--,21556,,
tg,ktt1.0,503,1340,Rosaura,5,Wohin,PWAV,wohin,21556,,
tg,ktt1.0,503,1340,Rosaura,5,",","$,",--,21556,,
tg,ktt1.0,503,1340,Rosaura,5,Blitz,NE,blitz,21556,,
tg,ktt1.0,503,1340,Rosaura,5,ohne,APPR,ohne,21556,,
tg,ktt1.0,503,1340,Rosaura,5,Schimmer,NN,schimmer,21556,,
tg,ktt1.0,503,1340,Rosaura,5,",","$,",--,21556,,
tg,ktt1.0,503,1340,Rosaura,5,glanzloser,ADJA,glanzlos,21556,,
tg,ktt1.0,503,1340,Rosaura,5,Vogel,NN,vogel,21556,,
tg,ktt1.0,503,1340,Rosaura,5,",","$,",--,21556,,
tg,ktt1.0,503,1340,Rosaura,5,schuppenloser,ADJA,schuppenlos,21556,,
tg,ktt1.0,503,1340,Rosaura,5,Schwimmer,NN,schwimmer,21556,,
tg,ktt1.0,503,1340,Rosaura,5,",","$,",--,21556,,
