corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
tg,mjbp.0,510,100418,0,510,4283,0
tg,mjbp.0,510,100418,0,4298,13588,0
tg,mjbp.0,510,100418,0,13602,16396,0
tg,mjbp.0,510,100418,0,16411,28717,0
tg,mjbp.0,510,100418,0,28732,35822,0
tg,mjbp.0,510,100418,0,35837,48780,0
tg,mjbp.0,510,100418,0,48794,58271,0
tg,mjbp.0,510,100418,0,58286,70109,0
tg,mjbp.0,510,100418,0,70124,71399,0
tg,mjbp.0,510,100418,0,71414,82160,0
tg,mjbp.0,510,100418,0,82174,89174,0
tg,mjbp.0,510,100418,0,89190,94523,0
tg,mjbp.0,510,100418,0,94537,97513,0
tg,mjbp.0,510,100418,0,97529,100417,0
