corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
tg,msdg.0,207,341,KÖNIG,19,Nimmt,NE,nehmen,6100,,
tg,msdg.0,207,341,KÖNIG,19,denn,ADV,denn,6100,,
tg,msdg.0,207,341,KÖNIG,19,die,ART,der,6100,,
tg,msdg.0,207,341,KÖNIG,19,Erde,NN,erde,6100,,
tg,msdg.0,207,341,KÖNIG,19,kein,PIAT,kein,6100,,
tg,msdg.0,207,341,KÖNIG,19,End,NN,end,6100,,
tg,msdg.0,207,341,KÖNIG,19,einmal,ADV,einmal,6100,,
tg,msdg.0,207,341,KÖNIG,19,"!",$.,--,6100,,
tg,msdg.0,207,341,KÖNIG,19,Das,ART,der,6100,,
tg,msdg.0,207,341,KÖNIG,19,Reisen,NN,reise,6100,,
tg,msdg.0,207,341,KÖNIG,19,ist,VAFIN,sein,6100,,
tg,msdg.0,207,341,KÖNIG,19,mir,PPER,sich,6100,KÖNIG,19
tg,msdg.0,207,341,KÖNIG,19,schon,ADV,schon,6100,,
tg,msdg.0,207,341,KÖNIG,19,ganz,ADV,ganz,6100,,
tg,msdg.0,207,341,KÖNIG,19,fatal,ADJD,fatal,6100,,
tg,msdg.0,207,341,KÖNIG,19,.,$.,--,6100,,
tg,msdg.0,207,341,KÖNIG,19,Gibt's,NE,gibt's,6100,,
tg,msdg.0,207,341,KÖNIG,19,denn,ADV,denn,6100,,
tg,msdg.0,207,341,KÖNIG,19,nichts,PIAT,nichts,6100,,
tg,msdg.0,207,341,KÖNIG,19,Neues,NN,neue,6100,,
tg,msdg.0,207,341,KÖNIG,19,?,$.,--,6100,,
tg,msdg.0,207,341,KÖNIG,19,kein,PIAT,kein,6100,,
tg,msdg.0,207,341,KÖNIG,19,Krieg,NN,krieg,6100,,
tg,msdg.0,207,341,KÖNIG,19,",","$,",--,6100,,
tg,msdg.0,207,341,KÖNIG,19,kein,PIAT,kein,6100,,
tg,msdg.0,207,341,KÖNIG,19,Kurier,NN,kurier,6100,,
tg,msdg.0,207,341,KÖNIG,19,?,$.,--,6100,,
tg,msdg.0,347,402,NARR,13,Die,ART,der,6100,,
tg,msdg.0,347,402,NARR,13,Welt,NN,welt,6100,,
tg,msdg.0,347,402,NARR,13,schmaucht,VVFIN,schmauchen,6100,,
tg,msdg.0,347,402,NARR,13,ihr,PPOSAT,ihr,6100,,
tg,msdg.0,347,402,NARR,13,Pfeifchen,NN,pfeifchen,6100,,
tg,msdg.0,347,402,NARR,13,beim,APPRART,bei,6100,,
tg,msdg.0,347,402,NARR,13,Glase,NN,glase,6100,,
tg,msdg.0,347,402,NARR,13,Bier,NN,bier,6100,,
tg,msdg.0,347,402,NARR,13,.,$.,--,6100,,
tg,msdg.0,407,499,KÖNIG,19,Du,PPER,du,6100,,
tg,msdg.0,407,499,KÖNIG,19,wirst,VAFIN,werden,6100,,
tg,msdg.0,407,499,KÖNIG,19,auch,ADV,auch,6100,,
tg,msdg.0,407,499,KÖNIG,19,schon,ADV,schon,6100,,
tg,msdg.0,407,499,KÖNIG,19,jetzo,ADV,jetzo,6100,,
tg,msdg.0,407,499,KÖNIG,19,recht,ADJD,recht,6100,,
tg,msdg.0,407,499,KÖNIG,19,ennüyant,ADJD,ennüyant,6100,,
tg,msdg.0,407,499,KÖNIG,19,",","$,",--,6100,,
tg,msdg.0,407,499,KÖNIG,19,Je,ADV,je,6100,,
tg,msdg.0,407,499,KÖNIG,19,mehr,PIAT,mehr,6100,,
tg,msdg.0,407,499,KÖNIG,19,du,PPER,du,6100,,
tg,msdg.0,407,499,KÖNIG,19,kommst,VVFIN,kommst,6100,,
tg,msdg.0,407,499,KÖNIG,19,zu,APPR,zu,6100,,
tg,msdg.0,407,499,KÖNIG,19,Jahren,NN,jahr,6100,,
tg,msdg.0,407,499,KÖNIG,19,und,KON,und,6100,,
tg,msdg.0,407,499,KÖNIG,19,Verstand,NN,verstand,6100,,
tg,msdg.0,407,499,KÖNIG,19,.,$.,--,6100,,
tg,msdg.0,505,723,NARR,13,Das,PDS,der,6100,,
tg,msdg.0,505,723,NARR,13,lohnte,VVFIN,lohnen,6100,,
tg,msdg.0,505,723,NARR,13,auch,ADV,auch,6100,,
tg,msdg.0,505,723,NARR,13,noch,ADV,noch,6100,,
tg,msdg.0,505,723,NARR,13,",","$,",--,6100,,
tg,msdg.0,505,723,NARR,13,ein,ART,ein,6100,,
