corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
tg,mvqp.0,9974,10061,Der Fremde.,2,Schön,NE,schön,13368,,
tg,mvqp.0,9974,10061,Der Fremde.,2,',$[,--,13368,,
tg,mvqp.0,9974,10061,Der Fremde.,2,guten,ADJA,gut,13368,,
tg,mvqp.0,9974,10061,Der Fremde.,2,Tag,NN,tag,13368,,
tg,mvqp.0,9974,10061,Der Fremde.,2,",","$,",--,13368,,
tg,mvqp.0,9974,10061,Der Fremde.,2,Vater,NN,vater,13368,,
tg,mvqp.0,9974,10061,Der Fremde.,2,.,$.,--,13368,,
tg,mvqp.0,10066,10139,DER ALTE,16,Großen,ADJA,groß,13368,,
tg,mvqp.0,10066,10139,DER ALTE,16,Dank,NN,dank,13368,,
tg,mvqp.0,10066,10139,DER ALTE,16,",","$,",--,13368,,
tg,mvqp.0,10066,10139,DER ALTE,16,Söhnchen,NN,söhnchen,13368,,
tg,mvqp.0,10066,10139,DER ALTE,16,.,$.,--,13368,,
tg,mvqp.0,10066,10139,DER ALTE,16,.,$.,--,13368,,
tg,mvqp.0,10066,10139,DER ALTE,16,.,$.,--,13368,,
tg,mvqp.0,10066,10139,DER ALTE,16,oder,KON,oder,13368,,
tg,mvqp.0,10066,10139,DER ALTE,16,Enkelkind,NE,enkelkind,13368,,
tg,mvqp.0,10066,10139,DER ALTE,16,.,$.,--,13368,,
tg,mvqp.0,10066,10139,DER ALTE,16,.,$.,--,13368,,
tg,mvqp.0,10066,10139,DER ALTE,16,.,$.,--,13368,,
tg,mvqp.0,10066,10139,DER ALTE,16,oder,KON,oder,13368,,
tg,mvqp.0,10066,10139,DER ALTE,16,was,PWS,was,13368,,
tg,mvqp.0,10066,10139,DER ALTE,16,du,PPER,du,13368,,
tg,mvqp.0,10066,10139,DER ALTE,16,bist,VAFIN,sein,13368,,
tg,mvqp.0,10066,10139,DER ALTE,16,.,$.,--,13368,,
tg,mvqp.0,10144,10201,Der Fremde.,2,Wohin,PWAV,wohin,13368,,
tg,mvqp.0,10144,10201,Der Fremde.,2,geht's,VVFIN,geht,13368,,
tg,mvqp.0,10144,10201,Der Fremde.,2,da,ADV,da,13368,,
tg,mvqp.0,10144,10201,Der Fremde.,2,hinaus,PTKVZ,hinaus,13368,,
tg,mvqp.0,10144,10201,Der Fremde.,2,?,$.,--,13368,,
tg,mvqp.0,10206,10228,DER ALTE,16,Je,ADV,je,13368,,
tg,mvqp.0,10206,10228,DER ALTE,16,nachdem,KOUS,nachdem,13368,,
tg,mvqp.0,10206,10228,DER ALTE,16,.,$.,--,13368,,
tg,mvqp.0,10233,10258,Der Fremde.,2,Wonach,NE,wonach,13368,,
tg,mvqp.0,10233,10258,Der Fremde.,2,denn,ADV,denn,13368,,
tg,mvqp.0,10233,10258,Der Fremde.,2,?,$.,--,13368,,
