corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
tg,mvr3.0,1138,1179,DER BÜRGERMEISTER,28,Es,PPER,es,28044,,
tg,mvr3.0,1138,1179,DER BÜRGERMEISTER,28,schießt,VVFIN,schießen,28044,,
tg,mvr3.0,1138,1179,DER BÜRGERMEISTER,28,furchtbar,ADJD,furchtbar,28044,,
tg,mvr3.0,1138,1179,DER BÜRGERMEISTER,28,.,$.,--,28044,,
tg,mvr3.0,1184,1230,EIN RAT,35,Könnt,VVFIN,können,28044,,
tg,mvr3.0,1184,1230,EIN RAT,35,es,PPER,es,28044,,
tg,mvr3.0,1184,1230,EIN RAT,35,auch,ADV,auch,28044,,
tg,mvr3.0,1184,1230,EIN RAT,35,zu,APPR,zu,28044,,
tg,mvr3.0,1184,1230,EIN RAT,35,uns,PPER,uns,28044,,
tg,mvr3.0,1184,1230,EIN RAT,35,hereinschlagen,VVINF,hereinschlagen,28044,,
tg,mvr3.0,1184,1230,EIN RAT,35,?,$.,--,28044,,
tg,mvr3.0,1235,1329,RAT KLEMENS,19,Möchten,VMFIN,möchten,28044,,
tg,mvr3.0,1235,1329,RAT KLEMENS,19,wir,PPER,wir,28044,,
tg,mvr3.0,1235,1329,RAT KLEMENS,19,die,ART,der,28044,,
tg,mvr3.0,1235,1329,RAT KLEMENS,19,Sitzung,NN,sitzung,28044,,
tg,mvr3.0,1235,1329,RAT KLEMENS,19,nicht,PTKNEG,nicht,28044,,
tg,mvr3.0,1235,1329,RAT KLEMENS,19,in,APPR,in,28044,,
tg,mvr3.0,1235,1329,RAT KLEMENS,19,meinem,PPOSAT,mein,28044,RAT KLEMENS,19
tg,mvr3.0,1235,1329,RAT KLEMENS,19,Keller,NN,keller,28044,,
tg,mvr3.0,1235,1329,RAT KLEMENS,19,abhalten,VVINF,abhalten,28044,,
tg,mvr3.0,1235,1329,RAT KLEMENS,19,?,$.,--,28044,,
tg,mvr3.0,1235,1329,RAT KLEMENS,19,"!",$.,--,28044,,
tg,mvr3.0,1334,1667,ROLAND,11,Z.B,NE,z.b,28044,,
tg,mvr3.0,1334,1667,ROLAND,11,.,$.,--,28044,,
tg,mvr3.0,1334,1667,ROLAND,11,BeBesatzung,NN,bebesatzung,28044,,
tg,mvr3.0,1334,1667,ROLAND,11,",","$,",--,28044,,
tg,mvr3.0,1334,1667,ROLAND,11,wo,PWAV,wo,28044,,
tg,mvr3.0,1334,1667,ROLAND,11,Satzung,NN,satzung,28044,,
tg,mvr3.0,1334,1667,ROLAND,11,kaum,ADV,kaum,28044,,
tg,mvr3.0,1334,1667,ROLAND,11,zum,APPRART,zu,28044,,
tg,mvr3.0,1334,1667,ROLAND,11,Laut,APPR,laut,28044,,
tg,mvr3.0,1334,1667,ROLAND,11,wird,VAFIN,werden,28044,,
tg,mvr3.0,1334,1667,ROLAND,11,.,$.,--,28044,,
tg,mvr3.0,1334,1667,ROLAND,11,Auch,ADV,auch,28044,,
tg,mvr3.0,1334,1667,ROLAND,11,stottert,VVFIN,stottern,28044,,
tg,mvr3.0,1334,1667,ROLAND,11,er,PPER,er,28044,,
tg,mvr3.0,1334,1667,ROLAND,11,mehr,ADV,mehr,28044,,
tg,mvr3.0,1334,1667,ROLAND,11,",","$,",--,28044,,
tg,mvr3.0,1334,1667,ROLAND,11,wenn,KOUS,wenn,28044,,
