corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
tg,npm2.0,619,669,"Leon, Küchenjunge.",2,Ich,PPER,ich,18379,,
tg,npm2.0,619,669,"Leon, Küchenjunge.",2,muß,VMFIN,müssen,18379,,
tg,npm2.0,619,669,"Leon, Küchenjunge.",2,den,ART,der,18379,,
tg,npm2.0,619,669,"Leon, Küchenjunge.",2,Bischof,NN,bischof,18379,,
tg,npm2.0,619,669,"Leon, Küchenjunge.",2,durchaus,ADV,durchaus,18379,,
tg,npm2.0,619,669,"Leon, Küchenjunge.",2,sprechen,VVINF,sprechen,18379,,
tg,npm2.0,619,669,"Leon, Küchenjunge.",2,",","$,",--,18379,,
tg,npm2.0,619,669,"Leon, Küchenjunge.",2,Herr,NN,herr,18379,,
tg,npm2.0,619,669,"Leon, Küchenjunge.",2,"!",$.,--,18379,,
tg,npm2.0,674,736,HAUSVERWALTER,15,Du,PPER,du,18379,,
tg,npm2.0,674,736,HAUSVERWALTER,15,sollst,VVFIN,sollen,18379,,
tg,npm2.0,674,736,HAUSVERWALTER,15,nicht,PTKNEG,nicht,18379,,
tg,npm2.0,674,736,HAUSVERWALTER,15,",","$,",--,18379,,
tg,npm2.0,674,736,HAUSVERWALTER,15,sag,VVIMP,sögen,18379,,
tg,npm2.0,674,736,HAUSVERWALTER,15,ich,PPER,ich,18379,HAUSVERWALTER,15
tg,npm2.0,674,736,HAUSVERWALTER,15,dir,PRF,dir,18379,,
tg,npm2.0,674,736,HAUSVERWALTER,15,",","$,",--,18379,,
tg,npm2.0,674,736,HAUSVERWALTER,15,verwegner,ADJA,verwegn,18379,,
tg,npm2.0,674,736,HAUSVERWALTER,15,Bursch,NN,bursch,18379,,
tg,npm2.0,674,736,HAUSVERWALTER,15,"!",$.,--,18379,,
tg,npm2.0,741,876,"Leon, Küchenjunge.",2,Seht,NN,sehen,18379,,
tg,npm2.0,741,876,"Leon, Küchenjunge.",2,ihr,PPOSAT,ihr,18379,,
tg,npm2.0,741,876,"Leon, Küchenjunge.",2,?,$.,--,18379,,
tg,npm2.0,741,876,"Leon, Küchenjunge.",2,ich,PPER,ich,18379,"Leon, Küchenjunge.",2
tg,npm2.0,741,876,"Leon, Küchenjunge.",2,zieh,ADV,ziehen,18379,,
tg,npm2.0,741,876,"Leon, Küchenjunge.",2,vom,APPRART,von,18379,,
tg,npm2.0,741,876,"Leon, Küchenjunge.",2,Leder,NN,leder,18379,,
tg,npm2.0,741,876,"Leon, Küchenjunge.",2,",","$,",--,18379,,
tg,npm2.0,741,876,"Leon, Küchenjunge.",2,weicht,VVFIN,weichen,18379,,
tg,npm2.0,741,876,"Leon, Küchenjunge.",2,ihr,PPER,ihr,18379,,
