corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
tg,pkgw.0,7645,9411,ELISABETH,24,Wir,PPER,wir,16300,,
tg,pkgw.0,7645,9411,ELISABETH,24,/,VVFIN,--,16300,,
tg,pkgw.0,7645,9411,ELISABETH,24,die,ART,der,16300,,
tg,pkgw.0,7645,9411,ELISABETH,24,uns,PPER,uns,16300,,
tg,pkgw.0,7645,9411,ELISABETH,24,durch,APPR,durch,16300,,
tg,pkgw.0,7645,9411,ELISABETH,24,uns,PPER,uns,16300,,
tg,pkgw.0,7645,9411,ELISABETH,24,der,ART,der,16300,,
tg,pkgw.0,7645,9411,ELISABETH,24,Sterbligkeit,NN,sterbligkeit,16300,,
tg,pkgw.0,7645,9411,ELISABETH,24,entrissen,VVPP,entreißen,16300,,
tg,pkgw.0,7645,9411,ELISABETH,24,/,VAFIN,--,16300,,
tg,pkgw.0,7645,9411,ELISABETH,24,Wir,PPER,wir,16300,,
tg,pkgw.0,7645,9411,ELISABETH,24,/,VVFIN,--,16300,,
tg,pkgw.0,7645,9411,ELISABETH,24,die,ART,der,16300,,
tg,pkgw.0,7645,9411,ELISABETH,24,die,ART,der,16300,,
tg,pkgw.0,7645,9411,ELISABETH,24,grosse,ADJA,groß,16300,,
tg,pkgw.0,7645,9411,ELISABETH,24,Welt,NN,welt,16300,,
tg,pkgw.0,7645,9411,ELISABETH,24,auch,ADV,auch,16300,,
tg,pkgw.0,7645,9411,ELISABETH,24,todt,ADJD,todt,16300,,
tg,pkgw.0,7645,9411,ELISABETH,24,wird,VAFIN,werden,16300,,
tg,pkgw.0,7645,9411,ELISABETH,24,rühmen,VVINF,rühmen,16300,,
tg,pkgw.0,7645,9411,ELISABETH,24,müssen,VMFIN,müssen,16300,,
tg,pkgw.0,7645,9411,ELISABETH,24,/,PPER,--,16300,,
tg,pkgw.0,7645,9411,ELISABETH,24,Wir,PPER,wir,16300,,
tg,pkgw.0,7645,9411,ELISABETH,24,/,VVFIN,--,16300,,
tg,pkgw.0,7645,9411,ELISABETH,24,die,ART,der,16300,,
tg,pkgw.0,7645,9411,ELISABETH,24,wir,PPER,wir,16300,,
tg,pkgw.0,7645,9411,ELISABETH,24,dargethan,ADV,dargethan,16300,,
tg,pkgw.0,7645,9411,ELISABETH,24,durch,APPR,durch,16300,,
tg,pkgw.0,7645,9411,ELISABETH,24,unser,PPOSAT,unser,16300,,
tg,pkgw.0,7645,9411,ELISABETH,24,Tugend,NN,tugend,16300,,
tg,pkgw.0,7645,9411,ELISABETH,24,Schein,NN,schein,16300,,
tg,pkgw.0,7645,9411,ELISABETH,24,/,CARD,--,16300,,
