corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
tg,pkhg.0,573,27482,0,587,2036,0
tg,pkhg.0,573,27482,0,2050,2821,0
tg,pkhg.0,573,27482,0,2835,3906,0
tg,pkhg.0,573,27482,0,3920,4679,0
tg,pkhg.0,573,27482,0,4693,5399,0
tg,pkhg.0,573,27482,0,5413,13500,0
tg,pkhg.0,573,27482,0,13514,23961,0
tg,pkhg.0,573,27482,0,23976,25577,0
tg,pkhg.0,573,27482,0,25591,27482,0
tg,pkhg.0,27498,55295,0,27512,28580,0
tg,pkhg.0,27498,55295,0,28594,29087,0
tg,pkhg.0,27498,55295,0,29101,30730,0
tg,pkhg.0,27498,55295,0,30745,31271,0
tg,pkhg.0,27498,55295,0,31285,31543,0
tg,pkhg.0,27498,55295,0,31557,33288,0
tg,pkhg.0,27498,55295,0,33302,34181,0
tg,pkhg.0,27498,55295,0,34195,35020,0
tg,pkhg.0,27498,55295,0,35034,35633,0
tg,pkhg.0,27498,55295,0,35645,36574,0
tg,pkhg.0,27498,55295,0,36588,43235,0
tg,pkhg.0,27498,55295,0,43249,44288,0
tg,pkhg.0,27498,55295,0,44302,45133,0
tg,pkhg.0,27498,55295,0,45147,47677,0
tg,pkhg.0,27498,55295,0,47691,48156,0
tg,pkhg.0,27498,55295,0,48171,48543,0
tg,pkhg.0,27498,55295,0,48557,54863,0
tg,pkhg.0,27498,55295,0,54877,55295,0
tg,pkhg.0,55311,82115,0,55325,56673,0
tg,pkhg.0,55311,82115,0,56685,56911,0
tg,pkhg.0,55311,82115,0,56923,58695,0
tg,pkhg.0,55311,82115,0,58709,59083,0
tg,pkhg.0,55311,82115,0,59095,62625,0
tg,pkhg.0,55311,82115,0,62639,62870,0
tg,pkhg.0,55311,82115,0,62882,63347,0
tg,pkhg.0,55311,82115,0,63361,65540,0
tg,pkhg.0,55311,82115,0,65554,66821,0
tg,pkhg.0,55311,82115,0,66835,67571,0
tg,pkhg.0,55311,82115,0,67585,70620,0
tg,pkhg.0,55311,82115,0,70634,72272,0
tg,pkhg.0,55311,82115,0,72286,73649,0
tg,pkhg.0,55311,82115,0,73663,77097,0
tg,pkhg.0,55311,82115,0,77111,78777,0
tg,pkhg.0,55311,82115,0,78791,82115,0
tg,pkhg.0,82131,109275,0,82145,84911,0
tg,pkhg.0,82131,109275,0,84925,86529,0
tg,pkhg.0,82131,109275,0,86544,86985,0
tg,pkhg.0,82131,109275,0,86999,87758,0
tg,pkhg.0,82131,109275,0,87772,88275,0
tg,pkhg.0,82131,109275,0,88289,92420,0
tg,pkhg.0,82131,109275,0,92435,96120,0
tg,pkhg.0,82131,109275,0,96134,101773,0
tg,pkhg.0,82131,109275,0,101787,108824,0
tg,pkhg.0,82131,109275,0,108838,109275,0
tg,pkhg.0,109291,134831,0,109305,117186,0
tg,pkhg.0,109291,134831,0,117200,117480,0
tg,pkhg.0,109291,134831,0,117494,117614,0
tg,pkhg.0,109291,134831,0,117628,118618,0
tg,pkhg.0,109291,134831,0,118632,123157,0
tg,pkhg.0,109291,134831,0,123171,125451,0
tg,pkhg.0,109291,134831,0,125465,130081,0
tg,pkhg.0,109291,134831,0,130095,131555,0
tg,pkhg.0,109291,134831,0,131569,134831,0
