corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
tg,pkhh.0,963,1341,HUNGER,19,Er,PPER,er,7918,,
tg,pkhh.0,963,1341,HUNGER,19,hat,VAFIN,haben,7918,,
tg,pkhh.0,963,1341,HUNGER,19,einen,ART,ein,7918,,
tg,pkhh.0,963,1341,HUNGER,19,leinenen,ADJA,leenen,7918,,
tg,pkhh.0,963,1341,HUNGER,19,Kittel,NE,kittel,7918,,
tg,pkhh.0,963,1341,HUNGER,19,an,PTKVZ,an,7918,,
tg,pkhh.0,963,1341,HUNGER,19,und,KON,und,7918,,
tg,pkhh.0,963,1341,HUNGER,19,eine,ART,ein,7918,,
tg,pkhh.0,963,1341,HUNGER,19,blaue,ADJA,blau,7918,,
tg,pkhh.0,963,1341,HUNGER,19,Arbeitsschürze,NN,arbeitsschürze,7918,,
tg,pkhh.0,963,1341,HUNGER,19,vorgebunden,VVPP,vorbinden,7918,,
tg,pkhh.0,963,1341,HUNGER,19,.,$.,--,7918,,
tg,pkhh.0,963,1341,HUNGER,19,Er,PPER,er,7918,,
tg,pkhh.0,963,1341,HUNGER,19,ist,VAFIN,sein,7918,,
tg,pkhh.0,963,1341,HUNGER,19,bis,APPR,bis,7918,,
tg,pkhh.0,963,1341,HUNGER,19,ins,APPRART,in,7918,,
tg,pkhh.0,963,1341,HUNGER,19,Atelier,NN,atelier,7918,,
tg,pkhh.0,963,1341,HUNGER,19,gekommen,VVPP,kommen,7918,,
tg,pkhh.0,963,1341,HUNGER,19,.,$.,--,7918,,
tg,pkhh.0,963,1341,HUNGER,19,Macht,NN,macht,7918,,
tg,pkhh.0,963,1341,HUNGER,19,nur,ADV,nur,7918,,
tg,pkhh.0,963,1341,HUNGER,19,bloss,ADJD,bloss,7918,,
tg,pkhh.0,963,1341,HUNGER,19,",","$,",--,7918,,
tg,pkhh.0,963,1341,HUNGER,19,dass,KOUS,daß,7918,,
tg,pkhh.0,963,1341,HUNGER,19,Ihr,PPOSAT,ihr,7918,,
tg,pkhh.0,963,1341,HUNGER,19,hier,ADV,hier,7918,,
tg,pkhh.0,963,1341,HUNGER,19,im,APPRART,in,7918,,
tg,pkhh.0,963,1341,HUNGER,19,Atelier,NN,atelier,7918,,
tg,pkhh.0,963,1341,HUNGER,19,",","$,",--,7918,,
tg,pkhh.0,963,1341,HUNGER,19,fertig,ADJD,fertig,7918,,
tg,pkhh.0,963,1341,HUNGER,19,werdet,VVFIN,werden,7918,,
tg,pkhh.0,963,1341,HUNGER,19,.,$.,--,7918,,
tg,pkhh.0,963,1341,HUNGER,19,Der,ART,der,7918,,
tg,pkhh.0,963,1341,HUNGER,19,Meister,NN,meister,7918,,
tg,pkhh.0,963,1341,HUNGER,19,kommt,VVFIN,kommen,7918,,
tg,pkhh.0,963,1341,HUNGER,19,schon,ADV,schon,7918,,
tg,pkhh.0,963,1341,HUNGER,19,die,ART,der,7918,,
tg,pkhh.0,963,1341,HUNGER,19,Treppen,NN,treppe,7918,,
tg,pkhh.0,963,1341,HUNGER,19,herauf,PTKVZ,herauf,7918,,
tg,pkhh.0,963,1341,HUNGER,19,.,$.,--,7918,,
tg,pkhh.0,1347,1557,HUNGER,19,Herr,NN,herr,7918,,
tg,pkhh.0,1347,1557,HUNGER,19,Jesus,NE,Jesus,7918,,
tg,pkhh.0,1347,1557,HUNGER,19,",","$,",--,7918,,
tg,pkhh.0,1347,1557,HUNGER,19,da,ADV,da,7918,,
tg,pkhh.0,1347,1557,HUNGER,19,macht,VVFIN,machen,7918,,
tg,pkhh.0,1347,1557,HUNGER,19,doch,ADV,doch,7918,,
tg,pkhh.0,1347,1557,HUNGER,19,nur,ADV,nur,7918,,
tg,pkhh.0,1347,1557,HUNGER,19,"!",$.,--,7918,,
tg,pkhh.0,1347,1557,HUNGER,19,Meinetwegen,NN,meinetwegen,7918,,
tg,pkhh.0,1347,1557,HUNGER,19,könnt,VVFIN,können,7918,,
tg,pkhh.0,1347,1557,HUNGER,19,Ihr,PPOSAT,ihr,7918,,
tg,pkhh.0,1347,1557,HUNGER,19,das,ART,der,7918,,
tg,pkhh.0,1347,1557,HUNGER,19,übrige,ADJA,übrig,7918,,
tg,pkhh.0,1347,1557,HUNGER,19,noch,ADV,noch,7918,,
tg,pkhh.0,1347,1557,HUNGER,19,vollends,ADV,vollends,7918,,
tg,pkhh.0,1347,1557,HUNGER,19,in,APPR,in,7918,,
tg,pkhh.0,1347,1557,HUNGER,19,Ordnung,NN,ordnung,7918,,
tg,pkhh.0,1347,1557,HUNGER,19,bringen,VVINF,bringen,7918,,
tg,pkhh.0,1347,1557,HUNGER,19,",","$,",--,7918,,
tg,pkhh.0,1347,1557,HUNGER,19,wenn,KOUS,wenn,7918,,
tg,pkhh.0,1347,1557,HUNGER,19,sich,PRF,sich,7918,,
tg,pkhh.0,1347,1557,HUNGER,19,der,ART,der,7918,,
tg,pkhh.0,1347,1557,HUNGER,19,Herr,NN,herr,7918,,
tg,pkhh.0,1347,1557,HUNGER,19,für,APPR,für,7918,,
tg,pkhh.0,1347,1557,HUNGER,19,den,ART,der,7918,,
tg,pkhh.0,1347,1557,HUNGER,19,Fasching,NN,fasching,7918,,
tg,pkhh.0,1347,1557,HUNGER,19,anzieht,VVFIN,anziehen,7918,,
tg,pkhh.0,1347,1557,HUNGER,19,.,$.,--,7918,,
tg,pkhh.0,1347,1557,HUNGER,19,.,$.,--,7918,,
tg,pkhh.0,1347,1557,HUNGER,19,.,$.,--,7918,,
tg,pkhh.0,1347,1557,HUNGER,19,rasch,ADJD,rasch,7918,,
tg,pkhh.0,1347,1557,HUNGER,19,"!",$.,--,7918,,
tg,pkhh.0,1347,1557,HUNGER,19,.,$.,--,7918,,
tg,pkhh.0,1347,1557,HUNGER,19,.,$.,--,7918,,
tg,pkhh.0,1347,1557,HUNGER,19,.,$.,--,7918,,
tg,pkhh.0,1347,1557,HUNGER,19,nur,ADV,nur,7918,,
tg,pkhh.0,1347,1557,HUNGER,19,rasch,ADJD,rasch,7918,,
tg,pkhh.0,1347,1557,HUNGER,19,"!",$.,--,7918,,
tg,pkhh.0,1347,1557,HUNGER,19,.,$.,--,7918,,
tg,pkhh.0,1347,1557,HUNGER,19,.,$.,--,7918,,
tg,pkhh.0,1347,1557,HUNGER,19,.,$.,--,7918,,
tg,pkhh.0,1347,1557,HUNGER,19,na,ITJ,na,7918,,
tg,pkhh.0,1347,1557,HUNGER,19,ja,ADV,ja,7918,,
tg,pkhh.0,1347,1557,HUNGER,19,"!",$.,--,7918,,
tg,pkhh.0,1562,1851,Meister Tibaldi.,0,Er,PPER,er,7918,,
tg,pkhh.0,1562,1851,Meister Tibaldi.,0,ist,VAFIN,sein,7918,,
tg,pkhh.0,1562,1851,Meister Tibaldi.,0,ganz,ADV,ganz,7918,,
tg,pkhh.0,1562,1851,Meister Tibaldi.,0,achtlos,ADJD,achtlos,7918,,
tg,pkhh.0,1562,1851,Meister Tibaldi.,0,.,$.,--,7918,,
tg,pkhh.0,1562,1851,Meister Tibaldi.,0,Er,PPER,er,7918,,
tg,pkhh.0,1562,1851,Meister Tibaldi.,0,hat,VAFIN,haben,7918,,
tg,pkhh.0,1562,1851,Meister Tibaldi.,0,eine,ART,ein,7918,,
tg,pkhh.0,1562,1851,Meister Tibaldi.,0,",","$,",--,7918,,
tg,pkhh.0,1562,1851,Meister Tibaldi.,0,beschäftigte,VVFIN,beschäftigen,7918,,
tg,pkhh.0,1562,1851,Meister Tibaldi.,0,",","$,",--,7918,,
tg,pkhh.0,1562,1851,Meister Tibaldi.,0,verhärmte,ADJA,verhärmen,7918,,
tg,pkhh.0,1562,1851,Meister Tibaldi.,0,Miene,NN,miene,7918,,
tg,pkhh.0,1562,1851,Meister Tibaldi.,0,",","$,",--,7918,,
tg,pkhh.0,1562,1851,Meister Tibaldi.,0,sein,PPOSAT,sein,7918,,
tg,pkhh.0,1562,1851,Meister Tibaldi.,0,bartloses,ADJA,bartlos,7918,,
tg,pkhh.0,1562,1851,Meister Tibaldi.,0,Gesicht,NN,gesicht,7918,,
tg,pkhh.0,1562,1851,Meister Tibaldi.,0,ist,VAFIN,sein,7918,,
tg,pkhh.0,1562,1851,Meister Tibaldi.,0,bleich,ADJD,bleich,7918,,
tg,pkhh.0,1562,1851,Meister Tibaldi.,0,.,$.,--,7918,,
tg,pkhh.0,1562,1851,Meister Tibaldi.,0,In,APPR,in,7918,,
tg,pkhh.0,1562,1851,Meister Tibaldi.,0,die,ART,der,7918,,
tg,pkhh.0,1562,1851,Meister Tibaldi.,0,Diener,NN,diener,7918,,
tg,pkhh.0,1562,1851,Meister Tibaldi.,0,ist,VAFIN,sein,7918,,
tg,pkhh.0,1562,1851,Meister Tibaldi.,0,sofort,ADV,sofort,7918,,
tg,pkhh.0,1562,1851,Meister Tibaldi.,0,eine,ART,ein,7918,,
tg,pkhh.0,1562,1851,Meister Tibaldi.,0,Verwandlung,NN,verwandlung,7918,,
tg,pkhh.0,1562,1851,Meister Tibaldi.,0,zu,APPR,zu,7918,,
tg,pkhh.0,1562,1851,Meister Tibaldi.,0,stummer,ADJA,stumm,7918,,
tg,pkhh.0,1562,1851,Meister Tibaldi.,0,Devotion,NN,devotion,7918,,
tg,pkhh.0,1562,1851,Meister Tibaldi.,0,gekommen,VVPP,kommen,7918,,
tg,pkhh.0,1562,1851,Meister Tibaldi.,0,.,$.,--,7918,,
tg,pkhh.0,1562,1851,Meister Tibaldi.,0,Sie,PPER,sie,7918,,
tg,pkhh.0,1562,1851,Meister Tibaldi.,0,versuchen,VVFIN,versuchen,7918,,
tg,pkhh.0,1562,1851,Meister Tibaldi.,0,auf,APPR,auf,7918,,
tg,pkhh.0,1562,1851,Meister Tibaldi.,0,Zehen,NN,zeh,7918,,
tg,pkhh.0,1562,1851,Meister Tibaldi.,0,zu,PTKZU,zu,7918,,
tg,pkhh.0,1562,1851,Meister Tibaldi.,0,gehen,VVINF,gehen,7918,,
tg,pkhh.0,1562,1851,Meister Tibaldi.,0,.,$.,--,7918,,
tg,pkhh.0,1562,1851,Meister Tibaldi.,0,Hunger,NN,hunger,7918,HUNGER,19
tg,pkhh.0,1562,1851,Meister Tibaldi.,0,treibt,VVFIN,treiben,7918,,
tg,pkhh.0,1562,1851,Meister Tibaldi.,0,sie,PPER,sie,7918,,
