corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
tg,ptkw.0,3931,4072,DOUGLAS,15,Mit,APPR,mit,7259,,
tg,ptkw.0,3931,4072,DOUGLAS,15,Stolz,NN,stolz,7259,,
tg,ptkw.0,3931,4072,DOUGLAS,15,",","$,",--,7259,,
tg,ptkw.0,3931,4072,DOUGLAS,15,Mylord,NE,mylord,7259,,
tg,ptkw.0,3931,4072,DOUGLAS,15,",","$,",--,7259,,
tg,ptkw.0,3931,4072,DOUGLAS,15,nenn,VVFIN,nenn,7259,,
tg,ptkw.0,3931,4072,DOUGLAS,15,ich,PPER,ich,7259,DOUGLAS,15
tg,ptkw.0,3931,4072,DOUGLAS,15,Euch,PPER,euch,7259,,
tg,ptkw.0,3931,4072,DOUGLAS,15,heute,ADV,heute,7259,,
tg,ptkw.0,3931,4072,DOUGLAS,15,:,$.,--,7259,,
tg,ptkw.0,3931,4072,DOUGLAS,15,Vater,NN,vater,7259,,
tg,ptkw.0,3931,4072,DOUGLAS,15,.,$.,--,7259,,
tg,ptkw.0,3931,4072,DOUGLAS,15,MAC-GREGOR,NE,mac-gregor,7259,,
tg,ptkw.0,3931,4072,DOUGLAS,15,.,$.,--,7259,,
tg,ptkw.0,3931,4072,DOUGLAS,15,Mit,APPR,mit,7259,,
tg,ptkw.0,3931,4072,DOUGLAS,15,noch,ADV,noch,7259,,
tg,ptkw.0,3931,4072,DOUGLAS,15,weit,ADJD,weit,7259,,
tg,ptkw.0,3931,4072,DOUGLAS,15,größerm,APPRART,größer,7259,,
tg,ptkw.0,3931,4072,DOUGLAS,15,Stolz,NN,stolz,7259,,
tg,ptkw.0,3931,4072,DOUGLAS,15,nenn,VVFIN,nenn,7259,,
tg,ptkw.0,3931,4072,DOUGLAS,15,ich,PPER,ich,7259,DOUGLAS,15
tg,ptkw.0,3931,4072,DOUGLAS,15,Euch,PPER,euch,7259,,
tg,ptkw.0,3931,4072,DOUGLAS,15,:,$.,--,7259,,
tg,ptkw.0,3931,4072,DOUGLAS,15,Sohn,NN,sohn,7259,,
tg,ptkw.0,3931,4072,DOUGLAS,15,.,$.,--,7259,,
tg,ptkw.0,4078,4184,"Margarete, Marias Amme.",5,»,XY,»,7259,,
tg,ptkw.0,4078,4184,"Margarete, Marias Amme.",5,Was,PWS,was,7259,,
tg,ptkw.0,4078,4184,"Margarete, Marias Amme.",5,ist,VAFIN,sein,7259,,
tg,ptkw.0,4078,4184,"Margarete, Marias Amme.",5,von,APPR,von,7259,,
tg,ptkw.0,4078,4184,"Margarete, Marias Amme.",5,Blut,NN,blut,7259,,
tg,ptkw.0,4078,4184,"Margarete, Marias Amme.",5,dein,PPOSAT,dein,7259,,
tg,ptkw.0,4078,4184,"Margarete, Marias Amme.",5,Schwert,NN,schwert,7259,,
tg,ptkw.0,4078,4184,"Margarete, Marias Amme.",5,so,ADV,so,7259,,
tg,ptkw.0,4078,4184,"Margarete, Marias Amme.",5,rot,ADJD,rot,7259,,
tg,ptkw.0,4078,4184,"Margarete, Marias Amme.",5,?,$.,--,7259,,
tg,ptkw.0,4078,4184,"Margarete, Marias Amme.",5,Edward,NE,edward,7259,,
tg,ptkw.0,4078,4184,"Margarete, Marias Amme.",5,",","$,",--,7259,,
tg,ptkw.0,4078,4184,"Margarete, Marias Amme.",5,Edward,NE,edward,7259,,
tg,ptkw.0,4078,4184,"Margarete, Marias Amme.",5,?,$.,--,7259,,
tg,ptkw.0,4078,4184,"Margarete, Marias Amme.",5,«,XY,«,7259,,
tg,ptkw.0,4190,4666,DOUGLAS,15,Um,KOUI,um,7259,,
