corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
tg,qd6w.0,472,74762,0,486,4314,0
tg,qd6w.0,472,74762,0,4328,4911,0
tg,qd6w.0,472,74762,0,4925,19555,0
tg,qd6w.0,472,74762,0,19570,20112,0
tg,qd6w.0,472,74762,0,20126,21056,0
tg,qd6w.0,472,74762,0,21070,27738,0
tg,qd6w.0,472,74762,0,27752,31791,0
tg,qd6w.0,472,74762,0,31805,43852,0
tg,qd6w.0,472,74762,0,43866,44132,0
tg,qd6w.0,472,74762,0,44146,46415,0
tg,qd6w.0,472,74762,0,46429,47545,0
tg,qd6w.0,472,74762,0,47559,54687,0
tg,qd6w.0,472,74762,0,54701,58985,0
tg,qd6w.0,472,74762,0,58999,59963,0
tg,qd6w.0,472,74762,0,59977,63245,0
tg,qd6w.0,472,74762,0,63260,69042,0
tg,qd6w.0,472,74762,0,69056,69509,0
tg,qd6w.0,472,74762,0,69524,73425,0
tg,qd6w.0,472,74762,0,73439,73666,0
tg,qd6w.0,472,74762,0,73682,74762,0
tg,qd6w.0,74778,136684,0,74792,85446,0
tg,qd6w.0,74778,136684,0,85462,95188,0
tg,qd6w.0,74778,136684,0,95202,99274,0
tg,qd6w.0,74778,136684,0,99288,100090,0
tg,qd6w.0,74778,136684,0,100105,100940,0
tg,qd6w.0,74778,136684,0,100954,102303,0
tg,qd6w.0,74778,136684,0,102317,102879,0
tg,qd6w.0,74778,136684,0,102894,103415,0
tg,qd6w.0,74778,136684,0,103430,103676,0
tg,qd6w.0,74778,136684,0,103690,114441,0
tg,qd6w.0,74778,136684,0,114455,115560,0
tg,qd6w.0,74778,136684,0,115574,117610,0
tg,qd6w.0,74778,136684,0,117624,124309,0
tg,qd6w.0,74778,136684,0,124325,136684,0
tg,qd6w.0,136700,188510,0,136714,145595,0
tg,qd6w.0,136700,188510,0,145609,148076,0
tg,qd6w.0,136700,188510,0,148092,152298,0
tg,qd6w.0,136700,188510,0,152312,159429,0
tg,qd6w.0,136700,188510,0,159443,160276,0
tg,qd6w.0,136700,188510,0,160290,165023,0
tg,qd6w.0,136700,188510,0,165038,174530,0
tg,qd6w.0,136700,188510,0,174544,174989,0
tg,qd6w.0,136700,188510,0,175004,177496,0
tg,qd6w.0,136700,188510,0,177510,178486,0
tg,qd6w.0,136700,188510,0,178500,181322,0
tg,qd6w.0,136700,188510,0,181336,186982,0
tg,qd6w.0,136700,188510,0,186997,188510,0
