corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
tg,qdk1.0,337,1022,Stimme.,7,So,ADV,so,8068,,
tg,qdk1.0,337,1022,Stimme.,7,liebst,VVFIN,liebst,8068,,
tg,qdk1.0,337,1022,Stimme.,7,du,PPER,du,8068,,
tg,qdk1.0,337,1022,Stimme.,7,nicht,PTKNEG,nicht,8068,,
tg,qdk1.0,337,1022,Stimme.,7,mehr,ADV,mehr,8068,,
tg,qdk1.0,337,1022,Stimme.,7,dieses,PDAT,dieser,8068,,
tg,qdk1.0,337,1022,Stimme.,7,gastliche,ADJA,gastlich,8068,,
tg,qdk1.0,337,1022,Stimme.,7,Haus,NN,haus,8068,,
tg,qdk1.0,337,1022,Stimme.,7,",","$,",--,8068,,
tg,qdk1.0,337,1022,Stimme.,7,Phöbos,NE,phöbo,8068,,
tg,qdk1.0,337,1022,Stimme.,7,Apollon,NE,apollon,8068,,
tg,qdk1.0,337,1022,Stimme.,7,?,$.,--,8068,,
tg,qdk1.0,337,1022,Stimme.,7,Und,KON,und,8068,,
tg,qdk1.0,337,1022,Stimme.,7,liebtest,VVFIN,liebtesen,8068,,
tg,qdk1.0,337,1022,Stimme.,7,es,PPER,es,8068,,
tg,qdk1.0,337,1022,Stimme.,7,doch,ADV,doch,8068,,
tg,qdk1.0,337,1022,Stimme.,7,und,KON,und,8068,,
tg,qdk1.0,337,1022,Stimme.,7,hast,VAFIN,haben,8068,,
tg,qdk1.0,337,1022,Stimme.,7,einst,ADV,einst,8068,,
tg,qdk1.0,337,1022,Stimme.,7,nicht,PTKNEG,nicht,8068,,
tg,qdk1.0,337,1022,Stimme.,7,verschmäht,VVPP,verschmähen,8068,,
tg,qdk1.0,337,1022,Stimme.,7,",","$,",--,8068,,
tg,qdk1.0,337,1022,Stimme.,7,Phöbos,NE,phöbo,8068,,
tg,qdk1.0,337,1022,Stimme.,7,Apollon,NE,apollon,8068,,
