corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
tg,qkm4.0,1555,1740,"Nora, seine Frau",1,Tu,NE,tu,27459,,
tg,qkm4.0,1555,1740,"Nora, seine Frau",1,den,ART,der,27459,,
tg,qkm4.0,1555,1740,"Nora, seine Frau",1,Tannenbaum,NN,tannenbaum,27459,,
tg,qkm4.0,1555,1740,"Nora, seine Frau",1,gut,ADJD,gut,27459,,
tg,qkm4.0,1555,1740,"Nora, seine Frau",1,weg,PTKVZ,weg,27459,,
tg,qkm4.0,1555,1740,"Nora, seine Frau",1,",","$,",--,27459,,
tg,qkm4.0,1555,1740,"Nora, seine Frau",1,Helene,NN,helene,27459,,
tg,qkm4.0,1555,1740,"Nora, seine Frau",1,.,$.,--,27459,,
tg,qkm4.0,1555,1740,"Nora, seine Frau",1,Die,ART,der,27459,DIE KINDER,10
tg,qkm4.0,1555,1740,"Nora, seine Frau",1,Kinder,NN,kind,27459,,
tg,qkm4.0,1555,1740,"Nora, seine Frau",1,dürfen,VMFIN,dürfen,27459,,
tg,qkm4.0,1555,1740,"Nora, seine Frau",1,ihn,PPER,ihn,27459,,
tg,qkm4.0,1555,1740,"Nora, seine Frau",1,jedenfalls,ADV,jedenfalls,27459,,
tg,qkm4.0,1555,1740,"Nora, seine Frau",1,erst,ADV,erst,27459,,
tg,qkm4.0,1555,1740,"Nora, seine Frau",1,heut,ADV,heut,27459,,
tg,qkm4.0,1555,1740,"Nora, seine Frau",1,abend,ADV,abend,27459,,
tg,qkm4.0,1555,1740,"Nora, seine Frau",1,sehen,VVINF,sehen,27459,,
tg,qkm4.0,1555,1740,"Nora, seine Frau",1,",","$,",--,27459,,
tg,qkm4.0,1555,1740,"Nora, seine Frau",1,wenn,KOUS,wenn,27459,,
tg,qkm4.0,1555,1740,"Nora, seine Frau",1,er,PPER,er,27459,,
tg,qkm4.0,1555,1740,"Nora, seine Frau",1,geputzt,VVPP,putzen,27459,,
tg,qkm4.0,1555,1740,"Nora, seine Frau",1,ist,VAFIN,sein,27459,,
tg,qkm4.0,1555,1740,"Nora, seine Frau",1,.,$.,--,27459,,
tg,qkm4.0,1555,1740,"Nora, seine Frau",1,Zum,APPRART,zu,27459,,
tg,qkm4.0,1555,1740,"Nora, seine Frau",1,Dienstmann,NN,dienstmann,27459,,
tg,qkm4.0,1555,1740,"Nora, seine Frau",1,",","$,",--,27459,,
tg,qkm4.0,1555,1740,"Nora, seine Frau",1,indem,KOUS,indem,27459,,
tg,qkm4.0,1555,1740,"Nora, seine Frau",1,sie,PPER,sie,27459,,
tg,qkm4.0,1555,1740,"Nora, seine Frau",1,ihr,PPOSAT,ihr,27459,,
tg,qkm4.0,1555,1740,"Nora, seine Frau",1,Portemonnaie,NN,portemonnaie,27459,,
tg,qkm4.0,1555,1740,"Nora, seine Frau",1,hervorzieht,VVFIN,hervorziehen,27459,,
tg,qkm4.0,1555,1740,"Nora, seine Frau",1,.,$.,--,27459,,
tg,qkm4.0,1555,1740,"Nora, seine Frau",1,Wieviel,PWAT,wieviel,27459,,
tg,qkm4.0,1555,1740,"Nora, seine Frau",1,–,NN,–,27459,,
tg,qkm4.0,1555,1740,"Nora, seine Frau",1,?,$.,--,27459,,
tg,qkm4.0,1745,1770,Ein Dienstmann,8,Fünfzig,ADJD,fünfzig,27459,,
tg,qkm4.0,1745,1770,Ein Dienstmann,8,Öre,NN,öre,27459,,
tg,qkm4.0,1745,1770,Ein Dienstmann,8,.,$.,--,27459,,
tg,qkm4.0,1775,2194,"Nora, seine Frau",1,Da,ADV,da,27459,,
