corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
tg,qkmq.0,2186,45607,0,2200,4824,0
tg,qkmq.0,2186,45607,0,4838,9320,0
tg,qkmq.0,2186,45607,0,9335,12925,0
tg,qkmq.0,2186,45607,0,12940,14893,0
tg,qkmq.0,2186,45607,0,14907,22352,0
tg,qkmq.0,2186,45607,0,22366,23287,0
tg,qkmq.0,2186,45607,0,23302,27643,0
tg,qkmq.0,2186,45607,0,27658,29685,0
tg,qkmq.0,2186,45607,0,29700,33671,0
tg,qkmq.0,2186,45607,0,33685,34276,0
tg,qkmq.0,2186,45607,0,34290,35438,0
tg,qkmq.0,2186,45607,0,35453,35755,0
tg,qkmq.0,2186,45607,0,35769,40461,0
tg,qkmq.0,2186,45607,0,40475,44573,0
tg,qkmq.0,2186,45607,0,44588,45607,0
tg,qkmq.0,45623,87992,0,45637,46337,0
tg,qkmq.0,45623,87992,0,46351,52596,0
tg,qkmq.0,45623,87992,0,52610,54981,0
tg,qkmq.0,45623,87992,0,54995,59324,0
tg,qkmq.0,45623,87992,0,59339,65977,0
tg,qkmq.0,45623,87992,0,65991,69615,0
tg,qkmq.0,45623,87992,0,69629,73932,0
tg,qkmq.0,45623,87992,0,73946,78796,0
tg,qkmq.0,45623,87992,0,78811,82997,0
tg,qkmq.0,45623,87992,0,83012,84392,0
tg,qkmq.0,45623,87992,0,84407,84909,0
tg,qkmq.0,45623,87992,0,84923,86416,0
tg,qkmq.0,45623,87992,0,86431,86800,0
tg,qkmq.0,45623,87992,0,86814,87309,0
tg,qkmq.0,45623,87992,0,87323,87992,0
tg,qkmq.0,88008,122502,0,88022,88429,0
tg,qkmq.0,88008,122502,0,88443,94192,0
tg,qkmq.0,88008,122502,0,94206,96985,0
tg,qkmq.0,88008,122502,0,96999,100266,0
tg,qkmq.0,88008,122502,0,100280,101484,0
tg,qkmq.0,88008,122502,0,101498,103724,0
tg,qkmq.0,88008,122502,0,103739,107263,0
tg,qkmq.0,88008,122502,0,107278,109323,0
tg,qkmq.0,88008,122502,0,109338,110265,0
tg,qkmq.0,88008,122502,0,110280,111199,0
tg,qkmq.0,88008,122502,0,111213,115468,0
tg,qkmq.0,88008,122502,0,115482,115931,0
tg,qkmq.0,88008,122502,0,115945,119785,0
tg,qkmq.0,88008,122502,0,119799,121635,0
tg,qkmq.0,88008,122502,0,121649,122502,0
tg,qkmq.0,122518,154584,0,122532,129004,0
tg,qkmq.0,122518,154584,0,129019,130691,0
tg,qkmq.0,122518,154584,0,130706,132247,0
tg,qkmq.0,122518,154584,0,132262,139177,0
tg,qkmq.0,122518,154584,0,139191,141667,0
tg,qkmq.0,122518,154584,0,141681,142376,0
tg,qkmq.0,122518,154584,0,142390,144508,0
tg,qkmq.0,122518,154584,0,144522,145327,0
tg,qkmq.0,122518,154584,0,145342,145730,0
tg,qkmq.0,122518,154584,0,145744,153353,0
tg,qkmq.0,122518,154584,0,153367,154584,0
tg,qkmq.0,154600,181309,0,154614,155215,0
tg,qkmq.0,154600,181309,0,155229,157738,0
tg,qkmq.0,154600,181309,0,157752,159944,0
tg,qkmq.0,154600,181309,0,159958,160204,0
tg,qkmq.0,154600,181309,0,160218,161419,0
tg,qkmq.0,154600,181309,0,161434,164010,0
tg,qkmq.0,154600,181309,0,164024,164832,0
tg,qkmq.0,154600,181309,0,164846,170383,0
tg,qkmq.0,154600,181309,0,170397,170893,0
tg,qkmq.0,154600,181309,0,170908,174213,0
tg,qkmq.0,154600,181309,0,174228,174980,0
tg,qkmq.0,154600,181309,0,174995,176504,0
tg,qkmq.0,154600,181309,0,176518,178210,0
tg,qkmq.0,154600,181309,0,178224,181309,0
