corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
tg,qkq1.0,800,31232,0,814,2205,0
tg,qkq1.0,800,31232,0,2220,5485,0
tg,qkq1.0,800,31232,0,5500,7503,0
tg,qkq1.0,800,31232,0,7517,13046,0
tg,qkq1.0,800,31232,0,13060,19299,0
tg,qkq1.0,800,31232,0,19313,21801,0
tg,qkq1.0,800,31232,0,21815,24374,0
tg,qkq1.0,800,31232,0,24388,27024,0
tg,qkq1.0,800,31232,0,27039,31232,0
tg,qkq1.0,31248,61026,0,31262,33884,0
tg,qkq1.0,31248,61026,0,33899,36953,0
tg,qkq1.0,31248,61026,0,36967,38883,0
tg,qkq1.0,31248,61026,0,38897,41560,0
tg,qkq1.0,31248,61026,0,41574,43934,0
tg,qkq1.0,31248,61026,0,43948,47842,0
tg,qkq1.0,31248,61026,0,47857,49814,0
tg,qkq1.0,31248,61026,0,49829,53124,0
tg,qkq1.0,31248,61026,0,53138,54803,0
tg,qkq1.0,31248,61026,0,54817,57100,0
tg,qkq1.0,31248,61026,0,57114,61026,0
tg,qkq1.0,61042,73129,0,61056,73129,0
tg,qkq1.0,73145,105043,0,73159,76429,0
tg,qkq1.0,73145,105043,0,76444,83066,0
tg,qkq1.0,73145,105043,0,83080,88382,0
tg,qkq1.0,73145,105043,0,88396,97460,0
tg,qkq1.0,73145,105043,0,97474,99116,0
tg,qkq1.0,73145,105043,0,99131,100486,0
tg,qkq1.0,73145,105043,0,100500,103061,0
tg,qkq1.0,73145,105043,0,103075,105043,0
tg,qkq1.0,105059,117275,0,105073,107222,0
tg,qkq1.0,105059,117275,0,107236,111992,0
tg,qkq1.0,105059,117275,0,112006,113979,0
tg,qkq1.0,105059,117275,0,113993,117275,0
