corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
tg,qn2w.0,1971,2236,DIE DAME DES HAUSES,55,Zu,APPR,zu,16359,,
tg,qn2w.0,1971,2236,DIE DAME DES HAUSES,55,irgendeinem,PIAT,irgendeiner,16359,,
tg,qn2w.0,1971,2236,DIE DAME DES HAUSES,55,der,ART,der,16359,,
tg,qn2w.0,1971,2236,DIE DAME DES HAUSES,55,Gäste,NN,gast,16359,,
tg,qn2w.0,1971,2236,DIE DAME DES HAUSES,55,.,$.,--,16359,,
tg,qn2w.0,1971,2236,DIE DAME DES HAUSES,55,Sie,PPER,sie,16359,,
tg,qn2w.0,1971,2236,DIE DAME DES HAUSES,55,spielen,VVFIN,spielen,16359,,
tg,qn2w.0,1971,2236,DIE DAME DES HAUSES,55,natürlich,ADV,natürlich,16359,,
tg,qn2w.0,1971,2236,DIE DAME DES HAUSES,55,Bridge,NN,bridge,16359,,
tg,qn2w.0,1971,2236,DIE DAME DES HAUSES,55,",","$,",--,16359,,
tg,qn2w.0,1971,2236,DIE DAME DES HAUSES,55,Herr,NN,herr,16359,,
tg,qn2w.0,1971,2236,DIE DAME DES HAUSES,55,Oberst,NE,oberst,16359,,
tg,qn2w.0,1971,2236,DIE DAME DES HAUSES,55,?,$.,--,16359,,
tg,qn2w.0,1971,2236,DIE DAME DES HAUSES,55,Wieviel,PWAT,wieviel,16359,,
tg,qn2w.0,1971,2236,DIE DAME DES HAUSES,55,Partien,NN,partie,16359,,
tg,qn2w.0,1971,2236,DIE DAME DES HAUSES,55,haben,VAFIN,haben,16359,,
tg,qn2w.0,1971,2236,DIE DAME DES HAUSES,55,wir,PPER,wir,16359,,
tg,qn2w.0,1971,2236,DIE DAME DES HAUSES,55,?,$.,--,16359,,
tg,qn2w.0,1971,2236,DIE DAME DES HAUSES,55,Drei,CARD,drei,16359,,
tg,qn2w.0,1971,2236,DIE DAME DES HAUSES,55,?,$.,--,16359,,
tg,qn2w.0,1971,2236,DIE DAME DES HAUSES,55,Oh,ITJ,oh,16359,,
tg,qn2w.0,1971,2236,DIE DAME DES HAUSES,55,",","$,",--,16359,,
tg,qn2w.0,1971,2236,DIE DAME DES HAUSES,55,und,KON,und,16359,,
tg,qn2w.0,1971,2236,DIE DAME DES HAUSES,55,ein,ART,ein,16359,,
tg,qn2w.0,1971,2236,DIE DAME DES HAUSES,55,Partner,NN,partner,16359,,
tg,qn2w.0,1971,2236,DIE DAME DES HAUSES,55,fehlt,VVFIN,fehlen,16359,,
tg,qn2w.0,1971,2236,DIE DAME DES HAUSES,55,?,$.,--,16359,,
tg,qn2w.0,1971,2236,DIE DAME DES HAUSES,55,Aber,KON,aber,16359,,
tg,qn2w.0,1971,2236,DIE DAME DES HAUSES,55,nein,PTKANT,nein,16359,,
tg,qn2w.0,1971,2236,DIE DAME DES HAUSES,55,"!",$.,--,16359,,
tg,qn2w.0,1971,2236,DIE DAME DES HAUSES,55,Zum,APPRART,zu,16359,,
tg,qn2w.0,1971,2236,DIE DAME DES HAUSES,55,Staatsanwalt,NN,staatsanwalt,16359,,
tg,qn2w.0,1971,2236,DIE DAME DES HAUSES,55,.,$.,--,16359,,
tg,qn2w.0,1971,2236,DIE DAME DES HAUSES,55,Herr,NN,herr,16359,,
tg,qn2w.0,1971,2236,DIE DAME DES HAUSES,55,Staatsanwalt,NN,staatsanwalt,16359,,
tg,qn2w.0,1971,2236,DIE DAME DES HAUSES,55,",","$,",--,16359,,
tg,qn2w.0,1971,2236,DIE DAME DES HAUSES,55,Sie,PPER,sie,16359,,
tg,qn2w.0,1971,2236,DIE DAME DES HAUSES,55,spielen,VVFIN,spielen,16359,,
tg,qn2w.0,1971,2236,DIE DAME DES HAUSES,55,nicht,PTKNEG,nicht,16359,,
tg,qn2w.0,1971,2236,DIE DAME DES HAUSES,55,?,$.,--,16359,,
tg,qn2w.0,2241,2353,Der Staatsanwalt.,11,Ich,PPER,ich,16359,,
tg,qn2w.0,2241,2353,Der Staatsanwalt.,11,weiß,VVFIN,weiß,16359,,
tg,qn2w.0,2241,2353,Der Staatsanwalt.,11,nicht,PTKNEG,nicht,16359,,
tg,qn2w.0,2241,2353,Der Staatsanwalt.,11,",","$,",--,16359,,
tg,qn2w.0,2241,2353,Der Staatsanwalt.,11,Gnädigste,NN,gnädig,16359,,
tg,qn2w.0,2241,2353,Der Staatsanwalt.,11,.,$.,--,16359,,
tg,qn2w.0,2241,2353,Der Staatsanwalt.,11,Ich,PPER,ich,16359,,
tg,qn2w.0,2241,2353,Der Staatsanwalt.,11,glaube,VVFIN,glauben,16359,,
tg,qn2w.0,2241,2353,Der Staatsanwalt.,11,",","$,",--,16359,,
tg,qn2w.0,2241,2353,Der Staatsanwalt.,11,ich,PPER,ich,16359,Der Staatsanwalt.,11
tg,qn2w.0,2241,2353,Der Staatsanwalt.,11,werde,VAFIN,werden,16359,,
tg,qn2w.0,2241,2353,Der Staatsanwalt.,11,heute,ADV,heute,16359,,
