corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
tg,r0hz.0,1199,21272,0,1213,4944,0
tg,r0hz.0,1199,21272,0,4960,8811,0
tg,r0hz.0,1199,21272,0,8825,21272,0
tg,r0hz.0,21288,45089,0,21302,26154,0
tg,r0hz.0,21288,45089,0,26168,26448,0
tg,r0hz.0,21288,45089,0,26464,27840,0
tg,r0hz.0,21288,45089,0,27854,28306,0
tg,r0hz.0,21288,45089,0,28320,31159,0
tg,r0hz.0,21288,45089,0,31173,31495,0
tg,r0hz.0,21288,45089,0,31511,32739,0
tg,r0hz.0,21288,45089,0,32755,37343,0
tg,r0hz.0,21288,45089,0,37359,37771,0
tg,r0hz.0,21288,45089,0,37785,45089,0
tg,r0hz.0,45105,70274,0,45119,46774,0
tg,r0hz.0,45105,70274,0,46788,50436,0
tg,r0hz.0,45105,70274,0,50450,58994,0
tg,r0hz.0,45105,70274,0,59009,59257,0
tg,r0hz.0,45105,70274,0,59272,65624,0
tg,r0hz.0,45105,70274,0,65638,70274,0
tg,r0hz.0,70290,101951,0,70304,75988,0
tg,r0hz.0,70290,101951,0,76002,78938,0
tg,r0hz.0,70290,101951,0,78952,81588,0
tg,r0hz.0,70290,101951,0,81602,83607,0
tg,r0hz.0,70290,101951,0,83622,86006,0
tg,r0hz.0,70290,101951,0,86021,89012,0
tg,r0hz.0,70290,101951,0,89026,90604,0
tg,r0hz.0,70290,101951,0,90618,91237,0
tg,r0hz.0,70290,101951,0,91252,99375,0
tg,r0hz.0,70290,101951,0,99389,101951,0
tg,r0hz.0,101967,146014,0,101981,104020,0
tg,r0hz.0,101967,146014,0,104034,106152,0
tg,r0hz.0,101967,146014,0,106166,106536,0
tg,r0hz.0,101967,146014,0,106550,108251,0
tg,r0hz.0,101967,146014,0,108265,108933,0
tg,r0hz.0,101967,146014,0,108948,111120,0
tg,r0hz.0,101967,146014,0,111136,111399,0
tg,r0hz.0,101967,146014,0,111414,112403,0
tg,r0hz.0,101967,146014,0,112419,115120,0
tg,r0hz.0,101967,146014,0,115134,115594,0
tg,r0hz.0,101967,146014,0,115608,118634,0
tg,r0hz.0,101967,146014,0,118649,119516,0
tg,r0hz.0,101967,146014,0,119530,121640,0
tg,r0hz.0,101967,146014,0,121654,125169,0
tg,r0hz.0,101967,146014,0,125183,126846,0
tg,r0hz.0,101967,146014,0,126861,128764,0
tg,r0hz.0,101967,146014,0,128780,130674,0
tg,r0hz.0,101967,146014,0,130688,133411,0
tg,r0hz.0,101967,146014,0,133425,134425,0
tg,r0hz.0,101967,146014,0,134439,135862,0
tg,r0hz.0,101967,146014,0,135878,136740,0
tg,r0hz.0,101967,146014,0,136755,140449,0
tg,r0hz.0,101967,146014,0,140463,142342,0
tg,r0hz.0,101967,146014,0,142356,146014,0
