corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
tg,r12v.0,245,33180,0,259,11269,0
tg,r12v.0,245,33180,0,11283,20517,0
tg,r12v.0,245,33180,0,20532,24536,0
tg,r12v.0,245,33180,0,24551,32522,0
tg,r12v.0,245,33180,0,32537,33180,0
tg,r12v.0,33196,64088,0,33210,43541,0
tg,r12v.0,33196,64088,0,43555,50705,0
tg,r12v.0,33196,64088,0,50719,53848,0
tg,r12v.0,33196,64088,0,53863,54929,0
tg,r12v.0,33196,64088,0,54944,61766,0
tg,r12v.0,33196,64088,0,61780,64088,0
tg,r12v.0,64104,86284,0,64118,75876,0
tg,r12v.0,64104,86284,0,75890,85088,0
tg,r12v.0,64104,86284,0,85104,86284,0
tg,r12v.0,86299,101970,0,86313,89350,0
tg,r12v.0,86299,101970,0,89364,92754,0
tg,r12v.0,86299,101970,0,92768,95851,0
tg,r12v.0,86299,101970,0,95866,97647,0
tg,r12v.0,86299,101970,0,97662,101970,0
tg,r12v.0,101986,110820,0,102000,106477,0
tg,r12v.0,101986,110820,0,106491,110820,0
