corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
tg,r134.0,387,41298,0,401,12998,0
tg,r134.0,387,41298,0,13013,34334,0
tg,r134.0,387,41298,0,34349,41298,0
tg,r134.0,41314,77078,0,41328,42067,0
tg,r134.0,41314,77078,0,42081,46643,0
tg,r134.0,41314,77078,0,46658,59872,0
tg,r134.0,41314,77078,0,59886,69462,0
tg,r134.0,41314,77078,0,69477,76810,0
tg,r134.0,41314,77078,0,76824,77078,0
tg,r134.0,77094,97998,0,77108,87256,0
tg,r134.0,77094,97998,0,87270,97998,0
tg,r134.0,98014,129365,0,98028,117048,0
tg,r134.0,98014,129365,0,117062,122609,0
tg,r134.0,98014,129365,0,122624,123766,0
tg,r134.0,98014,129365,0,123781,129365,0
tg,r134.0,129381,145258,0,129395,135422,0
tg,r134.0,129381,145258,0,135437,145258,0
