corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
tg,r2mv.0,575,29390,0,589,4286,0
tg,r2mv.0,575,29390,0,4300,4705,0
tg,r2mv.0,575,29390,0,4719,7476,0
tg,r2mv.0,575,29390,0,7491,8023,0
tg,r2mv.0,575,29390,0,8037,14412,0
tg,r2mv.0,575,29390,0,14426,15125,0
tg,r2mv.0,575,29390,0,15140,22974,0
tg,r2mv.0,575,29390,0,22989,23547,0
tg,r2mv.0,575,29390,0,23561,26258,0
tg,r2mv.0,575,29390,0,26273,26550,0
tg,r2mv.0,575,29390,0,26564,27421,0
tg,r2mv.0,575,29390,0,27437,29390,0
tg,r2mv.0,29407,69628,0,29421,33133,0
tg,r2mv.0,29407,69628,0,33147,34321,0
tg,r2mv.0,29407,69628,0,34336,35229,0
tg,r2mv.0,29407,69628,0,35244,37903,0
tg,r2mv.0,29407,69628,0,37918,41653,0
tg,r2mv.0,29407,69628,0,41668,43531,0
tg,r2mv.0,29407,69628,0,43545,46800,0
tg,r2mv.0,29407,69628,0,46815,48468,0
tg,r2mv.0,29407,69628,0,48483,51227,0
tg,r2mv.0,29407,69628,0,51242,52236,0
tg,r2mv.0,29407,69628,0,52251,52770,0
tg,r2mv.0,29407,69628,0,52785,56685,0
tg,r2mv.0,29407,69628,0,56700,60165,0
tg,r2mv.0,29407,69628,0,60180,60751,0
tg,r2mv.0,29407,69628,0,60765,67096,0
tg,r2mv.0,29407,69628,0,67111,69628,0
tg,r2mv.0,69644,106882,0,69658,83362,0
tg,r2mv.0,69644,106882,0,83377,86495,0
tg,r2mv.0,69644,106882,0,86511,87069,0
tg,r2mv.0,69644,106882,0,87083,89660,0
tg,r2mv.0,69644,106882,0,89675,90418,0
tg,r2mv.0,69644,106882,0,90432,96032,0
tg,r2mv.0,69644,106882,0,96047,96368,0
tg,r2mv.0,69644,106882,0,96382,96896,0
tg,r2mv.0,69644,106882,0,96912,97708,0
tg,r2mv.0,69644,106882,0,97723,99070,0
tg,r2mv.0,69644,106882,0,99084,100147,0
tg,r2mv.0,69644,106882,0,100161,101491,0
tg,r2mv.0,69644,106882,0,101505,105262,0
tg,r2mv.0,69644,106882,0,105277,106571,0
tg,r2mv.0,69644,106882,0,106585,106882,0
tg,r2mv.0,106899,132992,0,106913,107950,0
tg,r2mv.0,106899,132992,0,107964,113740,0
tg,r2mv.0,106899,132992,0,113754,114892,0
tg,r2mv.0,106899,132992,0,114906,119838,0
tg,r2mv.0,106899,132992,0,119853,120521,0
tg,r2mv.0,106899,132992,0,120536,121396,0
tg,r2mv.0,106899,132992,0,121412,121776,0
tg,r2mv.0,106899,132992,0,121791,124202,0
tg,r2mv.0,106899,132992,0,124217,126804,0
tg,r2mv.0,106899,132992,0,126820,131322,0
tg,r2mv.0,106899,132992,0,131336,132992,0
