corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
tg,rfd8.0,785,861,KISSLING,16,Alfred,NE,alfred,16446,,
tg,rfd8.0,785,861,KISSLING,16,ist,VAFIN,sein,16446,,
tg,rfd8.0,785,861,KISSLING,16,immer,ADV,immer,16446,,
tg,rfd8.0,785,861,KISSLING,16,noch,ADV,noch,16446,,
tg,rfd8.0,785,861,KISSLING,16,nicht,PTKNEG,nicht,16446,,
tg,rfd8.0,785,861,KISSLING,16,da,PTKVZ,da,16446,,
tg,rfd8.0,785,861,KISSLING,16,?,$.,--,16446,,
tg,rfd8.0,785,861,KISSLING,16,Laut,APPR,laut,16446,,
tg,rfd8.0,785,861,KISSLING,16,.,$.,--,16446,,
tg,rfd8.0,785,861,KISSLING,16,Kellner,NN,kellner,16446,,
tg,rfd8.0,785,861,KISSLING,16,",","$,",--,16446,,
tg,rfd8.0,785,861,KISSLING,16,noch,ADV,noch,16446,,
tg,rfd8.0,785,861,KISSLING,16,ein,ART,ein,16446,,
tg,rfd8.0,785,861,KISSLING,16,Pilsener,ADJA,pilsener,16446,,
tg,rfd8.0,785,861,KISSLING,16,"!",$.,--,16446,,
tg,rfd8.0,866,937,"Kellner, Gäste.",14,Ein,ART,ein,16446,,
tg,rfd8.0,866,937,"Kellner, Gäste.",14,Pilsener,ADJA,pilsener,16446,,
tg,rfd8.0,866,937,"Kellner, Gäste.",14,"!",$.,--,16446,,
tg,rfd8.0,942,1108,GRÖBER,19,Sagen,NN,sagen,16446,,
tg,rfd8.0,942,1108,GRÖBER,19,Sie,PPER,sie,16446,,
tg,rfd8.0,942,1108,GRÖBER,19,mal,ADV,mal,16446,,
tg,rfd8.0,942,1108,GRÖBER,19,",","$,",--,16446,,
tg,rfd8.0,942,1108,GRÖBER,19,bekomme,VVFIN,bekommen,16446,,
tg,rfd8.0,942,1108,GRÖBER,19,ich,PPER,ich,16446,GRÖBER,19
tg,rfd8.0,942,1108,GRÖBER,19,nun,ADV,nun,16446,,
tg,rfd8.0,942,1108,GRÖBER,19,endlich,ADV,endlich,16446,,
tg,rfd8.0,942,1108,GRÖBER,19,das,ART,der,16446,,
tg,rfd8.0,942,1108,GRÖBER,19,Militärwochenblatt,NN,militärwochenblatt,16446,,
tg,rfd8.0,942,1108,GRÖBER,19,",","$,",--,16446,,
tg,rfd8.0,942,1108,GRÖBER,19,das,PRELS,der,16446,,
tg,rfd8.0,942,1108,GRÖBER,19,ich,PPER,ich,16446,GRÖBER,19
tg,rfd8.0,942,1108,GRÖBER,19,schon,ADV,schon,16446,,
tg,rfd8.0,942,1108,GRÖBER,19,seit,APPR,seit,16446,,
tg,rfd8.0,942,1108,GRÖBER,19,einer,ART,ein,16446,,
tg,rfd8.0,942,1108,GRÖBER,19,halben,ADJA,halb,16446,,
tg,rfd8.0,942,1108,GRÖBER,19,Stunde,NN,stunde,16446,,
tg,rfd8.0,942,1108,GRÖBER,19,bestellt,VVPP,bestellen,16446,,
tg,rfd8.0,942,1108,GRÖBER,19,habe,VAFIN,haben,16446,,
tg,rfd8.0,942,1108,GRÖBER,19,?,$.,--,16446,,
tg,rfd8.0,1113,1165,"Jean, Zahlkellner.",13,Euer,NE,euer,16446,,
tg,rfd8.0,1113,1165,"Jean, Zahlkellner.",13,Gnaden,NE,gnade,16446,,
tg,rfd8.0,1113,1165,"Jean, Zahlkellner.",13,entschuldigen,VVINF,entschuldigen,16446,,
tg,rfd8.0,1113,1165,"Jean, Zahlkellner.",13,",","$,",--,16446,,
tg,rfd8.0,1113,1165,"Jean, Zahlkellner.",13,wird,VAFIN,werden,16446,,
tg,rfd8.0,1113,1165,"Jean, Zahlkellner.",13,noch,ADV,noch,16446,,
tg,rfd8.0,1113,1165,"Jean, Zahlkellner.",13,gelesen,VVPP,lesen,16446,,
tg,rfd8.0,1113,1165,"Jean, Zahlkellner.",13,.,$.,--,16446,,
tg,rfd8.0,1170,1262,GRÖBER,19,Den,ART,der,16446,,
tg,rfd8.0,1170,1262,GRÖBER,19,Teufel,NN,teufel,16446,,
tg,rfd8.0,1170,1262,GRÖBER,19,auch,ADV,auch,16446,,
tg,rfd8.0,1170,1262,GRÖBER,19,"!",$.,--,16446,,
tg,rfd8.0,1170,1262,GRÖBER,19,Zu,APPR,zu,16446,,
tg,rfd8.0,1170,1262,GRÖBER,19,was,PWS,was,16446,,
tg,rfd8.0,1170,1262,GRÖBER,19,habt,VAFIN,haben,16446,,
tg,rfd8.0,1170,1262,GRÖBER,19,Ihr,PPER,ihr,16446,,
tg,rfd8.0,1170,1262,GRÖBER,19,denn,ADV,denn,16446,,
tg,rfd8.0,1170,1262,GRÖBER,19,die,ART,der,16446,,
tg,rfd8.0,1170,1262,GRÖBER,19,Zeitungen,NN,zeitung,16446,,
tg,rfd8.0,1170,1262,GRÖBER,19,",","$,",--,16446,,
tg,rfd8.0,1170,1262,GRÖBER,19,wenn,KOUS,wenn,16446,,
tg,rfd8.0,1170,1262,GRÖBER,19,sie,PPER,sie,16446,,
tg,rfd8.0,1170,1262,GRÖBER,19,immer,ADV,immer,16446,,
tg,rfd8.0,1170,1262,GRÖBER,19,gelesen,VVPP,lesen,16446,,
tg,rfd8.0,1170,1262,GRÖBER,19,werden,VAINF,werden,16446,,
tg,rfd8.0,1170,1262,GRÖBER,19,?,$.,--,16446,,
tg,rfd8.0,1321,1477,GRÖBER,19,Lachen,NN,lachen,16446,,
tg,rfd8.0,1321,1477,GRÖBER,19,Sie,PPER,sie,16446,,
tg,rfd8.0,1321,1477,GRÖBER,19,nicht,PTKNEG,nicht,16446,,
tg,rfd8.0,1321,1477,GRÖBER,19,"!",$.,--,16446,,
tg,rfd8.0,1321,1477,GRÖBER,19,Ueberhaupt,NN,ueberhaupt,16446,,
tg,rfd8.0,1321,1477,GRÖBER,19,eine,ART,ein,16446,,
tg,rfd8.0,1321,1477,GRÖBER,19,ganz,ADV,ganz,16446,,
tg,rfd8.0,1321,1477,GRÖBER,19,liederliche,ADJA,liederlich,16446,,
tg,rfd8.0,1321,1477,GRÖBER,19,Wirtschaft,NN,wirtschaft,16446,,
tg,rfd8.0,1321,1477,GRÖBER,19,hier,ADV,hier,16446,,
tg,rfd8.0,1321,1477,GRÖBER,19,",","$,",--,16446,,
tg,rfd8.0,1321,1477,GRÖBER,19,und,KON,und,16446,,
tg,rfd8.0,1321,1477,GRÖBER,19,der,ART,der,16446,,
tg,rfd8.0,1321,1477,GRÖBER,19,Teufel,NN,teufel,16446,,
tg,rfd8.0,1321,1477,GRÖBER,19,soll,VMFIN,sollen,16446,,
tg,rfd8.0,1321,1477,GRÖBER,19,mich,PPER,mich,16446,GRÖBER,19
tg,rfd8.0,1321,1477,GRÖBER,19,holen,VVFIN,holen,16446,,
tg,rfd8.0,1321,1477,GRÖBER,19,",","$,",--,16446,,
tg,rfd8.0,1321,1477,GRÖBER,19,wenn,KOUS,wenn,16446,,
tg,rfd8.0,1321,1477,GRÖBER,19,ich,PPER,ich,16446,GRÖBER,19
tg,rfd8.0,1321,1477,GRÖBER,19,noch,ADV,noch,16446,,
tg,rfd8.0,1321,1477,GRÖBER,19,einen,ART,ein,16446,,
tg,rfd8.0,1321,1477,GRÖBER,19,Schritt,NN,schritt,16446,,
tg,rfd8.0,1321,1477,GRÖBER,19,in,APPR,in,16446,,
tg,rfd8.0,1321,1477,GRÖBER,19,Eure,NE,euer,16446,,
tg,rfd8.0,1321,1477,GRÖBER,19,Bude,NE,bude,16446,,
tg,rfd8.0,1321,1477,GRÖBER,19,setze,VVFIN,setzen,16446,,
tg,rfd8.0,1321,1477,GRÖBER,19,.,$.,--,16446,,
tg,rfd8.0,1482,1509,"Jean, Zahlkellner.",13,Aber,KON,aber,16446,,
tg,rfd8.0,1482,1509,"Jean, Zahlkellner.",13,Euer,NE,euer,16446,,
tg,rfd8.0,1482,1509,"Jean, Zahlkellner.",13,Gnaden,NE,gnade,16446,,
tg,rfd8.0,1482,1509,"Jean, Zahlkellner.",13,.,$.,--,16446,,
tg,rfd8.0,1482,1509,"Jean, Zahlkellner.",13,.,$.,--,16446,,
tg,rfd8.0,1482,1509,"Jean, Zahlkellner.",13,.,$.,--,16446,,
tg,rfd8.0,1514,1564,GRÖBER,19,Reden,NN,reden,16446,,
tg,rfd8.0,1514,1564,GRÖBER,19,Sie,PPER,sie,16446,,
tg,rfd8.0,1514,1564,GRÖBER,19,nicht,PTKNEG,nicht,16446,,
tg,rfd8.0,1514,1564,GRÖBER,19,.,$.,--,16446,,
tg,rfd8.0,1514,1564,GRÖBER,19,Wieviel,PWAT,wieviel,16446,,
tg,rfd8.0,1514,1564,GRÖBER,19,Kognak,NN,kognak,16446,,
tg,rfd8.0,1514,1564,GRÖBER,19,habe,VAFIN,haben,16446,,
tg,rfd8.0,1514,1564,GRÖBER,19,ich,PPER,ich,16446,GRÖBER,19
tg,rfd8.0,1514,1564,GRÖBER,19,?,$.,--,16446,,
tg,rfd8.0,1569,1607,"Jean, Zahlkellner.",13,Fünf,CARD,fünf,16446,,
tg,rfd8.0,1569,1607,"Jean, Zahlkellner.",13,"!",$.,--,16446,,
tg,rfd8.0,1612,1631,GRÖBER,19,Das,PDS,der,16446,,
tg,rfd8.0,1612,1631,GRÖBER,19,macht,VVFIN,machen,16446,,
tg,rfd8.0,1612,1631,GRÖBER,19,?,$.,--,16446,,
tg,rfd8.0,1636,1656,"Jean, Zahlkellner.",13,Eins,NE,eins,16446,,
tg,rfd8.0,1636,1656,"Jean, Zahlkellner.",13,fünfzig,CARD,fünfzig,16446,,
tg,rfd8.0,1636,1656,"Jean, Zahlkellner.",13,.,$.,--,16446,,
tg,rfd8.0,1661,1838,GRÖBER,19,Geld,NN,geld,16446,,
tg,rfd8.0,1661,1838,GRÖBER,19,genug,ADV,genug,16446,,
tg,rfd8.0,1661,1838,GRÖBER,19,für,APPR,für,16446,,
tg,rfd8.0,1661,1838,GRÖBER,19,dieses,PDAT,dieser,16446,,
tg,rfd8.0,1661,1838,GRÖBER,19,Gift,NN,gift,16446,,
tg,rfd8.0,1661,1838,GRÖBER,19,"!",$.,--,16446,,
tg,rfd8.0,1661,1838,GRÖBER,19,–,XY,–,16446,,
tg,rfd8.0,1661,1838,GRÖBER,19,Ziehen,NN,ziehen,16446,,
tg,rfd8.0,1661,1838,GRÖBER,19,Sie,PPER,sie,16446,,
tg,rfd8.0,1661,1838,GRÖBER,19,mir,PPER,sich,16446,GRÖBER,19
tg,rfd8.0,1661,1838,GRÖBER,19,noch,ADV,noch,16446,,
tg,rfd8.0,1661,1838,GRÖBER,19,einen,ART,ein,16446,,
tg,rfd8.0,1661,1838,GRÖBER,19,ab,PTKVZ,ab,16446,,
tg,rfd8.0,1661,1838,GRÖBER,19,.,$.,--,16446,,
tg,rfd8.0,1661,1838,GRÖBER,19,Schenkt,VVFIN,schenken,16446,,
tg,rfd8.0,1661,1838,GRÖBER,19,sich,PRF,sich,16446,,
tg,rfd8.0,1661,1838,GRÖBER,19,ein,ART,ein,16446,,
tg,rfd8.0,1661,1838,GRÖBER,19,Glas,NN,glas,16446,,
tg,rfd8.0,1661,1838,GRÖBER,19,voll,ADJD,voll,16446,,
tg,rfd8.0,1661,1838,GRÖBER,19,ein,PTKVZ,ein,16446,,
tg,rfd8.0,1661,1838,GRÖBER,19,",","$,",--,16446,,
