corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
tg,rhqt.0,526,590,GOETHE,62,Was,PWS,was,5792,,
tg,rhqt.0,526,590,GOETHE,62,ist,VAFIN,sein,5792,,
tg,rhqt.0,526,590,GOETHE,62,das,PDS,der,5792,,
tg,rhqt.0,526,590,GOETHE,62,für,APPR,für,5792,,
tg,rhqt.0,526,590,GOETHE,62,ein,ART,ein,5792,,
tg,rhqt.0,526,590,GOETHE,62,steil,ADJD,steil,5792,,
tg,rhqt.0,526,590,GOETHE,62,Gebirg,NN,gebirg,5792,,
tg,rhqt.0,526,590,GOETHE,62,mit,APPR,mit,5792,,
tg,rhqt.0,526,590,GOETHE,62,sovielen,ADJA,soviel,5792,,
tg,rhqt.0,526,590,GOETHE,62,Zugängen,NN,zugang,5792,,
tg,rhqt.0,526,590,GOETHE,62,?,$.,--,5792,,
tg,rhqt.0,595,648,LENZ,24,Ich,PPER,ich,5792,,
tg,rhqt.0,595,648,LENZ,24,weiß,VVFIN,weiß,5792,,
tg,rhqt.0,595,648,LENZ,24,nicht,PTKNEG,nicht,5792,,
tg,rhqt.0,595,648,LENZ,24,",","$,",--,5792,,
tg,rhqt.0,595,648,LENZ,24,Goethe,NN,goethe,5792,GOETHE,62
tg,rhqt.0,595,648,LENZ,24,",","$,",--,5792,,
tg,rhqt.0,595,648,LENZ,24,ich,PPER,ich,5792,LENZ,24
tg,rhqt.0,595,648,LENZ,24,komm,VVFIN,kommen,5792,,
tg,rhqt.0,595,648,LENZ,24,erst,ADV,erst,5792,,
tg,rhqt.0,595,648,LENZ,24,hier,ADV,hier,5792,,
tg,rhqt.0,595,648,LENZ,24,an,PTKVZ,an,5792,,
tg,rhqt.0,595,648,LENZ,24,.,$.,--,5792,,
tg,rhqt.0,653,782,GOETHE,62,Ist's,NE,ist's,5792,,
tg,rhqt.0,653,782,GOETHE,62,doch,ADV,doch,5792,,
tg,rhqt.0,653,782,GOETHE,62,herrlich,ADJD,herrlich,5792,,
tg,rhqt.0,653,782,GOETHE,62,",","$,",--,5792,,
tg,rhqt.0,653,782,GOETHE,62,dort,ADV,dort,5792,,
tg,rhqt.0,653,782,GOETHE,62,von,APPR,von,5792,,
tg,rhqt.0,653,782,GOETHE,62,oben,ADV,oben,5792,,
tg,rhqt.0,653,782,GOETHE,62,zuzusehn,CARD,zuzusehn,5792,,
tg,rhqt.0,653,782,GOETHE,62,",","$,",--,5792,,
tg,rhqt.0,653,782,GOETHE,62,wie,PWAV,wie,5792,,
tg,rhqt.0,653,782,GOETHE,62,die,ART,der,5792,,
tg,rhqt.0,653,782,GOETHE,62,Leutlein,NN,leutlein,5792,,
tg,rhqt.0,653,782,GOETHE,62,ansetzen,VVINF,ansetzen,5792,,
tg,rhqt.0,653,782,GOETHE,62,und,KON,und,5792,,
tg,rhqt.0,653,782,GOETHE,62,immer,ADV,immer,5792,,
