corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
tg,rjg0.0,391,877,"Theophan, ein junger Geistlicher.",1,Werden,VAFIN,werden,25543,,
tg,rjg0.0,391,877,"Theophan, ein junger Geistlicher.",1,Sie,PPER,sie,25543,,
tg,rjg0.0,391,877,"Theophan, ein junger Geistlicher.",1,es,PPER,es,25543,,
tg,rjg0.0,391,877,"Theophan, ein junger Geistlicher.",1,übel,ADJD,übel,25543,,
tg,rjg0.0,391,877,"Theophan, ein junger Geistlicher.",1,nehmen,VVINF,nehmen,25543,,
tg,rjg0.0,391,877,"Theophan, ein junger Geistlicher.",1,",","$,",--,25543,,
tg,rjg0.0,391,877,"Theophan, ein junger Geistlicher.",1,Adrast,NN,adrast,25543,,
tg,rjg0.0,391,877,"Theophan, ein junger Geistlicher.",1,",","$,",--,25543,,
tg,rjg0.0,391,877,"Theophan, ein junger Geistlicher.",1,wenn,KOUS,wenn,25543,,
tg,rjg0.0,391,877,"Theophan, ein junger Geistlicher.",1,ich,PPER,ich,25543,"Theophan, ein junger Geistlicher.",1
tg,rjg0.0,391,877,"Theophan, ein junger Geistlicher.",1,mich,PRF,mich,25543,"Theophan, ein junger Geistlicher.",1
tg,rjg0.0,391,877,"Theophan, ein junger Geistlicher.",1,endlich,ADV,endlich,25543,,
tg,rjg0.0,391,877,"Theophan, ein junger Geistlicher.",1,über,APPR,über,25543,,
tg,rjg0.0,391,877,"Theophan, ein junger Geistlicher.",1,den,ART,der,25543,,
tg,rjg0.0,391,877,"Theophan, ein junger Geistlicher.",1,stolzen,ADJA,stolz,25543,,
tg,rjg0.0,391,877,"Theophan, ein junger Geistlicher.",1,Kaltsinn,NN,kaltsinn,25543,,
tg,rjg0.0,391,877,"Theophan, ein junger Geistlicher.",1,beklage,VVFIN,beklagen,25543,,
tg,rjg0.0,391,877,"Theophan, ein junger Geistlicher.",1,",","$,",--,25543,,
tg,rjg0.0,391,877,"Theophan, ein junger Geistlicher.",1,den,PRELS,der,25543,,
tg,rjg0.0,391,877,"Theophan, ein junger Geistlicher.",1,Sie,PPER,sie,25543,,
tg,rjg0.0,391,877,"Theophan, ein junger Geistlicher.",1,nicht,PTKNEG,nicht,25543,,
tg,rjg0.0,391,877,"Theophan, ein junger Geistlicher.",1,aufhören,VVFIN,aufhören,25543,,
tg,rjg0.0,391,877,"Theophan, ein junger Geistlicher.",1,gegen,APPR,gegen,25543,,
tg,rjg0.0,391,877,"Theophan, ein junger Geistlicher.",1,mich,PPER,mich,25543,"Theophan, ein junger Geistlicher.",1
tg,rjg0.0,391,877,"Theophan, ein junger Geistlicher.",1,zu,PTKZU,zu,25543,,
tg,rjg0.0,391,877,"Theophan, ein junger Geistlicher.",1,äußern,VVINF,äußern,25543,,
tg,rjg0.0,391,877,"Theophan, ein junger Geistlicher.",1,?,$.,--,25543,,
tg,rjg0.0,391,877,"Theophan, ein junger Geistlicher.",1,Schon,ADV,schon,25543,,
tg,rjg0.0,391,877,"Theophan, ein junger Geistlicher.",1,seit,APPR,seit,25543,,
tg,rjg0.0,391,877,"Theophan, ein junger Geistlicher.",1,Monaten,NN,monat,25543,,
tg,rjg0.0,391,877,"Theophan, ein junger Geistlicher.",1,sind,VAFIN,sein,25543,,
tg,rjg0.0,391,877,"Theophan, ein junger Geistlicher.",1,wir,PPER,wir,25543,,
tg,rjg0.0,391,877,"Theophan, ein junger Geistlicher.",1,in,APPR,in,25543,,
tg,rjg0.0,391,877,"Theophan, ein junger Geistlicher.",1,Einem,ART,ein,25543,,
tg,rjg0.0,391,877,"Theophan, ein junger Geistlicher.",1,Hause,NN,haus,25543,,
tg,rjg0.0,391,877,"Theophan, ein junger Geistlicher.",1,",","$,",--,25543,,
tg,rjg0.0,391,877,"Theophan, ein junger Geistlicher.",1,und,KON,und,25543,,
tg,rjg0.0,391,877,"Theophan, ein junger Geistlicher.",1,warten,VVFIN,warten,25543,,
tg,rjg0.0,391,877,"Theophan, ein junger Geistlicher.",1,auf,APPR,auf,25543,,
tg,rjg0.0,391,877,"Theophan, ein junger Geistlicher.",1,einerlei,PIAT,einerlei,25543,,
tg,rjg0.0,391,877,"Theophan, ein junger Geistlicher.",1,Glück,NN,glück,25543,,
tg,rjg0.0,391,877,"Theophan, ein junger Geistlicher.",1,.,$.,--,25543,,
tg,rjg0.0,391,877,"Theophan, ein junger Geistlicher.",1,Zwei,CARD,zwei,25543,,
tg,rjg0.0,391,877,"Theophan, ein junger Geistlicher.",1,liebenswürdige,ADJA,liebenswürdig,25543,,
tg,rjg0.0,391,877,"Theophan, ein junger Geistlicher.",1,Schwestern,NN,schwester,25543,,
tg,rjg0.0,391,877,"Theophan, ein junger Geistlicher.",1,sollen,VMFIN,sollen,25543,,
tg,rjg0.0,391,877,"Theophan, ein junger Geistlicher.",1,es,PPER,es,25543,,
tg,rjg0.0,391,877,"Theophan, ein junger Geistlicher.",1,uns,PPER,uns,25543,,
tg,rjg0.0,391,877,"Theophan, ein junger Geistlicher.",1,machen,VVINF,machen,25543,,
tg,rjg0.0,391,877,"Theophan, ein junger Geistlicher.",1,.,$.,--,25543,,
tg,rjg0.0,391,877,"Theophan, ein junger Geistlicher.",1,Bedenken,NN,bedenken,25543,,
tg,rjg0.0,391,877,"Theophan, ein junger Geistlicher.",1,Sie,PPER,sie,25543,,
tg,rjg0.0,391,877,"Theophan, ein junger Geistlicher.",1,doch,ADV,doch,25543,,
tg,rjg0.0,391,877,"Theophan, ein junger Geistlicher.",1,",","$,",--,25543,,
tg,rjg0.0,391,877,"Theophan, ein junger Geistlicher.",1,Adrast,NN,adrast,25543,,
tg,rjg0.0,391,877,"Theophan, ein junger Geistlicher.",1,"!",$.,--,25543,,
tg,rjg0.0,391,877,"Theophan, ein junger Geistlicher.",1,können,VMFIN,können,25543,,
tg,rjg0.0,391,877,"Theophan, ein junger Geistlicher.",1,wir,PPER,wir,25543,,
tg,rjg0.0,391,877,"Theophan, ein junger Geistlicher.",1,noch,ADV,noch,25543,,
tg,rjg0.0,391,877,"Theophan, ein junger Geistlicher.",1,dringender,ADJA,dringend,25543,,
tg,rjg0.0,391,877,"Theophan, ein junger Geistlicher.",1,eingeladen,VVPP,einladen,25543,,
tg,rjg0.0,391,877,"Theophan, ein junger Geistlicher.",1,werden,VAINF,werden,25543,,
tg,rjg0.0,391,877,"Theophan, ein junger Geistlicher.",1,",","$,",--,25543,,
tg,rjg0.0,391,877,"Theophan, ein junger Geistlicher.",1,uns,PPER,uns,25543,,
tg,rjg0.0,391,877,"Theophan, ein junger Geistlicher.",1,zu,APPR,zu,25543,,
tg,rjg0.0,391,877,"Theophan, ein junger Geistlicher.",1,lieben,ADJA,lieben,25543,,
