corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
tg,scbg.0,2424,3218,"Konstanzia, Gemahlin des Gernando",0,Welche,PWAT,welcher,2997,,
tg,scbg.0,2424,3218,"Konstanzia, Gemahlin des Gernando",0,Arbeit,NN,arbeit,2997,,
tg,scbg.0,2424,3218,"Konstanzia, Gemahlin des Gernando",0,überwindet,VVFIN,überwinden,2997,,
tg,scbg.0,2424,3218,"Konstanzia, Gemahlin des Gernando",0,nicht,PTKNEG,nicht,2997,,
tg,scbg.0,2424,3218,"Konstanzia, Gemahlin des Gernando",0,ein,ART,ein,2997,,
tg,scbg.0,2424,3218,"Konstanzia, Gemahlin des Gernando",0,unermüdeter,ADJA,unermüdet,2997,,
tg,scbg.0,2424,3218,"Konstanzia, Gemahlin des Gernando",0,Fleiß,NN,fleiß,2997,,
tg,scbg.0,2424,3218,"Konstanzia, Gemahlin des Gernando",0,"!",$.,--,2997,,
tg,scbg.0,2424,3218,"Konstanzia, Gemahlin des Gernando",0,Der,ART,der,2997,,
tg,scbg.0,2424,3218,"Konstanzia, Gemahlin des Gernando",0,Fels,NN,fels,2997,,
tg,scbg.0,2424,3218,"Konstanzia, Gemahlin des Gernando",0,ist,VAFIN,sein,2997,,
tg,scbg.0,2424,3218,"Konstanzia, Gemahlin des Gernando",0,hart,ADJD,hart,2997,,
tg,scbg.0,2424,3218,"Konstanzia, Gemahlin des Gernando",0,;,$.,--,2997,,
tg,scbg.0,2424,3218,"Konstanzia, Gemahlin des Gernando",0,das,ART,der,2997,,
tg,scbg.0,2424,3218,"Konstanzia, Gemahlin des Gernando",0,Werkzeug,NN,werkzeug,2997,,
tg,scbg.0,2424,3218,"Konstanzia, Gemahlin des Gernando",0,unbequem,PTKVZ,unbequem,2997,,
tg,scbg.0,2424,3218,"Konstanzia, Gemahlin des Gernando",0,;,$.,--,2997,,
tg,scbg.0,2424,3218,"Konstanzia, Gemahlin des Gernando",0,die,ART,der,2997,,
tg,scbg.0,2424,3218,"Konstanzia, Gemahlin des Gernando",0,Hand,NN,hand,2997,,
tg,scbg.0,2424,3218,"Konstanzia, Gemahlin des Gernando",0,nicht,PTKNEG,nicht,2997,,
tg,scbg.0,2424,3218,"Konstanzia, Gemahlin des Gernando",0,geübt,VVPP,üben,2997,,
tg,scbg.0,2424,3218,"Konstanzia, Gemahlin des Gernando",0,:,$.,--,2997,,
tg,scbg.0,2424,3218,"Konstanzia, Gemahlin des Gernando",0,–,TRUNC,–,2997,,
tg,scbg.0,2424,3218,"Konstanzia, Gemahlin des Gernando",0,und,KON,und,2997,,
tg,scbg.0,2424,3218,"Konstanzia, Gemahlin des Gernando",0,doch,ADV,doch,2997,,
tg,scbg.0,2424,3218,"Konstanzia, Gemahlin des Gernando",0,bin,VAFIN,sein,2997,,
tg,scbg.0,2424,3218,"Konstanzia, Gemahlin des Gernando",0,ich,PPER,ich,2997,"Konstanzia, Gemahlin des Gernando",0
tg,scbg.0,2424,3218,"Konstanzia, Gemahlin des Gernando",0,endlich,ADV,endlich,2997,,
tg,scbg.0,2424,3218,"Konstanzia, Gemahlin des Gernando",0,der,ART,der,2997,,
tg,scbg.0,2424,3218,"Konstanzia, Gemahlin des Gernando",0,Vollendung,NN,vollendung,2997,,
tg,scbg.0,2424,3218,"Konstanzia, Gemahlin des Gernando",0,des,ART,der,2997,,
tg,scbg.0,2424,3218,"Konstanzia, Gemahlin des Gernando",0,Werkes,NN,werk,2997,,
tg,scbg.0,2424,3218,"Konstanzia, Gemahlin des Gernando",0,nahe,PTKVZ,nahe,2997,,
tg,scbg.0,2424,3218,"Konstanzia, Gemahlin des Gernando",0,.,$.,--,2997,,
tg,scbg.0,2424,3218,"Konstanzia, Gemahlin des Gernando",0,O,NE,O,2997,,
tg,scbg.0,2424,3218,"Konstanzia, Gemahlin des Gernando",0,Himmel,NN,himmel,2997,,
tg,scbg.0,2424,3218,"Konstanzia, Gemahlin des Gernando",0,"!",$.,--,2997,,
tg,scbg.0,2424,3218,"Konstanzia, Gemahlin des Gernando",0,gieb,ADJD,geiben,2997,,
tg,scbg.0,2424,3218,"Konstanzia, Gemahlin des Gernando",0,nur,ADV,nur,2997,,
