corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
tg,sf49.0,389,33117,0,403,5022,0
tg,sf49.0,389,33117,0,5036,7737,0
tg,sf49.0,389,33117,0,7751,8127,0
tg,sf49.0,389,33117,0,8141,11482,0
tg,sf49.0,389,33117,0,11496,21581,0
tg,sf49.0,389,33117,0,21595,23162,0
tg,sf49.0,389,33117,0,23176,24992,0
tg,sf49.0,389,33117,0,25006,26306,0
tg,sf49.0,389,33117,0,26320,31466,0
tg,sf49.0,389,33117,0,31480,32946,0
tg,sf49.0,389,33117,0,32960,33117,0
tg,sf49.0,44504,84308,0,44518,45699,0
tg,sf49.0,44504,84308,0,45713,46599,0
tg,sf49.0,44504,84308,0,46613,48483,0
tg,sf49.0,44504,84308,0,48497,49679,0
tg,sf49.0,44504,84308,0,49693,50991,0
tg,sf49.0,44504,84308,0,51005,68463,0
tg,sf49.0,44504,84308,0,68477,75170,0
tg,sf49.0,44504,84308,0,75184,75853,0
tg,sf49.0,44504,84308,0,75867,77683,0
tg,sf49.0,44504,84308,0,77697,78279,0
tg,sf49.0,44504,84308,0,78293,83111,0
tg,sf49.0,44504,84308,0,83125,84308,0
tg,sf49.0,86027,128927,0,86041,86549,0
tg,sf49.0,86027,128927,0,86563,87390,0
tg,sf49.0,86027,128927,0,87404,99742,0
tg,sf49.0,86027,128927,0,99756,100939,0
tg,sf49.0,86027,128927,0,100953,101842,0
tg,sf49.0,86027,128927,0,101856,105610,0
tg,sf49.0,86027,128927,0,105624,107349,0
tg,sf49.0,86027,128927,0,107363,107902,0
tg,sf49.0,86027,128927,0,107916,108327,0
tg,sf49.0,86027,128927,0,108341,108854,0
tg,sf49.0,86027,128927,0,108868,109214,0
tg,sf49.0,86027,128927,0,109228,109658,0
tg,sf49.0,86027,128927,0,109672,110081,0
tg,sf49.0,86027,128927,0,110095,115920,0
tg,sf49.0,86027,128927,0,115934,116379,0
tg,sf49.0,86027,128927,0,116393,119192,0
tg,sf49.0,86027,128927,0,119206,119527,0
tg,sf49.0,86027,128927,0,119541,121916,0
tg,sf49.0,86027,128927,0,121930,122472,0
tg,sf49.0,86027,128927,0,122486,123397,0
tg,sf49.0,86027,128927,0,123411,124778,0
tg,sf49.0,86027,128927,0,124792,127920,0
tg,sf49.0,86027,128927,0,127934,128927,0
