corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
tg,sj6g.0,703,22811,0,717,1741,0
tg,sj6g.0,703,22811,0,1756,4407,0
tg,sj6g.0,703,22811,0,4421,6290,0
tg,sj6g.0,703,22811,0,6305,10228,0
tg,sj6g.0,703,22811,0,10244,11629,0
tg,sj6g.0,703,22811,0,11644,13123,0
tg,sj6g.0,703,22811,0,13138,15138,0
tg,sj6g.0,703,22811,0,15152,17667,0
tg,sj6g.0,703,22811,0,17681,18065,0
tg,sj6g.0,703,22811,0,18079,19408,0
tg,sj6g.0,703,22811,0,19422,20066,0
tg,sj6g.0,703,22811,0,20082,22811,0
tg,sj6g.0,22827,57409,0,22841,23264,0
tg,sj6g.0,22827,57409,0,23278,26273,0
tg,sj6g.0,22827,57409,0,26287,33262,0
tg,sj6g.0,22827,57409,0,33277,34118,0
tg,sj6g.0,22827,57409,0,34132,40931,0
tg,sj6g.0,22827,57409,0,40945,41582,0
tg,sj6g.0,22827,57409,0,41596,42496,0
tg,sj6g.0,22827,57409,0,42510,43306,0
tg,sj6g.0,22827,57409,0,43320,46267,0
tg,sj6g.0,22827,57409,0,46281,47117,0
tg,sj6g.0,22827,57409,0,47132,49325,0
tg,sj6g.0,22827,57409,0,49339,54262,0
tg,sj6g.0,22827,57409,0,54278,55470,0
tg,sj6g.0,22827,57409,0,55485,56488,0
tg,sj6g.0,22827,57409,0,56502,57409,0
tg,sj6g.0,57426,79784,0,57440,61373,0
tg,sj6g.0,57426,79784,0,61387,62461,0
tg,sj6g.0,57426,79784,0,62476,64135,0
tg,sj6g.0,57426,79784,0,64150,66147,0
tg,sj6g.0,57426,79784,0,66163,67172,0
tg,sj6g.0,57426,79784,0,67186,68347,0
tg,sj6g.0,57426,79784,0,68361,68801,0
tg,sj6g.0,57426,79784,0,68815,70944,0
tg,sj6g.0,57426,79784,0,70958,71286,0
tg,sj6g.0,57426,79784,0,71298,71608,0
tg,sj6g.0,57426,79784,0,71623,72163,0
tg,sj6g.0,57426,79784,0,72178,73255,0
tg,sj6g.0,57426,79784,0,73270,75488,0
tg,sj6g.0,57426,79784,0,75502,77541,0
tg,sj6g.0,57426,79784,0,77556,77969,0
tg,sj6g.0,57426,79784,0,77983,79784,0
