corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
tg,sjpt.0,74,11332,0,74,11332,0
tg,sjpt.0,11346,24273,0,11346,24273,0
tg,sjpt.0,24287,38996,0,24287,38996,0
tg,sjpt.0,39010,46722,0,39010,46722,0
tg,sjpt.0,46736,63160,0,46736,63160,0
tg,sjpt.0,63174,78107,0,63174,78107,0
tg,sjpt.0,78121,85872,0,78121,85872,0
tg,sjpt.0,85886,94813,0,85886,94813,0
tg,sjpt.0,94827,101415,0,94827,101415,0
tg,sjpt.0,101429,113192,0,101429,113192,0
tg,sjpt.0,113206,129168,0,113206,129168,0
tg,sjpt.0,129182,138056,0,129182,138056,0
tg,sjpt.0,138070,150588,0,138070,150588,0
tg,sjpt.0,150602,168025,0,150602,168025,0
tg,sjpt.0,168039,169104,0,168039,169104,0
