corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
tg,str8.0,805,860,"Zangler, Gewürzkrämer in einer kleinen Stadt.",0,Ich,PPER,ich,20271,,
tg,str8.0,805,860,"Zangler, Gewürzkrämer in einer kleinen Stadt.",0,habe,VAFIN,haben,20271,,
tg,str8.0,805,860,"Zangler, Gewürzkrämer in einer kleinen Stadt.",0,Ihnen,PPER,ihnen,20271,,
tg,str8.0,805,860,"Zangler, Gewürzkrämer in einer kleinen Stadt.",0,jetzt,ADV,jetzt,20271,,
tg,str8.0,805,860,"Zangler, Gewürzkrämer in einer kleinen Stadt.",0,ein,ART,ein,20271,,
tg,str8.0,805,860,"Zangler, Gewürzkrämer in einer kleinen Stadt.",0,für,APPR,für,20271,,
tg,str8.0,805,860,"Zangler, Gewürzkrämer in einer kleinen Stadt.",0,allemal,ADV,allemal,20271,,
tg,str8.0,805,860,"Zangler, Gewürzkrämer in einer kleinen Stadt.",0,g'sagt,VVPP,g'sagen,20271,,
tg,str8.0,805,860,"Zangler, Gewürzkrämer in einer kleinen Stadt.",0,–,XY,–,20271,,
tg,str8.0,865,914,SONDERS,31,Und,KON,und,20271,,
tg,str8.0,865,914,SONDERS,31,ich,PPER,ich,20271,SONDERS,31
tg,str8.0,865,914,SONDERS,31,Ihnen,PPER,ihnen,20271,,
tg,str8.0,865,914,SONDERS,31,ein,ART,ein,20271,,
tg,str8.0,865,914,SONDERS,31,für,APPR,für,20271,,
tg,str8.0,865,914,SONDERS,31,allemal,ADV,allemal,20271,,
tg,str8.0,865,914,SONDERS,31,erklärt,VVFIN,erklären,20271,,
tg,str8.0,865,914,SONDERS,31,–,PPER,–,20271,,
tg,str8.0,919,975,"Zangler, Gewürzkrämer in einer kleinen Stadt.",0,Daß,KOUS,daß,20271,,
tg,str8.0,919,975,"Zangler, Gewürzkrämer in einer kleinen Stadt.",0,Sie,PPER,sie,20271,,
tg,str8.0,919,975,"Zangler, Gewürzkrämer in einer kleinen Stadt.",0,meine,PPOSAT,mein,20271,"Zangler, Gewürzkrämer in einer kleinen Stadt.",0
tg,str8.0,919,975,"Zangler, Gewürzkrämer in einer kleinen Stadt.",0,Nichte,NN,nichte,20271,,
tg,str8.0,919,975,"Zangler, Gewürzkrämer in einer kleinen Stadt.",0,und,KON,und,20271,,
tg,str8.0,919,975,"Zangler, Gewürzkrämer in einer kleinen Stadt.",0,Mündel,NE,mündel,20271,,
tg,str8.0,919,975,"Zangler, Gewürzkrämer in einer kleinen Stadt.",0,nicht,PTKNEG,nicht,20271,,
tg,str8.0,919,975,"Zangler, Gewürzkrämer in einer kleinen Stadt.",0,kriegen,VVFIN,kriegen,20271,,
