corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
tg,strp.0,2066,2125,"Zech, ein Kellner.",20,Ich,PPER,ich,19796,,
tg,strp.0,2066,2125,"Zech, ein Kellner.",20,hab,VAFIN,hab,19796,,
tg,strp.0,2066,2125,"Zech, ein Kellner.",20,',$[,--,19796,,
tg,strp.0,2066,2125,"Zech, ein Kellner.",20,fünf,CARD,fünf,19796,,
tg,strp.0,2066,2125,"Zech, ein Kellner.",20,Gulden,NN,guld,19796,,
tg,strp.0,2066,2125,"Zech, ein Kellner.",20,Heut,FM,heut,19796,,
tg,strp.0,2066,2125,"Zech, ein Kellner.",20,dreiß'g,FM,dreiß'g,19796,,
tg,strp.0,2066,2125,"Zech, ein Kellner.",20,Kreuzer,FM,kreuzer,19796,,
tg,strp.0,2066,2125,"Zech, ein Kellner.",20,z,FM,z,19796,,
tg,strp.0,2066,2125,"Zech, ein Kellner.",20,',$[,--,19796,,
tg,strp.0,2066,2125,"Zech, ein Kellner.",20,krieg'n,VVINF,krieg'n,19796,,
tg,strp.0,2066,2125,"Zech, ein Kellner.",20,"!",$.,--,19796,,
tg,strp.0,2130,2174,"Zuwag, ein Aufhackknecht.",19,So,ADV,so,19796,,
tg,strp.0,2130,2174,"Zuwag, ein Aufhackknecht.",19,lang,ADJD,lang,19796,,
tg,strp.0,2130,2174,"Zuwag, ein Aufhackknecht.",19,gib,VVFIN,geben,19796,,
tg,strp.0,2130,2174,"Zuwag, ein Aufhackknecht.",19,ich's,PPER,ich's,19796,,
tg,strp.0,2130,2174,"Zuwag, ein Aufhackknecht.",19,Fleisch,NN,fleisch,19796,,
tg,strp.0,2130,2174,"Zuwag, ein Aufhackknecht.",19,auf,APPR,auf,19796,,
tg,strp.0,2130,2174,"Zuwag, ein Aufhackknecht.",19,Kredit,NN,kredit,19796,,
tg,strp.0,2130,2174,"Zuwag, ein Aufhackknecht.",19,"!",$.,--,19796,,
tg,strp.0,2179,2233,"Plutzerkern, ein Greisler.",18,Ich,PPER,ich,19796,,
tg,strp.0,2179,2233,"Plutzerkern, ein Greisler.",18,will,VMFIN,wollen,19796,,
tg,strp.0,2179,2233,"Plutzerkern, ein Greisler.",18,das,ART,der,19796,,
tg,strp.0,2179,2233,"Plutzerkern, ein Greisler.",18,Geld,NN,geld,19796,,
tg,strp.0,2179,2233,"Plutzerkern, ein Greisler.",18,hab'n,VVFIN,hab'n,19796,,
tg,strp.0,2179,2233,"Plutzerkern, ein Greisler.",18,für,APPR,für,19796,,
tg,strp.0,2179,2233,"Plutzerkern, ein Greisler.",18,mein,PPOSAT,mein,19796,"Plutzerkern, ein Greisler.",18
tg,strp.0,2179,2233,"Plutzerkern, ein Greisler.",18,Schmalz,NN,schmalz,19796,,
tg,strp.0,2179,2233,"Plutzerkern, ein Greisler.",18,"!",$.,--,19796,,
tg,strp.0,2239,2289,"Friedrich, Bedienter,",4,Heut,NE,heut,19796,,
tg,strp.0,2239,2289,"Friedrich, Bedienter,",4,',$[,--,19796,,
