corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
tg,strx.0,1484,93169,0,1498,4169,0
tg,strx.0,1484,93169,0,4183,6763,0
tg,strx.0,1484,93169,0,6778,9780,0
tg,strx.0,1484,93169,0,9794,12236,0
tg,strx.0,1484,93169,0,12251,16742,0
tg,strx.0,1484,93169,0,16756,21072,0
tg,strx.0,1484,93169,0,21087,25789,0
tg,strx.0,1484,93169,0,25803,29270,0
tg,strx.0,1484,93169,0,29285,33876,0
tg,strx.0,1484,93169,0,33891,39903,0
tg,strx.0,1484,93169,0,39917,40712,0
tg,strx.0,1484,93169,0,40727,42144,0
tg,strx.0,1484,93169,0,42158,43658,0
tg,strx.0,1484,93169,0,43672,46248,0
tg,strx.0,1484,93169,0,46263,47486,0
tg,strx.0,1484,93169,0,47501,48209,0
tg,strx.0,1484,93169,0,48223,55870,0
tg,strx.0,1484,93169,0,55884,65854,0
tg,strx.0,1484,93169,0,65869,67067,0
tg,strx.0,1484,93169,0,67081,71134,0
tg,strx.0,1484,93169,0,71149,75051,0
tg,strx.0,1484,93169,0,75066,80172,0
tg,strx.0,1484,93169,0,80187,85705,0
tg,strx.0,1484,93169,0,85720,87375,0
tg,strx.0,1484,93169,0,87389,89343,0
tg,strx.0,1484,93169,0,89357,91247,0
tg,strx.0,1484,93169,0,91262,92663,0
tg,strx.0,1484,93169,0,92677,93169,0
tg,strx.0,93185,193578,0,93199,98390,0
tg,strx.0,93185,193578,0,98405,103308,0
tg,strx.0,93185,193578,0,103323,107970,0
tg,strx.0,93185,193578,0,107985,113051,0
tg,strx.0,93185,193578,0,113065,116401,0
tg,strx.0,93185,193578,0,116416,120772,0
tg,strx.0,93185,193578,0,120787,124930,0
tg,strx.0,93185,193578,0,124945,127229,0
tg,strx.0,93185,193578,0,127244,130579,0
tg,strx.0,93185,193578,0,130594,133955,0
tg,strx.0,93185,193578,0,133969,139066,0
tg,strx.0,93185,193578,0,139081,144361,0
tg,strx.0,93185,193578,0,144375,151738,0
tg,strx.0,93185,193578,0,151752,155492,0
tg,strx.0,93185,193578,0,155507,159482,0
tg,strx.0,93185,193578,0,159496,164307,0
tg,strx.0,93185,193578,0,164322,168810,0
tg,strx.0,93185,193578,0,168825,171535,0
tg,strx.0,93185,193578,0,171550,179630,0
tg,strx.0,93185,193578,0,179645,182295,0
tg,strx.0,93185,193578,0,182309,183593,0
tg,strx.0,93185,193578,0,183607,186014,0
tg,strx.0,93185,193578,0,186028,190631,0
tg,strx.0,93185,193578,0,190645,193578,0
