corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
tg,stst.0,10248,41917,0,10248,12062,0
tg,stst.0,10248,41917,0,12076,16576,0
tg,stst.0,10248,41917,0,16591,18851,0
tg,stst.0,10248,41917,0,18866,19210,0
tg,stst.0,10248,41917,0,19226,21685,0
tg,stst.0,10248,41917,0,21699,22701,0
tg,stst.0,10248,41917,0,22716,24289,0
tg,stst.0,10248,41917,0,24304,31189,0
tg,stst.0,10248,41917,0,31203,31668,0
tg,stst.0,10248,41917,0,31683,36048,0
tg,stst.0,10248,41917,0,36064,37789,0
tg,stst.0,10248,41917,0,37803,39141,0
tg,stst.0,10248,41917,0,39156,41917,0
