corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
tg,t96s.0,1994,2204,"Astragalus, der Alpenkönig.",0,Holla,NE,holla,22039,,
tg,t96s.0,1994,2204,"Astragalus, der Alpenkönig.",0,ho,VVFIN,ho,22039,,
tg,t96s.0,1994,2204,"Astragalus, der Alpenkönig.",0,",","$,",--,22039,,
tg,t96s.0,1994,2204,"Astragalus, der Alpenkönig.",0,ihr,PPOSAT,ihr,22039,,
tg,t96s.0,1994,2204,"Astragalus, der Alpenkönig.",0,Jägersleute,NN,jägersleute,22039,,
tg,t96s.0,1994,2204,"Astragalus, der Alpenkönig.",0,"!",$.,--,22039,,
tg,t96s.0,1994,2204,"Astragalus, der Alpenkönig.",0,Seid,NE,sein,22039,,
tg,t96s.0,1994,2204,"Astragalus, der Alpenkönig.",0,genügsam,ADJD,genügsam,22039,,
tg,t96s.0,1994,2204,"Astragalus, der Alpenkönig.",0,in,APPR,in,22039,,
tg,t96s.0,1994,2204,"Astragalus, der Alpenkönig.",0,der,ART,der,22039,,
tg,t96s.0,1994,2204,"Astragalus, der Alpenkönig.",0,Beute,NN,beute,22039,,
tg,t96s.0,1994,2204,"Astragalus, der Alpenkönig.",0,.,$.,--,22039,,
tg,t96s.0,1994,2204,"Astragalus, der Alpenkönig.",0,Laßt,NE,lassen,22039,,
tg,t96s.0,1994,2204,"Astragalus, der Alpenkönig.",0,",","$,",--,22039,,
tg,t96s.0,1994,2204,"Astragalus, der Alpenkönig.",0,ihr,PPOSAT,ihr,22039,,
tg,t96s.0,1994,2204,"Astragalus, der Alpenkönig.",0,jagdberauschten,ADJA,jagdberauscht,22039,,
tg,t96s.0,1994,2204,"Astragalus, der Alpenkönig.",0,Schergen,NN,schergen,22039,,
tg,t96s.0,1994,2204,"Astragalus, der Alpenkönig.",0,",","$,",--,22039,,
tg,t96s.0,1994,2204,"Astragalus, der Alpenkönig.",0,Ruhn,NE,ruhn,22039,,
tg,t96s.0,1994,2204,"Astragalus, der Alpenkönig.",0,das,ART,der,22039,,
tg,t96s.0,1994,2204,"Astragalus, der Alpenkönig.",0,Gemsvolk,NN,gemsvolk,22039,,
tg,t96s.0,1994,2204,"Astragalus, der Alpenkönig.",0,in,APPR,in,22039,,
tg,t96s.0,1994,2204,"Astragalus, der Alpenkönig.",0,den,ART,der,22039,,
tg,t96s.0,1994,2204,"Astragalus, der Alpenkönig.",0,Bergen,NN,berg,22039,,
tg,t96s.0,1994,2204,"Astragalus, der Alpenkönig.",0,.,$.,--,22039,,
tg,t96s.0,1994,2204,"Astragalus, der Alpenkönig.",0,Lang,NE,lang,22039,,
tg,t96s.0,1994,2204,"Astragalus, der Alpenkönig.",0,gedonnert,VVPP,donnern,22039,,
tg,t96s.0,1994,2204,"Astragalus, der Alpenkönig.",0,haben,VAFIN,haben,22039,,
tg,t96s.0,1994,2204,"Astragalus, der Alpenkönig.",0,wir,PPER,wir,22039,,
tg,t96s.0,1994,2204,"Astragalus, der Alpenkönig.",0,Heut,NN,heut,22039,,
tg,t96s.0,1994,2204,"Astragalus, der Alpenkönig.",0,im,APPRART,in,22039,,
tg,t96s.0,1994,2204,"Astragalus, der Alpenkönig.",0,steinigten,ADJA,steinigt,22039,,
tg,t96s.0,1994,2204,"Astragalus, der Alpenkönig.",0,Revier,NN,revier,22039,,
tg,t96s.0,1994,2204,"Astragalus, der Alpenkönig.",0,.,$.,--,22039,,
tg,t96s.0,2210,2739,"Linarius, Alpanor, Alpengeister.",1,Großer,ADJA,groß,22039,,
tg,t96s.0,2210,2739,"Linarius, Alpanor, Alpengeister.",1,Fürst,NN,fürst,22039,,
tg,t96s.0,2210,2739,"Linarius, Alpanor, Alpengeister.",1,",","$,",--,22039,,
tg,t96s.0,2210,2739,"Linarius, Alpanor, Alpengeister.",1,du,PPER,du,22039,,
tg,t96s.0,2210,2739,"Linarius, Alpanor, Alpengeister.",1,magst,VVFIN,magen,22039,,
tg,t96s.0,2210,2739,"Linarius, Alpanor, Alpengeister.",1,nur,ADV,nur,22039,,
tg,t96s.0,2210,2739,"Linarius, Alpanor, Alpengeister.",1,winken,VVFIN,winken,22039,,
tg,t96s.0,2210,2739,"Linarius, Alpanor, Alpengeister.",1,",","$,",--,22039,,
tg,t96s.0,2210,2739,"Linarius, Alpanor, Alpengeister.",1,Und,KON,und,22039,,
tg,t96s.0,2210,2739,"Linarius, Alpanor, Alpengeister.",1,der,ART,der,22039,,
tg,t96s.0,2210,2739,"Linarius, Alpanor, Alpengeister.",1,Alpen,NN,alpen,22039,,
tg,t96s.0,2210,2739,"Linarius, Alpanor, Alpengeister.",1,Geister,NN,geist,22039,,
tg,t96s.0,2210,2739,"Linarius, Alpanor, Alpengeister.",1,sinken,VVFIN,sinken,22039,,
tg,t96s.0,2210,2739,"Linarius, Alpanor, Alpengeister.",1,Kraftberaubet,NN,kraftberaubet,22039,,
tg,t96s.0,2210,2739,"Linarius, Alpanor, Alpengeister.",1,in,APPR,in,22039,,
tg,t96s.0,2210,2739,"Linarius, Alpanor, Alpengeister.",1,den,ART,der,22039,,
tg,t96s.0,2210,2739,"Linarius, Alpanor, Alpengeister.",1,Staub,NN,staub,22039,,
