corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
tg,twnw.0,779,1102,Tamino,1,Zu,APPR,zu,12800,,
tg,twnw.0,779,1102,Tamino,1,Hülfe,NN,hülfe,12800,,
tg,twnw.0,779,1102,Tamino,1,"!",$.,--,12800,,
tg,twnw.0,779,1102,Tamino,1,zu,APPR,zu,12800,,
tg,twnw.0,779,1102,Tamino,1,Hülfe,NN,hülfe,12800,,
tg,twnw.0,779,1102,Tamino,1,"!",$.,--,12800,,
tg,twnw.0,779,1102,Tamino,1,sonst,ADV,sonst,12800,,
tg,twnw.0,779,1102,Tamino,1,bin,VAFIN,sein,12800,,
tg,twnw.0,779,1102,Tamino,1,ich,PPER,ich,12800,Tamino,1
tg,twnw.0,779,1102,Tamino,1,verloren,PTKVZ,verlieren,12800,,
tg,twnw.0,779,1102,Tamino,1,",","$,",--,12800,,
tg,twnw.0,779,1102,Tamino,1,Der,ART,der,12800,,
tg,twnw.0,779,1102,Tamino,1,listigen,ADJA,listig,12800,,
tg,twnw.0,779,1102,Tamino,1,Schlange,NN,schlange,12800,,
tg,twnw.0,779,1102,Tamino,1,zum,APPRART,zu,12800,,
tg,twnw.0,779,1102,Tamino,1,Opfer,NN,opfer,12800,,
tg,twnw.0,779,1102,Tamino,1,erkoren,VVINF,erkiesen,12800,,
tg,twnw.0,779,1102,Tamino,1,.,$.,--,12800,,
tg,twnw.0,779,1102,Tamino,1,Barmherzige,ADJA,barmherzig,12800,,
tg,twnw.0,779,1102,Tamino,1,Götter,NN,gott,12800,,
tg,twnw.0,779,1102,Tamino,1,"!",$.,--,12800,,
tg,twnw.0,779,1102,Tamino,1,schon,ADV,schon,12800,,
tg,twnw.0,779,1102,Tamino,1,nahet,VVFIN,nahet,12800,,
tg,twnw.0,779,1102,Tamino,1,sie,PPER,sie,12800,,
tg,twnw.0,779,1102,Tamino,1,sich,PRF,sich,12800,,
tg,twnw.0,779,1102,Tamino,1,;,$.,--,12800,,
tg,twnw.0,779,1102,Tamino,1,Ach,ITJ,ach,12800,,
tg,twnw.0,779,1102,Tamino,1,rettet,VVFIN,retten,12800,,
tg,twnw.0,779,1102,Tamino,1,mich,PPER,mich,12800,Tamino,1
