corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
tg,tz0c.0,1353,42012,0,1367,11832,0
tg,tz0c.0,1353,42012,0,11846,20354,0
tg,tz0c.0,1353,42012,0,20370,27207,0
tg,tz0c.0,1353,42012,0,27223,42012,0
tg,tz0c.0,42028,78990,0,42042,52088,0
tg,tz0c.0,42028,78990,0,52104,78990,0
tg,tz0c.0,79006,114476,0,79020,85258,0
tg,tz0c.0,79006,114476,0,85272,92283,0
tg,tz0c.0,79006,114476,0,92297,114476,0
tg,tz0c.0,114493,154932,0,114507,125000,0
tg,tz0c.0,114493,154932,0,125014,138966,0
tg,tz0c.0,114493,154932,0,138980,154932,0
tg,tz0c.0,154948,180349,0,154962,168278,0
tg,tz0c.0,154948,180349,0,168294,179127,0
tg,tz0c.0,154948,180349,0,179141,180349,0
