corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
tg,tzgk.0,3360,48535,0,3374,8675,0
tg,tzgk.0,3360,48535,0,8690,9966,0
tg,tzgk.0,3360,48535,0,9981,12806,0
tg,tzgk.0,3360,48535,0,12820,16797,0
tg,tzgk.0,3360,48535,0,16811,19833,0
tg,tzgk.0,3360,48535,0,19847,21146,0
tg,tzgk.0,3360,48535,0,21161,24859,0
tg,tzgk.0,3360,48535,0,24873,27705,0
tg,tzgk.0,3360,48535,0,27720,35845,0
tg,tzgk.0,3360,48535,0,35860,39884,0
tg,tzgk.0,3360,48535,0,39898,42160,0
tg,tzgk.0,3360,48535,0,42174,47492,0
tg,tzgk.0,3360,48535,0,47507,48535,0
tg,tzgk.0,48551,100788,0,48565,48880,0
tg,tzgk.0,48551,100788,0,48894,53729,0
tg,tzgk.0,48551,100788,0,53744,57032,0
tg,tzgk.0,48551,100788,0,57046,62559,0
tg,tzgk.0,48551,100788,0,62573,67195,0
tg,tzgk.0,48551,100788,0,67210,67504,0
tg,tzgk.0,48551,100788,0,67518,68158,0
tg,tzgk.0,48551,100788,0,68173,73299,0
tg,tzgk.0,48551,100788,0,73313,75006,0
tg,tzgk.0,48551,100788,0,75021,75759,0
tg,tzgk.0,48551,100788,0,75773,76461,0
tg,tzgk.0,48551,100788,0,76475,77615,0
tg,tzgk.0,48551,100788,0,77631,80077,0
tg,tzgk.0,48551,100788,0,80092,85636,0
tg,tzgk.0,48551,100788,0,85651,89386,0
tg,tzgk.0,48551,100788,0,89402,90121,0
tg,tzgk.0,48551,100788,0,90135,95890,0
tg,tzgk.0,48551,100788,0,95905,99115,0
tg,tzgk.0,48551,100788,0,99130,100788,0
tg,tzgk.0,100804,136039,0,100818,103966,0
tg,tzgk.0,100804,136039,0,103980,107095,0
tg,tzgk.0,100804,136039,0,107110,110900,0
tg,tzgk.0,100804,136039,0,110914,117606,0
tg,tzgk.0,100804,136039,0,117621,124876,0
tg,tzgk.0,100804,136039,0,124891,125567,0
tg,tzgk.0,100804,136039,0,125582,127351,0
tg,tzgk.0,100804,136039,0,127366,128844,0
tg,tzgk.0,100804,136039,0,128859,130608,0
tg,tzgk.0,100804,136039,0,130623,134574,0
tg,tzgk.0,100804,136039,0,134588,136039,0
tg,tzgk.0,136055,171063,0,136069,136412,0
tg,tzgk.0,136055,171063,0,136427,137234,0
tg,tzgk.0,136055,171063,0,137248,138332,0
tg,tzgk.0,136055,171063,0,138346,139760,0
tg,tzgk.0,136055,171063,0,139774,141444,0
tg,tzgk.0,136055,171063,0,141458,145977,0
tg,tzgk.0,136055,171063,0,145991,149184,0
tg,tzgk.0,136055,171063,0,149199,150033,0
tg,tzgk.0,136055,171063,0,150049,152629,0
tg,tzgk.0,136055,171063,0,152644,153479,0
tg,tzgk.0,136055,171063,0,153494,154968,0
tg,tzgk.0,136055,171063,0,154983,160452,0
tg,tzgk.0,136055,171063,0,160466,163286,0
tg,tzgk.0,136055,171063,0,163301,170444,0
tg,tzgk.0,136055,171063,0,170460,171063,0
tg,tzgk.0,171079,204652,0,171093,173556,0
tg,tzgk.0,171079,204652,0,173572,174062,0
tg,tzgk.0,171079,204652,0,174077,175691,0
tg,tzgk.0,171079,204652,0,175706,177006,0
tg,tzgk.0,171079,204652,0,177022,180377,0
tg,tzgk.0,171079,204652,0,180392,181327,0
tg,tzgk.0,171079,204652,0,181342,181747,0
tg,tzgk.0,171079,204652,0,181762,183223,0
tg,tzgk.0,171079,204652,0,183238,184463,0
tg,tzgk.0,171079,204652,0,184477,185711,0
tg,tzgk.0,171079,204652,0,185726,186205,0
tg,tzgk.0,171079,204652,0,186220,189183,0
tg,tzgk.0,171079,204652,0,189198,194624,0
tg,tzgk.0,171079,204652,0,194639,196392,0
tg,tzgk.0,171079,204652,0,196407,197421,0
tg,tzgk.0,171079,204652,0,197436,204174,0
tg,tzgk.0,171079,204652,0,204189,204652,0
