corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
tg,v341.0,539,735,SOLISA,15,So,ADV,so,12131,,
tg,v341.0,539,735,SOLISA,15,recht,ADJD,recht,12131,,
tg,v341.0,539,735,SOLISA,15,"!",$.,--,12131,,
tg,v341.0,539,735,SOLISA,15,–,XY,–,12131,,
tg,v341.0,539,735,SOLISA,15,Laßt,VVFIN,lassen,12131,,
tg,v341.0,539,735,SOLISA,15,die,ART,der,12131,,
tg,v341.0,539,735,SOLISA,15,Trompeten,NN,trompete,12131,,
tg,v341.0,539,735,SOLISA,15,mutig,ADJD,mutig,12131,,
tg,v341.0,539,735,SOLISA,15,schmettern,VVFIN,schmettern,12131,,
tg,v341.0,539,735,SOLISA,15,",","$,",--,12131,,
tg,v341.0,539,735,SOLISA,15,So,ADV,so,12131,,
tg,v341.0,539,735,SOLISA,15,darf,VMFIN,dürfen,12131,,
tg,v341.0,539,735,SOLISA,15,der,ART,der,12131,,
tg,v341.0,539,735,SOLISA,15,innre,ADJA,innr,12131,,
tg,v341.0,539,735,SOLISA,15,Unmut,NN,unmut,12131,,
tg,v341.0,539,735,SOLISA,15,sich,PRF,sich,12131,,
tg,v341.0,539,735,SOLISA,15,nicht,PTKNEG,nicht,12131,,
tg,v341.0,539,735,SOLISA,15,zeigen,VVINF,zeigen,12131,,
tg,v341.0,539,735,SOLISA,15,.,$.,--,12131,,
tg,v341.0,539,735,SOLISA,15,–,NN,–,12131,,
tg,v341.0,539,735,SOLISA,15,O,NE,O,12131,,
tg,v341.0,539,735,SOLISA,15,weh,PTKVZ,weh,12131,,
tg,v341.0,539,735,SOLISA,15,"!",$.,--,12131,,
tg,v341.0,539,735,SOLISA,15,Wie,PWAV,wie,12131,,
tg,v341.0,539,735,SOLISA,15,nun,ADV,nun,12131,,
tg,v341.0,539,735,SOLISA,15,der,ART,der,12131,,
tg,v341.0,539,735,SOLISA,15,lauten,VVINF,laut,12131,,
tg,v341.0,539,735,SOLISA,15,Hörner,VAFIN,horn,12131,,
tg,v341.0,539,735,SOLISA,15,Schallen,NN,schalle,12131,,
tg,v341.0,539,735,SOLISA,15,Mich,PPER,mich,12131,,
tg,v341.0,539,735,SOLISA,15,tief,ADJD,tief,12131,,
tg,v341.0,539,735,SOLISA,15,verwundet,VVPP,verwunden,12131,,
tg,v341.0,539,735,SOLISA,15,.,$.,--,12131,,
tg,v341.0,539,735,SOLISA,15,Laßt,VVFIN,lassen,12131,,
tg,v341.0,539,735,SOLISA,15,sie,PPER,sie,12131,,
tg,v341.0,539,735,SOLISA,15,endlich,ADV,endlich,12131,,
tg,v341.0,539,735,SOLISA,15,schweigen,VVINF,schweigen,12131,,
tg,v341.0,539,735,SOLISA,15,"!",$.,--,12131,,
tg,v341.0,741,964,ALVARO,11,Wenn,KOUS,wenn,12131,,
tg,v341.0,741,964,ALVARO,11,sich,PRF,sich,12131,,
tg,v341.0,741,964,ALVARO,11,der,ART,der,12131,,
tg,v341.0,741,964,ALVARO,11,Sonne,NN,sonne,12131,,
tg,v341.0,741,964,ALVARO,11,Glanz,NE,glanz,12131,,
tg,v341.0,741,964,ALVARO,11,in,APPR,in,12131,,
tg,v341.0,741,964,ALVARO,11,Wolken,NN,wolke,12131,,
tg,v341.0,741,964,ALVARO,11,hüllet,VVFIN,hüllet,12131,,
tg,v341.0,741,964,ALVARO,11,",","$,",--,12131,,
tg,v341.0,741,964,ALVARO,11,Wie,PWAV,wie,12131,,
tg,v341.0,741,964,ALVARO,11,sollten,VMFIN,sollen,12131,,
tg,v341.0,741,964,ALVARO,11,Sterbliche,NN,sterbliche,12131,,
tg,v341.0,741,964,ALVARO,11,sich,PRF,sich,12131,,
tg,v341.0,741,964,ALVARO,11,freuen,VVINF,freuen,12131,,
tg,v341.0,741,964,ALVARO,11,dürfen,VMINF,dürfen,12131,,
tg,v341.0,741,964,ALVARO,11,?,$.,--,12131,,
tg,v341.0,741,964,ALVARO,11,–,XY,–,12131,,
tg,v341.0,741,964,ALVARO,11,Entfernt,VVIMP,entfernt,12131,,
tg,v341.0,741,964,ALVARO,11,euch,PRF,euch,12131,,
tg,v341.0,741,964,ALVARO,11,",","$,",--,12131,,
tg,v341.0,741,964,ALVARO,11,Freunde,NN,freund,12131,,
tg,v341.0,741,964,ALVARO,11,"!",$.,--,12131,,
tg,v341.0,741,964,ALVARO,11,Die,ART,der,12131,,
tg,v341.0,741,964,ALVARO,11,erhabne,ADJA,erhabn,12131,,
tg,v341.0,741,964,ALVARO,11,Fürstin,NN,fürstin,12131,,
tg,v341.0,741,964,ALVARO,11,Wird,VAFIN,werden,12131,,
tg,v341.0,741,964,ALVARO,11,nach,APPR,nach,12131,,
tg,v341.0,741,964,ALVARO,11,der,ART,der,12131,,
tg,v341.0,741,964,ALVARO,11,wilden,ADJA,wild,12131,,
tg,v341.0,741,964,ALVARO,11,Jagdlust,NN,jagdlust,12131,,
tg,v341.0,741,964,ALVARO,11,Ruh,NE,ruh,12131,,
tg,v341.0,741,964,ALVARO,11,',$[,--,12131,,
tg,v341.0,741,964,ALVARO,11,bedürfen,VVINF,bedürfen,12131,,
tg,v341.0,741,964,ALVARO,11,.,$.,--,12131,,
tg,v341.0,970,1157,SOLISA,15,Nicht,PTKNEG,nicht,12131,,
tg,v341.0,970,1157,SOLISA,15,Ruhe,NN,ruhe,12131,,
tg,v341.0,970,1157,SOLISA,15,",","$,",--,12131,,
tg,v341.0,970,1157,SOLISA,15,nein,PTKANT,nein,12131,,
tg,v341.0,970,1157,SOLISA,15,"!",$.,--,12131,,
tg,v341.0,970,1157,SOLISA,15,doch,ADV,doch,12131,,
tg,v341.0,970,1157,SOLISA,15,Stille,NN,stille,12131,,
tg,v341.0,970,1157,SOLISA,15,laßt,VVFIN,lassen,12131,,
tg,v341.0,970,1157,SOLISA,15,mich,PPER,mich,12131,SOLISA,15
tg,v341.0,970,1157,SOLISA,15,haben,VAFIN,haben,12131,,
tg,v341.0,970,1157,SOLISA,15,",","$,",--,12131,,
tg,v341.0,970,1157,SOLISA,15,Und,KON,und,12131,,
tg,v341.0,970,1157,SOLISA,15,tiefes,ADJA,tief,12131,,
tg,v341.0,970,1157,SOLISA,15,Schweigen,NN,schweigen,12131,,
tg,v341.0,970,1157,SOLISA,15,ahnend,ADJD,ahnend,12131,,
tg,v341.0,970,1157,SOLISA,15,mich,PPER,mich,12131,SOLISA,15
tg,v341.0,970,1157,SOLISA,15,umgeben,VVPP,umgeben,12131,,
tg,v341.0,970,1157,SOLISA,15,.,$.,--,12131,,
tg,v341.0,970,1157,SOLISA,15,Es,PPER,es,12131,,
tg,v341.0,970,1157,SOLISA,15,mag,VMFIN,mögen,12131,,
tg,v341.0,970,1157,SOLISA,15,der,ART,der,12131,,
tg,v341.0,970,1157,SOLISA,15,König,NN,könig,12131,,
tg,v341.0,970,1157,SOLISA,15,wissen,VVINF,wissen,12131,,
tg,v341.0,970,1157,SOLISA,15,",","$,",--,12131,,
tg,v341.0,970,1157,SOLISA,15,wie,PWAV,wie,12131,,
tg,v341.0,970,1157,SOLISA,15,ich,PPER,ich,12131,SOLISA,15
tg,v341.0,970,1157,SOLISA,15,traure,VVFIN,trauren,12131,,
tg,v341.0,970,1157,SOLISA,15,;,$.,--,12131,,
tg,v341.0,970,1157,SOLISA,15,Drum,PROAV,drum,12131,,
tg,v341.0,970,1157,SOLISA,15,soll,VMFIN,sollen,12131,,
tg,v341.0,970,1157,SOLISA,15,kein,PIAT,kein,12131,,
tg,v341.0,970,1157,SOLISA,15,Freudenlaut,NN,freudenlaut,12131,,
