corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
tg,v3sw.0,1126,1193,Der Diener,8,Um,KOUI,um,11540,,
tg,v3sw.0,1126,1193,Der Diener,8,wie,KOKOM,wie,11540,,
tg,v3sw.0,1126,1193,Der Diener,8,viel,ADV,viel,11540,,
tg,v3sw.0,1126,1193,Der Diener,8,Uhr,NN,uhr,11540,,
tg,v3sw.0,1126,1193,Der Diener,8,befehlen,VVFIN,befehlen,11540,,
tg,v3sw.0,1126,1193,Der Diener,8,heute,ADV,heute,11540,,
tg,v3sw.0,1126,1193,Der Diener,8,gräfliche,ADJA,gräflich,11540,,
tg,v3sw.0,1126,1193,Der Diener,8,Gnaden,NN,gnade,11540,,
tg,v3sw.0,1126,1193,Der Diener,8,das,ART,der,11540,,
tg,v3sw.0,1126,1193,Der Diener,8,Essen,NN,essen,11540,,
tg,v3sw.0,1126,1193,Der Diener,8,?,$.,--,11540,,
tg,v3sw.0,1198,1306,Graf Arpad Pazmandy,0,Zündet,VVFIN,zünden,11540,,
tg,v3sw.0,1198,1306,Graf Arpad Pazmandy,0,sich,PRF,sich,11540,,
tg,v3sw.0,1198,1306,Graf Arpad Pazmandy,0,eben,ADV,eben,11540,,
tg,v3sw.0,1198,1306,Graf Arpad Pazmandy,0,eine,ART,ein,11540,,
tg,v3sw.0,1198,1306,Graf Arpad Pazmandy,0,große,ADJA,groß,11540,,
tg,v3sw.0,1198,1306,Graf Arpad Pazmandy,0,Zigarre,NN,zigarre,11540,,
tg,v3sw.0,1198,1306,Graf Arpad Pazmandy,0,an,PTKVZ,an,11540,,
tg,v3sw.0,1198,1306,Graf Arpad Pazmandy,0,.,$.,--,11540,,
tg,v3sw.0,1198,1306,Graf Arpad Pazmandy,0,Um,KOUI,um,11540,,
tg,v3sw.0,1198,1306,Graf Arpad Pazmandy,0,zwei,CARD,zwei,11540,,
tg,v3sw.0,1198,1306,Graf Arpad Pazmandy,0,.,$.,--,11540,,
tg,v3sw.0,1311,1380,Der Diener,8,Und,KON,und,11540,,
tg,v3sw.0,1311,1380,Der Diener,8,um,KOUI,um,11540,,
tg,v3sw.0,1311,1380,Der Diener,8,wie,KOKOM,wie,11540,,
tg,v3sw.0,1311,1380,Der Diener,8,viel,ADV,viel,11540,,
tg,v3sw.0,1311,1380,Der Diener,8,Uhr,NN,uhr,11540,,
tg,v3sw.0,1311,1380,Der Diener,8,soll,VMFIN,sollen,11540,,
tg,v3sw.0,1311,1380,Der Diener,8,eingespannt,VVPP,eingespannt,11540,,
tg,v3sw.0,1311,1380,Der Diener,8,sein,VAINF,sein,11540,,
tg,v3sw.0,1311,1380,Der Diener,8,",","$,",--,11540,,
tg,v3sw.0,1311,1380,Der Diener,8,gräfliche,ADJA,gräflich,11540,,
tg,v3sw.0,1311,1380,Der Diener,8,Gnaden,NN,gnade,11540,,
tg,v3sw.0,1311,1380,Der Diener,8,?,$.,--,11540,,
tg,v3sw.0,1385,1494,KOMTESSE,9,Sie,PPER,sie,11540,,
tg,v3sw.0,1385,1494,KOMTESSE,9,ruft,VVFIN,rufen,11540,,
tg,v3sw.0,1385,1494,KOMTESSE,9,hinunter,PTKVZ,hinunter,11540,,
tg,v3sw.0,1385,1494,KOMTESSE,9,.,$.,--,11540,,
tg,v3sw.0,1385,1494,KOMTESSE,9,Guten,ADJA,gute,11540,,
tg,v3sw.0,1385,1494,KOMTESSE,9,Morgen,NN,morgen,11540,,
tg,v3sw.0,1385,1494,KOMTESSE,9,",","$,",--,11540,,
tg,v3sw.0,1385,1494,KOMTESSE,9,Papa,NN,papa,11540,,
tg,v3sw.0,1385,1494,KOMTESSE,9,.,$.,--,11540,,
tg,v3sw.0,1499,1529,Graf Arpad Pazmandy,0,Grüß,NN,grüß,11540,,
tg,v3sw.0,1499,1529,Graf Arpad Pazmandy,0,',$[,--,11540,,
tg,v3sw.0,1499,1529,Graf Arpad Pazmandy,0,dich,PRF,dich,11540,,
tg,v3sw.0,1499,1529,Graf Arpad Pazmandy,0,Gott,NN,gott,11540,,
tg,v3sw.0,1499,1529,Graf Arpad Pazmandy,0,",","$,",--,11540,,
tg,v3sw.0,1499,1529,Graf Arpad Pazmandy,0,Mizzi,NE,mizzi,11540,,
tg,v3sw.0,1499,1529,Graf Arpad Pazmandy,0,.,$.,--,11540,,
tg,v3sw.0,1534,1626,KOMTESSE,9,Hast,VAFIN,haben,11540,,
tg,v3sw.0,1534,1626,KOMTESSE,9,mich,PPER,mich,11540,KOMTESSE,9
tg,v3sw.0,1534,1626,KOMTESSE,9,wieder,ADV,wieder,11540,,
tg,v3sw.0,1534,1626,KOMTESSE,9,einmal,ADV,einmal,11540,,
tg,v3sw.0,1534,1626,KOMTESSE,9,allein,ADV,allein,11540,,
tg,v3sw.0,1534,1626,KOMTESSE,9,frühstücken,VVINF,frühstücken,11540,,
tg,v3sw.0,1534,1626,KOMTESSE,9,lassen,VVINF,lassen,11540,,
tg,v3sw.0,1534,1626,KOMTESSE,9,",","$,",--,11540,,
tg,v3sw.0,1534,1626,KOMTESSE,9,Papa,NN,papa,11540,,
tg,v3sw.0,1534,1626,KOMTESSE,9,.,$.,--,11540,,
tg,v3sw.0,1534,1626,KOMTESSE,9,Wo,PWAV,wo,11540,,
tg,v3sw.0,1534,1626,KOMTESSE,9,bist,VAFIN,sein,11540,,
tg,v3sw.0,1534,1626,KOMTESSE,9,du,PPER,du,11540,,
tg,v3sw.0,1534,1626,KOMTESSE,9,denn,ADV,denn,11540,,
tg,v3sw.0,1534,1626,KOMTESSE,9,gewesen,VAPP,sein,11540,,
tg,v3sw.0,1534,1626,KOMTESSE,9,?,$.,--,11540,,
tg,v3sw.0,1631,1804,Graf Arpad Pazmandy,0,Ziemlich,ADJD,ziemlich,11540,,
tg,v3sw.0,1631,1804,Graf Arpad Pazmandy,0,weit,ADJD,weit,11540,,
tg,v3sw.0,1631,1804,Graf Arpad Pazmandy,0,.,$.,--,11540,,
tg,v3sw.0,1631,1804,Graf Arpad Pazmandy,0,Bin,NE,sein,11540,,
tg,v3sw.0,1631,1804,Graf Arpad Pazmandy,0,über,APPR,über,11540,,
tg,v3sw.0,1631,1804,Graf Arpad Pazmandy,0,Mauer,NN,mauer,11540,,
tg,v3sw.0,1631,1804,Graf Arpad Pazmandy,0,und,KON,und,11540,,
tg,v3sw.0,1631,1804,Graf Arpad Pazmandy,0,Rodaun,NN,rodaun,11540,,
tg,v3sw.0,1631,1804,Graf Arpad Pazmandy,0,hinausgeritten,VVPP,hinausgereiden,11540,,
tg,v3sw.0,1631,1804,Graf Arpad Pazmandy,0,.,$.,--,11540,,
tg,v3sw.0,1631,1804,Graf Arpad Pazmandy,0,Es,PPER,es,11540,,
tg,v3sw.0,1631,1804,Graf Arpad Pazmandy,0,ist,VAFIN,sein,11540,,
tg,v3sw.0,1631,1804,Graf Arpad Pazmandy,0,wunderschön,ADJD,wunderschön,11540,,
tg,v3sw.0,1631,1804,Graf Arpad Pazmandy,0,heut,ADV,heut,11540,,
tg,v3sw.0,1631,1804,Graf Arpad Pazmandy,0,.,$.,--,11540,,
tg,v3sw.0,1631,1804,Graf Arpad Pazmandy,0,Was,PWS,was,11540,,
tg,v3sw.0,1631,1804,Graf Arpad Pazmandy,0,machst,VVFIN,machen,11540,,
tg,v3sw.0,1631,1804,Graf Arpad Pazmandy,0,denn,ADV,denn,11540,,
tg,v3sw.0,1631,1804,Graf Arpad Pazmandy,0,du,PPER,du,11540,,
tg,v3sw.0,1631,1804,Graf Arpad Pazmandy,0,?,$.,--,11540,,
tg,v3sw.0,1631,1804,Graf Arpad Pazmandy,0,Schon,ADV,schon,11540,,
tg,v3sw.0,1631,1804,Graf Arpad Pazmandy,0,bei,APPR,bei,11540,,
tg,v3sw.0,1631,1804,Graf Arpad Pazmandy,0,der,ART,der,11540,,
tg,v3sw.0,1631,1804,Graf Arpad Pazmandy,0,Arbeit,NN,arbeit,11540,,
tg,v3sw.0,1631,1804,Graf Arpad Pazmandy,0,?,$.,--,11540,,
tg,v3sw.0,1631,1804,Graf Arpad Pazmandy,0,Wird,VAFIN,werden,11540,,
tg,v3sw.0,1631,1804,Graf Arpad Pazmandy,0,man,PIS,man,11540,,
tg,v3sw.0,1631,1804,Graf Arpad Pazmandy,0,bald,ADV,bald,11540,,
tg,v3sw.0,1631,1804,Graf Arpad Pazmandy,0,wieder,ADV,wieder,11540,,
tg,v3sw.0,1631,1804,Graf Arpad Pazmandy,0,was,PWS,was,11540,,
tg,v3sw.0,1631,1804,Graf Arpad Pazmandy,0,anschauen,VVINF,anschauen,11540,,
tg,v3sw.0,1631,1804,Graf Arpad Pazmandy,0,dürfen,VMINF,dürfen,11540,,
tg,v3sw.0,1631,1804,Graf Arpad Pazmandy,0,?,$.,--,11540,,
tg,v3sw.0,1809,1870,KOMTESSE,9,O,NE,O,11540,,
tg,v3sw.0,1809,1870,KOMTESSE,9,ja,ADV,ja,11540,,
tg,v3sw.0,1809,1870,KOMTESSE,9,",","$,",--,11540,,
tg,v3sw.0,1809,1870,KOMTESSE,9,Papa,NN,papa,11540,,
tg,v3sw.0,1809,1870,KOMTESSE,9,;,$.,--,11540,,
