corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
tg,vmw0.0,1045,30244,0,1066,10789,0
tg,vmw0.0,1045,30244,0,10804,14477,0
tg,vmw0.0,1045,30244,0,14491,30244,0
tg,vmw0.0,30261,63991,0,30283,33400,0
tg,vmw0.0,30261,63991,0,33414,48073,0
tg,vmw0.0,30261,63991,0,48088,55537,0
tg,vmw0.0,30261,63991,0,55551,63991,0
tg,vmw0.0,64008,94051,0,64030,65255,0
tg,vmw0.0,64008,94051,0,65270,67515,0
tg,vmw0.0,64008,94051,0,67529,78093,0
tg,vmw0.0,64008,94051,0,78107,88564,0
tg,vmw0.0,64008,94051,0,88578,94051,0
tg,vmw0.0,94068,115663,0,94090,110500,0
tg,vmw0.0,94068,115663,0,110514,115663,0
tg,vmw0.0,115680,138854,0,115702,121807,0
tg,vmw0.0,115680,138854,0,121821,129273,0
tg,vmw0.0,115680,138854,0,129287,129970,0
tg,vmw0.0,115680,138854,0,129985,135953,0
tg,vmw0.0,115680,138854,0,135967,138854,0
