corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
tg,vmxv.0,682,780,"Leonato, Gouverneur von Messina",1,Ich,PPER,ich,26209,,
tg,vmxv.0,682,780,"Leonato, Gouverneur von Messina",1,sehe,VVFIN,sehen,26209,,
tg,vmxv.0,682,780,"Leonato, Gouverneur von Messina",1,aus,APPR,aus,26209,,
tg,vmxv.0,682,780,"Leonato, Gouverneur von Messina",1,diesem,PDAT,dieser,26209,,
tg,vmxv.0,682,780,"Leonato, Gouverneur von Messina",1,Briefe,NN,brief,26209,,
tg,vmxv.0,682,780,"Leonato, Gouverneur von Messina",1,",","$,",--,26209,,
tg,vmxv.0,682,780,"Leonato, Gouverneur von Messina",1,daß,KOUS,daß,26209,,
tg,vmxv.0,682,780,"Leonato, Gouverneur von Messina",1,Don,NE,don,26209,DON PEDRO,24
tg,vmxv.0,682,780,"Leonato, Gouverneur von Messina",1,Pedro,NE,pedro,26209,,
tg,vmxv.0,682,780,"Leonato, Gouverneur von Messina",1,von,APPR,von,26209,,
tg,vmxv.0,682,780,"Leonato, Gouverneur von Messina",1,Arragon,NE,arragon,26209,,
tg,vmxv.0,682,780,"Leonato, Gouverneur von Messina",1,diesen,PDAT,dieser,26209,,
tg,vmxv.0,682,780,"Leonato, Gouverneur von Messina",1,Abend,NN,abend,26209,,
tg,vmxv.0,682,780,"Leonato, Gouverneur von Messina",1,in,APPR,in,26209,,
tg,vmxv.0,682,780,"Leonato, Gouverneur von Messina",1,Messina,NE,messina,26209,,
tg,vmxv.0,682,780,"Leonato, Gouverneur von Messina",1,eintrifft,VVPP,eintreffen,26209,,
tg,vmxv.0,682,780,"Leonato, Gouverneur von Messina",1,.,$.,--,26209,,
tg,vmxv.0,785,890,BOTE,19,Er,PPER,er,26209,,
tg,vmxv.0,785,890,BOTE,19,kann,VMFIN,können,26209,,
tg,vmxv.0,785,890,BOTE,19,nicht,PTKNEG,nicht,26209,,
tg,vmxv.0,785,890,BOTE,19,mehr,ADV,mehr,26209,,
tg,vmxv.0,785,890,BOTE,19,weit,ADJD,weit,26209,,
tg,vmxv.0,785,890,BOTE,19,sein,VAINF,sein,26209,,
tg,vmxv.0,785,890,BOTE,19,:,$.,--,26209,,
tg,vmxv.0,785,890,BOTE,19,er,PPER,er,26209,,
tg,vmxv.0,785,890,BOTE,19,war,VAFIN,sein,26209,,
tg,vmxv.0,785,890,BOTE,19,kaum,ADV,kaum,26209,,
tg,vmxv.0,785,890,BOTE,19,drei,CARD,drei,26209,,
tg,vmxv.0,785,890,BOTE,19,Meilen,NN,meile,26209,,
tg,vmxv.0,785,890,BOTE,19,von,APPR,von,26209,,
tg,vmxv.0,785,890,BOTE,19,der,ART,der,26209,,
tg,vmxv.0,785,890,BOTE,19,Stadt,NN,stadt,26209,,
tg,vmxv.0,785,890,BOTE,19,entfernt,ADJD,entfernt,26209,,
tg,vmxv.0,785,890,BOTE,19,",","$,",--,26209,,
tg,vmxv.0,785,890,BOTE,19,als,KOUS,als,26209,,
tg,vmxv.0,785,890,BOTE,19,ich,PPER,ich,26209,BOTE,19
tg,vmxv.0,785,890,BOTE,19,ihn,PPER,ihn,26209,,
tg,vmxv.0,785,890,BOTE,19,verließ,VVFIN,verlassen,26209,,
tg,vmxv.0,785,890,BOTE,19,.,$.,--,26209,,
tg,vmxv.0,895,960,"Leonato, Gouverneur von Messina",1,Wie,PWAV,wie,26209,,
tg,vmxv.0,895,960,"Leonato, Gouverneur von Messina",1,viel,PIDAT,viel,26209,,
tg,vmxv.0,895,960,"Leonato, Gouverneur von Messina",1,Edelleute,NN,edelleute,26209,,
tg,vmxv.0,895,960,"Leonato, Gouverneur von Messina",1,habt,VAFIN,haben,26209,,
tg,vmxv.0,895,960,"Leonato, Gouverneur von Messina",1,ihr,PPER,ihr,26209,,
tg,vmxv.0,895,960,"Leonato, Gouverneur von Messina",1,in,APPR,in,26209,,
tg,vmxv.0,895,960,"Leonato, Gouverneur von Messina",1,diesem,PDAT,dieser,26209,,
tg,vmxv.0,895,960,"Leonato, Gouverneur von Messina",1,Treffen,NN,treffen,26209,,
tg,vmxv.0,895,960,"Leonato, Gouverneur von Messina",1,verloren,PTKVZ,verlieren,26209,,
tg,vmxv.0,895,960,"Leonato, Gouverneur von Messina",1,?,$.,--,26209,,
tg,vmxv.0,965,1031,BOTE,19,Überhaupt,ADV,überhaupt,26209,,
tg,vmxv.0,965,1031,BOTE,19,nur,ADV,nur,26209,,
tg,vmxv.0,965,1031,BOTE,19,wenig,PIDAT,wenig,26209,,
tg,vmxv.0,965,1031,BOTE,19,Offiziere,NN,offizier,26209,,
tg,vmxv.0,965,1031,BOTE,19,",","$,",--,26209,,
tg,vmxv.0,965,1031,BOTE,19,und,KON,und,26209,,
tg,vmxv.0,965,1031,BOTE,19,keinen,PIAT,kein,26209,,
tg,vmxv.0,965,1031,BOTE,19,von,APPR,von,26209,,
tg,vmxv.0,965,1031,BOTE,19,großem,ADJA,groß,26209,,
tg,vmxv.0,965,1031,BOTE,19,Namen,NN,name,26209,,
tg,vmxv.0,965,1031,BOTE,19,.,$.,--,26209,,
tg,vmxv.0,1036,1213,"Leonato, Gouverneur von Messina",1,Ein,ART,ein,26209,,
tg,vmxv.0,1036,1213,"Leonato, Gouverneur von Messina",1,Sieg,NN,sieg,26209,,
tg,vmxv.0,1036,1213,"Leonato, Gouverneur von Messina",1,gilt,VVFIN,gelten,26209,,
tg,vmxv.0,1036,1213,"Leonato, Gouverneur von Messina",1,doppelt,ADJD,doppelt,26209,,
tg,vmxv.0,1036,1213,"Leonato, Gouverneur von Messina",1,",","$,",--,26209,,
tg,vmxv.0,1036,1213,"Leonato, Gouverneur von Messina",1,wenn,KOUS,wenn,26209,,
tg,vmxv.0,1036,1213,"Leonato, Gouverneur von Messina",1,der,ART,der,26209,,
tg,vmxv.0,1036,1213,"Leonato, Gouverneur von Messina",1,Feldherr,NN,feldherr,26209,,
tg,vmxv.0,1036,1213,"Leonato, Gouverneur von Messina",1,seine,PPOSAT,sein,26209,,
tg,vmxv.0,1036,1213,"Leonato, Gouverneur von Messina",1,volle,ADJA,voll,26209,,
tg,vmxv.0,1036,1213,"Leonato, Gouverneur von Messina",1,Zahl,NN,zahl,26209,,
tg,vmxv.0,1036,1213,"Leonato, Gouverneur von Messina",1,wieder,ADV,wieder,26209,,
tg,vmxv.0,1036,1213,"Leonato, Gouverneur von Messina",1,heimbringt,VVFIN,heimbringen,26209,,
tg,vmxv.0,1036,1213,"Leonato, Gouverneur von Messina",1,.,$.,--,26209,,
tg,vmxv.0,1036,1213,"Leonato, Gouverneur von Messina",1,Wie,PWAV,wie,26209,,
tg,vmxv.0,1036,1213,"Leonato, Gouverneur von Messina",1,ich,PPER,ich,26209,"Leonato, Gouverneur von Messina",1
tg,vmxv.0,1036,1213,"Leonato, Gouverneur von Messina",1,sehe,VVFIN,sehen,26209,,
tg,vmxv.0,1036,1213,"Leonato, Gouverneur von Messina",1,",","$,",--,26209,,
