corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
tg,vn3t.0,569,29353,0,590,12279,0
tg,vn3t.0,569,29353,0,12293,16250,0
tg,vn3t.0,569,29353,0,16264,29353,0
tg,vn3t.0,29370,67357,0,29392,40325,0
tg,vn3t.0,29370,67357,0,40339,44100,0
tg,vn3t.0,29370,67357,0,44115,59500,0
tg,vn3t.0,29370,67357,0,59514,62433,0
tg,vn3t.0,29370,67357,0,62447,67357,0
tg,vn3t.0,67374,93193,0,67396,68655,0
tg,vn3t.0,67374,93193,0,68669,75362,0
tg,vn3t.0,67374,93193,0,75376,76118,0
tg,vn3t.0,67374,93193,0,76132,78280,0
tg,vn3t.0,67374,93193,0,78295,83851,0
tg,vn3t.0,67374,93193,0,83865,90779,0
tg,vn3t.0,67374,93193,0,90793,93193,0
tg,vn3t.0,93210,128863,0,93232,98571,0
tg,vn3t.0,93210,128863,0,98585,102437,0
tg,vn3t.0,93210,128863,0,102452,121245,0
tg,vn3t.0,93210,128863,0,121259,123086,0
tg,vn3t.0,93210,128863,0,123100,128863,0
tg,vn3t.0,128880,151219,0,128902,130876,0
tg,vn3t.0,128880,151219,0,130890,134008,0
tg,vn3t.0,128880,151219,0,134022,151219,0
