corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
tg,vn4q.0,2212,2442,"Troilus,",2,Ruft,NN,ruft,30988,,
tg,vn4q.0,2212,2442,"Troilus,",2,meinen,VVFIN,mein,30988,,
tg,vn4q.0,2212,2442,"Troilus,",2,Knappen,NN,knappen,30988,,
tg,vn4q.0,2212,2442,"Troilus,",2,her,PTKVZ,her,30988,,
tg,vn4q.0,2212,2442,"Troilus,",2,",","$,",--,30988,,
tg,vn4q.0,2212,2442,"Troilus,",2,mich,PRF,mich,30988,"Troilus,",2
tg,vn4q.0,2212,2442,"Troilus,",2,zu,PTKZU,zu,30988,,
tg,vn4q.0,2212,2442,"Troilus,",2,entwaffnen,VVINF,entwaffnen,30988,,
tg,vn4q.0,2212,2442,"Troilus,",2,;,$.,--,30988,,
tg,vn4q.0,2212,2442,"Troilus,",2,Was,PWS,was,30988,,
tg,vn4q.0,2212,2442,"Troilus,",2,soll,VMFIN,sollen,30988,,
tg,vn4q.0,2212,2442,"Troilus,",2,ich,PPER,ich,30988,"Troilus,",2
tg,vn4q.0,2212,2442,"Troilus,",2,vor,APPR,vor,30988,,
tg,vn4q.0,2212,2442,"Troilus,",2,den,ART,der,30988,,
tg,vn4q.0,2212,2442,"Troilus,",2,Mauern,NN,mauer,30988,,
tg,vn4q.0,2212,2442,"Troilus,",2,Trojas,NE,trojas,30988,,
tg,vn4q.0,2212,2442,"Troilus,",2,fechten,VVFIN,fechen,30988,,
tg,vn4q.0,2212,2442,"Troilus,",2,",","$,",--,30988,,
tg,vn4q.0,2212,2442,"Troilus,",2,Dem,PDS,der,30988,,
tg,vn4q.0,2212,2442,"Troilus,",2,hier,ADV,hier,30988,,
tg,vn4q.0,2212,2442,"Troilus,",2,im,APPRART,in,30988,,
tg,vn4q.0,2212,2442,"Troilus,",2,Innern,NN,innere,30988,,
tg,vn4q.0,2212,2442,"Troilus,",2,tobt,VVFIN,toben,30988,,
tg,vn4q.0,2212,2442,"Troilus,",2,so,ADV,so,30988,,
tg,vn4q.0,2212,2442,"Troilus,",2,wilder,ADJA,wild,30988,,
tg,vn4q.0,2212,2442,"Troilus,",2,Kampf,NN,kampf,30988,,
tg,vn4q.0,2212,2442,"Troilus,",2,?,$.,--,30988,,
tg,vn4q.0,2212,2442,"Troilus,",2,Wem,PWS,wem,30988,,
tg,vn4q.0,2212,2442,"Troilus,",2,von,APPR,von,30988,,
tg,vn4q.0,2212,2442,"Troilus,",2,den,ART,der,30988,,
tg,vn4q.0,2212,2442,"Troilus,",2,Troern,NN,troer,30988,,
tg,vn4q.0,2212,2442,"Troilus,",2,noch,ADV,noch,30988,,
tg,vn4q.0,2212,2442,"Troilus,",2,ein,ART,ein,30988,,
tg,vn4q.0,2212,2442,"Troilus,",2,Herz,NN,herz,30988,,
tg,vn4q.0,2212,2442,"Troilus,",2,gehört,VVFIN,gehören,30988,,
tg,vn4q.0,2212,2442,"Troilus,",2,",","$,",--,30988,,
tg,vn4q.0,2212,2442,"Troilus,",2,Der,ART,der,30988,,
tg,vn4q.0,2212,2442,"Troilus,",2,zieh,ADV,zieh,30988,,
tg,vn4q.0,2212,2442,"Troilus,",2,',$[,--,30988,,
tg,vn4q.0,2212,2442,"Troilus,",2,ins,APPRART,in,30988,,
tg,vn4q.0,2212,2442,"Troilus,",2,Feld,NN,feld,30988,,
tg,vn4q.0,2212,2442,"Troilus,",2,;,$.,--,30988,,
tg,vn4q.0,2212,2442,"Troilus,",2,ach,ITJ,ach,30988,,
tg,vn4q.0,2212,2442,"Troilus,",2,",","$,",--,30988,,
tg,vn4q.0,2212,2442,"Troilus,",2,Troilus,NE,troilus,30988,,
tg,vn4q.0,2212,2442,"Troilus,",2,hat,VAFIN,haben,30988,,
tg,vn4q.0,2212,2442,"Troilus,",2,keins,ADJD,keiner,30988,,
tg,vn4q.0,2212,2442,"Troilus,",2,"!",$.,--,30988,,
tg,vn4q.0,2212,2442,"Troilus,",2,–,XY,–,30988,,
tg,vn4q.0,2448,2483,"Pandarus, Oheim der Cressida",9,Stets,ADV,stets,30988,,
tg,vn4q.0,2448,2483,"Pandarus, Oheim der Cressida",9,noch,ADV,noch,30988,,
tg,vn4q.0,2448,2483,"Pandarus, Oheim der Cressida",9,das,ART,der,30988,,
tg,vn4q.0,2448,2483,"Pandarus, Oheim der Cressida",9,alte,ADJA,alt,30988,,
tg,vn4q.0,2448,2483,"Pandarus, Oheim der Cressida",9,Lied,NN,lied,30988,,
tg,vn4q.0,2448,2483,"Pandarus, Oheim der Cressida",9,?,$.,--,30988,,
tg,vn4q.0,2488,2771,"Troilus,",2,Der,ART,der,30988,,
tg,vn4q.0,2488,2771,"Troilus,",2,Griech,NN,griech,30988,,
tg,vn4q.0,2488,2771,"Troilus,",2,',$[,--,30988,,
tg,vn4q.0,2488,2771,"Troilus,",2,ist,VAFIN,sein,30988,,
tg,vn4q.0,2488,2771,"Troilus,",2,stark,ADJD,stark,30988,,
tg,vn4q.0,2488,2771,"Troilus,",2,",","$,",--,30988,,
tg,vn4q.0,2488,2771,"Troilus,",2,und,KON,und,30988,,
tg,vn4q.0,2488,2771,"Troilus,",2,bei,APPR,bei,30988,,
tg,vn4q.0,2488,2771,"Troilus,",2,der,ART,der,30988,,
tg,vn4q.0,2488,2771,"Troilus,",2,Kraft,NN,kraft,30988,,
tg,vn4q.0,2488,2771,"Troilus,",2,gewandt,VVPP,wenden,30988,,
tg,vn4q.0,2488,2771,"Troilus,",2,",","$,",--,30988,,
tg,vn4q.0,2488,2771,"Troilus,",2,Keck,NN,keck,30988,,
tg,vn4q.0,2488,2771,"Troilus,",2,bei,APPR,bei,30988,,
tg,vn4q.0,2488,2771,"Troilus,",2,Gewandtheit,NN,gewandtheit,30988,,
tg,vn4q.0,2488,2771,"Troilus,",2,",","$,",--,30988,,
tg,vn4q.0,2488,2771,"Troilus,",2,und,KON,und,30988,,
tg,vn4q.0,2488,2771,"Troilus,",2,bei,APPR,bei,30988,,
tg,vn4q.0,2488,2771,"Troilus,",2,Keckheit,NN,keckheit,30988,,
tg,vn4q.0,2488,2771,"Troilus,",2,tapfer,ADJD,tapfer,30988,,
tg,vn4q.0,2488,2771,"Troilus,",2,:,$.,--,30988,,
tg,vn4q.0,2488,2771,"Troilus,",2,Doch,KON,doch,30988,,
tg,vn4q.0,2488,2771,"Troilus,",2,ich,PPER,ich,30988,"Troilus,",2
tg,vn4q.0,2488,2771,"Troilus,",2,bin,VAFIN,sein,30988,,
tg,vn4q.0,2488,2771,"Troilus,",2,schwächer,ADJD,schwach,30988,,
tg,vn4q.0,2488,2771,"Troilus,",2,als,APPR,als,30988,,
tg,vn4q.0,2488,2771,"Troilus,",2,des,ART,der,30988,,
tg,vn4q.0,2488,2771,"Troilus,",2,Weibes,NN,weib,30988,,
tg,vn4q.0,2488,2771,"Troilus,",2,Tränen,NN,träne,30988,,
tg,vn4q.0,2488,2771,"Troilus,",2,",","$,",--,30988,,
tg,vn4q.0,2488,2771,"Troilus,",2,Zahmer,NE,zahmer,30988,,
tg,vn4q.0,2488,2771,"Troilus,",2,als,APPR,als,30988,,
tg,vn4q.0,2488,2771,"Troilus,",2,Schlaf,NN,schlaf,30988,,
tg,vn4q.0,2488,2771,"Troilus,",2,",","$,",--,30988,,
tg,vn4q.0,2488,2771,"Troilus,",2,betörter,ADJD,betört,30988,,
tg,vn4q.0,2488,2771,"Troilus,",2,als,KOKOM,als,30988,,
tg,vn4q.0,2488,2771,"Troilus,",2,die,ART,der,30988,,
tg,vn4q.0,2488,2771,"Troilus,",2,Einfalt,NN,einfalt,30988,,
tg,vn4q.0,2488,2771,"Troilus,",2,",","$,",--,30988,,
tg,vn4q.0,2488,2771,"Troilus,",2,Zaghafter,NN,zaghafter,30988,,
tg,vn4q.0,2488,2771,"Troilus,",2,als,APPR,als,30988,,
tg,vn4q.0,2488,2771,"Troilus,",2,die,ART,der,30988,,
tg,vn4q.0,2488,2771,"Troilus,",2,Jungfrau,NN,jungfrau,30988,,
tg,vn4q.0,2488,2771,"Troilus,",2,in,APPR,in,30988,,
tg,vn4q.0,2488,2771,"Troilus,",2,der,ART,der,30988,,
tg,vn4q.0,2488,2771,"Troilus,",2,Nacht,NN,nacht,30988,,
tg,vn4q.0,2488,2771,"Troilus,",2,",","$,",--,30988,,
tg,vn4q.0,2488,2771,"Troilus,",2,Und,KON,und,30988,,
tg,vn4q.0,2488,2771,"Troilus,",2,ungewandt,VVPP,ungewandt,30988,,
tg,vn4q.0,2488,2771,"Troilus,",2,",","$,",--,30988,,
tg,vn4q.0,2488,2771,"Troilus,",2,wie,PWAV,wie,30988,,
tg,vn4q.0,2488,2771,"Troilus,",2,unbelehrte,ADJA,unbelehrt,30988,,
tg,vn4q.0,2488,2771,"Troilus,",2,Kindheit,NN,kindheit,30988,,
tg,vn4q.0,2488,2771,"Troilus,",2,.,$.,--,30988,,
tg,vn4q.0,2777,2964,"Pandarus, Oheim der Cressida",9,Nun,ADV,nun,30988,,
tg,vn4q.0,2777,2964,"Pandarus, Oheim der Cressida",9,",","$,",--,30988,,
tg,vn4q.0,2777,2964,"Pandarus, Oheim der Cressida",9,ich,PPER,ich,30988,"Pandarus, Oheim der Cressida",9
tg,vn4q.0,2777,2964,"Pandarus, Oheim der Cressida",9,habe,VAFIN,haben,30988,,
tg,vn4q.0,2777,2964,"Pandarus, Oheim der Cressida",9,dir's,ADV,dir's,30988,,
tg,vn4q.0,2777,2964,"Pandarus, Oheim der Cressida",9,genug,ADV,genug,30988,,
tg,vn4q.0,2777,2964,"Pandarus, Oheim der Cressida",9,gesagt,VVPP,sagen,30988,,
tg,vn4q.0,2777,2964,"Pandarus, Oheim der Cressida",9,;,$.,--,30988,,
tg,vn4q.0,2777,2964,"Pandarus, Oheim der Cressida",9,ich,PPER,ich,30988,"Pandarus, Oheim der Cressida",9
tg,vn4q.0,2777,2964,"Pandarus, Oheim der Cressida",9,",","$,",--,30988,,
tg,vn4q.0,2777,2964,"Pandarus, Oheim der Cressida",9,meines,PPOSAT,mein,30988,"Pandarus, Oheim der Cressida",9
tg,vn4q.0,2777,2964,"Pandarus, Oheim der Cressida",9,Teils,NN,teil,30988,,
tg,vn4q.0,2777,2964,"Pandarus, Oheim der Cressida",9,",","$,",--,30988,,
tg,vn4q.0,2777,2964,"Pandarus, Oheim der Cressida",9,werde,VAFIN,werden,30988,,
tg,vn4q.0,2777,2964,"Pandarus, Oheim der Cressida",9,mich,PPER,mich,30988,"Pandarus, Oheim der Cressida",9
tg,vn4q.0,2777,2964,"Pandarus, Oheim der Cressida",9,nicht,PTKNEG,nicht,30988,,
tg,vn4q.0,2777,2964,"Pandarus, Oheim der Cressida",9,mehr,ADV,mehr,30988,,
tg,vn4q.0,2777,2964,"Pandarus, Oheim der Cressida",9,drein,ADV,drein,30988,,
tg,vn4q.0,2777,2964,"Pandarus, Oheim der Cressida",9,mischen,VVINF,mischen,30988,,
tg,vn4q.0,2777,2964,"Pandarus, Oheim der Cressida",9,und,KON,und,30988,,
tg,vn4q.0,2777,2964,"Pandarus, Oheim der Cressida",9,mengen,VVFIN,mengen,30988,,
tg,vn4q.0,2777,2964,"Pandarus, Oheim der Cressida",9,.,$.,--,30988,,
tg,vn4q.0,2777,2964,"Pandarus, Oheim der Cressida",9,Der,PDS,der,30988,,
tg,vn4q.0,2777,2964,"Pandarus, Oheim der Cressida",9,",","$,",--,30988,,
tg,vn4q.0,2777,2964,"Pandarus, Oheim der Cressida",9,der,PRELS,der,30988,,
tg,vn4q.0,2777,2964,"Pandarus, Oheim der Cressida",9,aus,APPR,aus,30988,,
tg,vn4q.0,2777,2964,"Pandarus, Oheim der Cressida",9,dem,ART,der,30988,,
tg,vn4q.0,2777,2964,"Pandarus, Oheim der Cressida",9,Weizen,NN,weizen,30988,,
tg,vn4q.0,2777,2964,"Pandarus, Oheim der Cressida",9,einen,ART,ein,30988,,
tg,vn4q.0,2777,2964,"Pandarus, Oheim der Cressida",9,Kuchen,NN,kuchen,30988,,
tg,vn4q.0,2777,2964,"Pandarus, Oheim der Cressida",9,haben,VAFIN,haben,30988,,
tg,vn4q.0,2777,2964,"Pandarus, Oheim der Cressida",9,will,VMFIN,wollen,30988,,
tg,vn4q.0,2777,2964,"Pandarus, Oheim der Cressida",9,",","$,",--,30988,,
tg,vn4q.0,2777,2964,"Pandarus, Oheim der Cressida",9,muß,VMFIN,müssen,30988,,
tg,vn4q.0,2777,2964,"Pandarus, Oheim der Cressida",9,das,ART,der,30988,,
tg,vn4q.0,2777,2964,"Pandarus, Oheim der Cressida",9,Mahlen,NN,mahlen,30988,,
tg,vn4q.0,2777,2964,"Pandarus, Oheim der Cressida",9,abwarten,VVINF,abwarten,30988,,
tg,vn4q.0,2777,2964,"Pandarus, Oheim der Cressida",9,.,$.,--,30988,,
tg,vn4q.0,2777,2964,"Pandarus, Oheim der Cressida",9,–,XY,–,30988,,
tg,vn4q.0,2969,3003,"Troilus,",2,Hab,ITJ,hab,30988,,
tg,vn4q.0,2969,3003,"Troilus,",2,',$[,--,30988,,
tg,vn4q.0,2969,3003,"Troilus,",2,ich,PPER,ich,30988,"Troilus,",2
tg,vn4q.0,2969,3003,"Troilus,",2,nicht,PTKNEG,nicht,30988,,
tg,vn4q.0,2969,3003,"Troilus,",2,gewartet,VVPP,warten,30988,,
tg,vn4q.0,2969,3003,"Troilus,",2,?,$.,--,30988,,
tg,vn4q.0,3008,3074,"Pandarus, Oheim der Cressida",9,Ja,PTKANT,ja,30988,,
tg,vn4q.0,3008,3074,"Pandarus, Oheim der Cressida",9,",","$,",--,30988,,
tg,vn4q.0,3008,3074,"Pandarus, Oheim der Cressida",9,auf,APPR,auf,30988,,
tg,vn4q.0,3008,3074,"Pandarus, Oheim der Cressida",9,das,ART,der,30988,,
tg,vn4q.0,3008,3074,"Pandarus, Oheim der Cressida",9,Mahlen,NN,mahlen,30988,,
tg,vn4q.0,3008,3074,"Pandarus, Oheim der Cressida",9,;,$.,--,30988,,
tg,vn4q.0,3008,3074,"Pandarus, Oheim der Cressida",9,aber,KON,aber,30988,,
tg,vn4q.0,3008,3074,"Pandarus, Oheim der Cressida",9,Ihr,PPOSAT,ihr,30988,,
tg,vn4q.0,3008,3074,"Pandarus, Oheim der Cressida",9,müßt,ADJD,müßen,30988,,
tg,vn4q.0,3008,3074,"Pandarus, Oheim der Cressida",9,das,ART,der,30988,,
tg,vn4q.0,3008,3074,"Pandarus, Oheim der Cressida",9,Beuteln,NN,beuteln,30988,,
tg,vn4q.0,3008,3074,"Pandarus, Oheim der Cressida",9,abwarten,VVINF,abwarten,30988,,
tg,vn4q.0,3008,3074,"Pandarus, Oheim der Cressida",9,.,$.,--,30988,,
tg,vn4q.0,3079,3113,"Troilus,",2,Hab,ADV,hab,30988,,
tg,vn4q.0,3079,3113,"Troilus,",2,',$[,--,30988,,
