corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
tg,vrcn.0,1471,1590,"Hugo Mews, Fischer, 19 Jahre",2,Acht,CARD,acht,22226,,
tg,vrcn.0,1471,1590,"Hugo Mews, Fischer, 19 Jahre",2,wat,VVFIN,wat,22226,,
tg,vrcn.0,1471,1590,"Hugo Mews, Fischer, 19 Jahre",2,"!",$.,--,22226,,
tg,vrcn.0,1471,1590,"Hugo Mews, Fischer, 19 Jahre",2,Schlägt,VVFIN,schlägen,22226,,
tg,vrcn.0,1471,1590,"Hugo Mews, Fischer, 19 Jahre",2,das,ART,der,22226,,
tg,vrcn.0,1471,1590,"Hugo Mews, Fischer, 19 Jahre",2,Buch,NN,buch,22226,,
tg,vrcn.0,1471,1590,"Hugo Mews, Fischer, 19 Jahre",2,zu,PTKVZ,zu,22226,,
tg,vrcn.0,1471,1590,"Hugo Mews, Fischer, 19 Jahre",2,",","$,",--,22226,,
tg,vrcn.0,1471,1590,"Hugo Mews, Fischer, 19 Jahre",2,legt,VVFIN,legen,22226,,
tg,vrcn.0,1471,1590,"Hugo Mews, Fischer, 19 Jahre",2,sich,PRF,sich,22226,,
tg,vrcn.0,1471,1590,"Hugo Mews, Fischer, 19 Jahre",2,zurück,PTKVZ,zurück,22226,,
tg,vrcn.0,1471,1590,"Hugo Mews, Fischer, 19 Jahre",2,.,$.,--,22226,,
tg,vrcn.0,1471,1590,"Hugo Mews, Fischer, 19 Jahre",2,dat,VVIMP,dat,22226,,
tg,vrcn.0,1471,1590,"Hugo Mews, Fischer, 19 Jahre",2,krieg,ADJD,krieg,22226,,
tg,vrcn.0,1471,1590,"Hugo Mews, Fischer, 19 Jahre",2,ick,ADJD,ich,22226,,
tg,vrcn.0,1471,1590,"Hugo Mews, Fischer, 19 Jahre",2,nich,PTKNEG,nich,22226,,
tg,vrcn.0,1471,1590,"Hugo Mews, Fischer, 19 Jahre",2,to,FM,--,22226,,
tg,vrcn.0,1471,1590,"Hugo Mews, Fischer, 19 Jahre",2,Enn,FM,enn,22226,,
tg,vrcn.0,1471,1590,"Hugo Mews, Fischer, 19 Jahre",2,',$[,--,22226,,
tg,vrcn.0,1471,1590,"Hugo Mews, Fischer, 19 Jahre",2,",","$,",--,22226,,
tg,vrcn.0,1471,1590,"Hugo Mews, Fischer, 19 Jahre",2,da,ADV,da,22226,,
tg,vrcn.0,1471,1590,"Hugo Mews, Fischer, 19 Jahre",2,ward,VVFIN,werden,22226,,
tg,vrcn.0,1471,1590,"Hugo Mews, Fischer, 19 Jahre",2,mi,PRF,mi,22226,,
tg,vrcn.0,1471,1590,"Hugo Mews, Fischer, 19 Jahre",2,ja,ADV,ja,22226,,
tg,vrcn.0,1471,1590,"Hugo Mews, Fischer, 19 Jahre",2,de,NE,de,22226,,
tg,vrcn.0,1471,1590,"Hugo Mews, Fischer, 19 Jahre",2,Kopp,NE,kopp,22226,,
tg,vrcn.0,1471,1590,"Hugo Mews, Fischer, 19 Jahre",2,bie,NE,bie,22226,,
tg,vrcn.0,1471,1590,"Hugo Mews, Fischer, 19 Jahre",2,wehdauhn,VVFIN,wehdauhn,22226,,
tg,vrcn.0,1471,1590,"Hugo Mews, Fischer, 19 Jahre",2,.,$.,--,22226,,
tg,vrcn.0,1595,1642,"Elsabe, Frau des Willem, 27 Jahre",4,Dat,NE,dat,22226,,
tg,vrcn.0,1595,1642,"Elsabe, Frau des Willem, 27 Jahre",4,',$[,--,22226,,
