corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
tg,wzgs.0,465,17881,0,479,1058,0
tg,wzgs.0,465,17881,0,1073,5461,0
tg,wzgs.0,465,17881,0,5475,6830,0
tg,wzgs.0,465,17881,0,6844,11568,0
tg,wzgs.0,465,17881,0,11582,12609,0
tg,wzgs.0,465,17881,0,12623,13322,0
tg,wzgs.0,465,17881,0,13336,17881,0
tg,wzgs.0,17897,38431,0,17911,18309,0
tg,wzgs.0,17897,38431,0,18324,21369,0
tg,wzgs.0,17897,38431,0,21383,22526,0
tg,wzgs.0,17897,38431,0,22541,23010,0
tg,wzgs.0,17897,38431,0,23024,23752,0
tg,wzgs.0,17897,38431,0,23766,27666,0
tg,wzgs.0,17897,38431,0,27682,27906,0
tg,wzgs.0,17897,38431,0,27921,28945,0
tg,wzgs.0,17897,38431,0,28960,29810,0
tg,wzgs.0,17897,38431,0,29826,30306,0
tg,wzgs.0,17897,38431,0,30321,33955,0
tg,wzgs.0,17897,38431,0,33969,34675,0
tg,wzgs.0,17897,38431,0,34691,35254,0
tg,wzgs.0,17897,38431,0,35269,36414,0
tg,wzgs.0,17897,38431,0,36428,38431,0
tg,wzgs.0,38447,59447,0,38461,46112,0
tg,wzgs.0,38447,59447,0,46129,50301,0
tg,wzgs.0,38447,59447,0,50319,51422,0
tg,wzgs.0,38447,59447,0,51438,59447,0
tg,wzgs.0,59466,77046,0,59480,61311,0
tg,wzgs.0,59466,77046,0,61327,64147,0
tg,wzgs.0,59466,77046,0,64165,69361,0
tg,wzgs.0,59466,77046,0,69377,70459,0
tg,wzgs.0,59466,77046,0,70475,77046,0
tg,wzgs.0,77064,91951,0,77078,78459,0
tg,wzgs.0,77064,91951,0,78475,82412,0
tg,wzgs.0,77064,91951,0,82428,83033,0
tg,wzgs.0,77064,91951,0,83051,89526,0
tg,wzgs.0,77064,91951,0,89544,91951,0
