corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
tg,x9rp.0,14169,27863,0,14183,27863,0
tg,x9rp.0,27882,128310,0,27896,55567,0
tg,x9rp.0,27882,128310,0,55582,88822,0
tg,x9rp.0,27882,128310,0,88836,89743,0
tg,x9rp.0,27882,128310,0,89757,95226,0
tg,x9rp.0,27882,128310,0,95240,96874,0
tg,x9rp.0,27882,128310,0,96889,97528,0
tg,x9rp.0,27882,128310,0,97542,99199,0
tg,x9rp.0,27882,128310,0,99213,100994,0
tg,x9rp.0,27882,128310,0,101009,103175,0
tg,x9rp.0,27882,128310,0,103190,103681,0
tg,x9rp.0,27882,128310,0,103695,105019,0
tg,x9rp.0,27882,128310,0,105033,108433,0
tg,x9rp.0,27882,128310,0,108447,120452,0
tg,x9rp.0,27882,128310,0,120467,121521,0
tg,x9rp.0,27882,128310,0,121535,128310,0
tg,x9rp.0,128329,141915,0,,,
